SF|LF|MetaMap CUI|CSI|Ratio in CSI|UMLS CUI|UMLS SOURCE|ADAM|Ratio in ADAM|Dictionary
6-MP|6H-Purine-6-thione, 1,7-dihydro- (9CI)||||C0000618|NCI;PDQ|||
6-MP|7-Mercapto-1,3,4,6-tetrazaindene||||C0000618|NCI;PDQ|||
6-MP|MERCAPTOPURINE A 06||||C0000618|MSH|||
6-MP|MP||||C0000618|PDQ|||
6-MP|Mercaptopurine (product)||||C0000618|SNOMEDCT|||
6-MP|Mercaptopurine (substance)||||C0000618|SNOMEDCT|||
6-MP|Purine-6-thiol (8CI)||||C0000618|NCI;PDQ|||
AAA|A4||||C1705543|NCI|||
AAA|AAA||||C0162871;C0271742;C0611285;C1364818;C1705543|MEDLINEPLUS;NCI;OMIM|||
AAA|AAA - Abdominal aortic aneurysm;abdominal aortic aneurysm (AAA);ABDOMINAL AORTIC ANEURYSM;ANEURYSM, ABDOMINAL AORTIC;Abdominal Aortic Aneurysm;Abdominal Aortic Aneurysms;Abdominal aortic aneurysm;Aneurysm, Abdominal Aortic;Aneurysms, Abdominal Aortic;Aortic Aneurysm, Abdominal;Aortic Aneurysms, Abdominal;abdominal aortic aneurysm;abdominal aortic aneurysms|C0162871;C2926614|1|0.998|C0162871;C2926614|CHV;COSTAR;LNC;MEDLINEPLUS;MSH;MTH;NCI;NDFRT;OMIM;SNOMEDCT|1|0.93|1
AAA|ABETA|C1420510;C1705543|||C1705543|NCI|||
AAA|ABPP|C0054150;C0611285|||C0611285|NCI|||
AAA|ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME;ADDISONIAN-ACHALASIA SYNDROME;Achalasia-addisonian syndrome;Addisonian achalasia syndrome;ALACRIMA-ACHALASIA-ADDISONIANISM;Alacrima-Achalasia-Addisonianism;ALACRIMA-ACHALASIA-ADRENAL INSUFFICIENCY NEUROLOGIC DISORDER;Alacrima-achalasia-adrenal insufficiency neurologic disorder;ALLGROVE SYNDROME;Allgrove Syndrome;Allgrove syndrome;allgrove syndrome;allgroves syndrome;Achalasia Addisonianism Alacrimia syndrome;Alacrimia-achalasia-addisonianism;GLUCOCORTICOID DEFICIENCY AND ACHALASIA;Glucocorticoid deficiency and achalasia;Glucocorticoid deficiency with achalasia;HYPOADRENALISM WITH ACHALASIA;Hypoadrenalism with achalasia;TRIPLE-A SYNDROME;Triple A syndrome;triple a syndrome|C0271742|||C0271742|CHV;MSH;MTH;NCI;OMIM;SNOMEDCT|||
AAA|ACTH resistant adrenal insufficiency, achalasia and alacrima;ACTH-RESISTANT ADRENAL INSUFFICIENCY, ACHALASIA AND ALACRIMA||||C0271742|MSH;OMIM|||
AAA|AD1||||C1705543|NCI|||
AAA|AMYLOID BETA A4 PRECURSOR PROTEIN;Amyloid Beta (A4) Precursor Protein;Amyloid Beta A4 Protein Precursor;amyloid beta (A4) precursor protein|C0611285;C1364818|||C0611285;C1364818|HUGO;NCI;OMIM|||
AAA|AMYLOID OF AGING AND ALZHEIMER DISEASE||||C1364818|OMIM|||
AAA|ANEURYSM, AORTA, ABDOMINAL;abdominal aorta aneurysm;abdominal aneurysm;abdominal aneurysms;aneurysm abdominal|C0162871|||C0162871|CHV;DXP|||
AAA|APP||||C0611285;C1364818|HUGO;NCI;OMIM|||
AAA|APP Gene;APP gene;CEREBRAL VASCULAR AMYLOID PEPTIDE;DEMENTIA, EARLY-ONSET PROGRESSIVE, AUTOSOMAL RECESSIVE;peptidase nexin-II|C1364818|||C1364818|HUGO;MTH;NCI;OMIM|||
AAA|APP protein, human;APPI;Alzheimer Disease 1 Protein;Alzheimer's Disease Amyloid Protein;Cerebralvascular Amyloid Peptide;PN II;PN-II;PreA4;Protease Nexin-II, Alzheimer Disease;peptidase nexin-II, human;protease nexin 2, human|C0611285|||C0611285|MSH;MTH;NCI|||
AAA|APP wt Allele|C1705543|||C1705543|MTH;NCI|||
AAA|Abdominal aortic aneurysm (disorder)||||C0162871|SNOMEDCT|||
AAA|Aleuria aurantia agglutinin||||||1|0.0034|
AAA|Amyloid|C0002716;C0011560;C0611285|||C0611285|NCI|||
AAA|Amyloid Beta (A4) Precursor Protein (Protease Nexin-II, Alzheimer Disease) Gene||||C1364818|NCI|||
AAA|Amyloid Beta (A4) Precursor Protein (Protease Nexin-II, Alzheimer Disease) wt Allele||||C1705543|NCI|||
AAA|Amyloid Beta-Peptide|C0078939;C0611285|||C0611285|NCI|||
AAA|Amyloid of Aging and Alzheimer Disease Protein||||C0611285|NCI|||
AAA|Anguilla anguilla agglutinin||||||1|0.0046|
AAA|Aortic Aneurysm, Abdominal [Disease/Finding]||||C0162871|NDFRT|||
AAA|CVAP||||C0611285;C1364818;C1705543|NCI;OMIM|||
AAA|Glucocorticoid deficiency with achalasia (disorder)||||C0271742|SNOMEDCT|||
AAA|PN2|C0332398;C0611285;C1364818|||C0611285;C1364818|NCI;OMIM|||
AAA|PROTEASE NEXIN II;Protease Nexin II|C0085151;C0611285;C1364818|||C0611285;C1364818|NCI;OMIM|||
AAA|abdominal Aorta|C0003484;C1269882|||||1|0.0189|
AAA|abdominal aortic aneurysm repair|C0741152|||||1|0.004|
AAA|abdominal aortic aneurysmectomy||||||||1
AAA|achalasia-addisonism-alacrimia||||||||1
AAA|acne-associated arthritis||||||||1
AAA|acquired aplastic anemia|C0271907|1|0.002|C0271907|SNOMEDCT|||1
AAA|acute anxiety attack||||||||1
AAA|acute apical abscess|C1290646|||C1290646|SNOMEDCT|||
AAA|addiction, autoimmune diseases, aging||||||||1
AAA|alpha-aminoadipic acid|C0000257|||C0000257|MSH;NDFRT;SNOMEDCT|||
AAA|amalgam|C0440138;C0580619|||||||1
AAA|amino acid analysis||||||||1
AAA|amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease) protein, human||||C0611285|MSH|||
AAA|androgenic anabolic agent||||||||1
AAA|aneurysm of ascending aorta|C0856747|||C0856747|CHV;SNOMEDCT|||1
AAA|angiography of abdominal aorta||||||||1
AAA|anti-actin antibody|C0369998|||C0369998|SNOMEDCT|||
AAA|anti-albumin antibodies||||||1|0.0029|
AAA|antigen-extracted allogenic||||||||1
AAA|aromatic amino acid;aromatic amino acids|C0301713|||C0301713|CHV;MSH;SNOMEDCT|1|0.0201|1
AAA|arrest after arrival||||||||1
AAA|arthroscopy, arthroscopy, arthrotomy||||||||1
AAA|aryl acylamidase|C0052439|||C0052439|MSH;SNOMEDCT|||
AAA|autoantibodies|C0004358|||||1|0.0052|
AAA|autolyzed antigen-extracted allogeneic||||||1|0.0029|
AAA|autolyzed, antigen-extracted, allogenic||||||||1
AAA|cellular activities||||||1|0.008|
ABG|A1B||||C1412045|OMIM|||
ABG|A1BG;A1BG gene;ALPHA-1-B-GLYCOPROTEIN;alpha-1-B glycoprotein|C1412045|||C1412045|HUGO;MTH;OMIM|||
ABG|ABG|C0150411;C1412045|||C0150411;C1412045|NCI;OMIM|||
ABG|ABG - Arterial blood gas analysis;ABGs measurement;Analysis of arterial blood gases and pH;Arterial Blood Gas Measurement;Arterial blood gas analysis;analysis arterial blood gas;arterial blood gas analysis;Arterial blood gases;arterial blood gases;Blood gases, arterial measurement;Gases, arterial measurement;Measurement of systemic arterial blood gases;arterial blood gas;blood gas arterial;arterial blood gase|C0150411|1|1|C0150411|CCS;CHV;ICD9CM;MTH;NCI;SNOMEDCT|1|0.8022|1
ABG|Analysis of arterial blood gas (oxygen saturation, pO2, pCO2, CO2, pH); rest only||||C0150411|MTH|||
ABG|Analysis of arterial blood gases and pH (procedure)||||C0150411|SNOMEDCT|||
ABG|Arterial bld gas measure||||C0150411|ICD9CM|||
ABG|Arterial blood gas analysis (procedure)||||C0150411|SNOMEDCT|||
ABG|Atrophic body gastritis||||||1|0.0604|
ABG|Blood Gas Analysis;Blood Gas Measurement|C0005800;C0150411|||C0150411|NCI|||
ABG|Blood gases, arterial measurement (procedure)||||C0150411|SNOMEDCT|||
ABG|GAB|C0016910;C1412045|||C1412045|OMIM|||
ABG|air-bone gap||||||1|0.1374|1
ABG|aortoiliac bypass graft||||||||1
ABG|axiobuccogingival||||||||1
AB|AB;Ab;NOS AB;NOS Ab;Little NOS Ab;Little not otherwise specified Antibody;Unidentified Ab;Unidentified Antibody;not otherwise specified AB;not otherwise specified Antibody|C0003241|||C0000769;C0003241;C0580927;C1705545;C2700382|LNC;MSH;NCI;SNOMEDCT|||
AB|AB - Zebrafish;AB Zebrafish|C2700382|||C2700382|MTH;NCI|||
AB|AB Term Type|C1705545|||C1705545|MTH;NCI|||
AB|AB hearing assessment list|C0580927|||C0580927|MTH;SNOMEDCT|||
AB|AB hearing assessment list (physical object)||||C0580927|SNOMEDCT|||
AB|ABNORM||||C0000769|MSH|||
AB|Ace bandage|C0336591|||||||1
AB|Alcian blue|C0001933|||||1|0.0444|1
AB|Antibodies;Antibody;Antibody, NOS;antibodies;antibody|C0003241;C0021027|||C0003241;C0021027;C1621287|AOD;CHV;CSP;FMA;GO;LNC;MSH;MTH;NCI;NDFRT;SNOMEDCT;UWDA|1|0.7669|1
AB|Antibodies [Chemical/Ingredient]||||C0003241|NDFRT|||
AB|Antibody (substance)||||C0003241|SNOMEDCT|||
AB|Autologous blood||||||1|0.0112|
AB|X-ray finding||1|0.002|||||
AB|abdomen|C0000726;C0230168;C1281594|||C0000726;C0230168;C1281594|AOD;CHV;CSP;CST;FMA;HL7V2.5;LCH;LNC;MSH;MTH;NCI;OMIM;SNOMEDCT;UWDA|||
AB|abdominal|C0000726|||C0000726|CHV;LNC;NCI;SNOMEDCT|||1
AB|able-bodied||||||1|0.0264|
AB|abnormal|C0205161;C2347472;C2699333|||||||1
AB|abnormalities;abnormality|C0000768;C0000769;C1704258|||C0000769|MSH|||1
AB|abortion|C0156543;C0392535|1|0.690|C0156543;C0392535;C1548806|AOD;CHV;COSTAR;CSP;CST;HL7V2.5;LCH;MEDLINEPLUS;NCI;SNOMEDCT|||1
AB|abortus|C0000781;C1281512;C2004086|||||||1
AB|active bilaterally||||||||1
AB|acute bronchitis|C0149514|||||1|0.0045|
AB|aid to the blind|C0001844|||||||1
AB|air bleed||||||||1
AB|air-bone||||||||1
AB|amobarbital|C0002640|||||1|0.0051|
AB|amphotericin B|C0002679|||||1|0.0163|
AB|ankle-brachial||1|0.002|||||1
AB|anomalies;teratologic|C0000769|||C0000769|MSH;MTH|||
AB|anterior basal||||||||1
AB|anterior burster||||||1|0.0163|
AB|antibiotic;antibiotics|C0003232|||C0003232|AOD;CHV;CSP;LCH;LNC;MEDLINEPLUS;MSH;MTH;NCI;PDQ;SNOMEDCT|1|0.014|1
AB|antibodi;antibodied;antibodis||||C0003241|CHV|||
AB|antibodys||||C0003241|CHV|||
AB|antigen binding|C1148575|||C1148575|GO;MTH;NCI|||1
AB|antipyrine benzocaine|C1445655|1|0.002|||||
AB|aortic banding||||||1|0.0056|
AB|apex beat|C0277909|||||||1
AB|apical-to-basolateral||||||1|0.0073|
AB|apnea and bradycardia||||||||1
AB|armboard||||||||1
AB|arsenobetaine|C0052420|||||1|0.0051|
AB|arterial blood|C0229665;C1550611;C2335890|1|0.002|||||
AB|artium baccalaureus|C1549948|||C1549948|NCI|||
AB|asbestos bodies;asbestos body|C0333598|||C0333598|NCI;SNOMEDCT|1|0.0247|1
AB|asthmatic bronchitis|C1319018|||C1319018|CHV;MTH;SNOMEDCT|||1
AB|attentional blink|C1955945|||C1955945|MSH|1|0.0298|1
AB|autoantibodies|C0004358|||||1|0.0118|
AB|autogenous bone||||||1|0.0034|
AB|autonomic blockade||||||1|0.0073|
AB|axiobuccal||||||||1
AB|azure B|C0052827|||||||1
AB|blood group in ABO system||1|0.274|||||1
AB|teratology|C0000769;C0220925|||C0000769|MSH|||
AB|type A, type B||1|0.016|||||
ABR|ABR;ABR gene;ACTIVE BCR-RELATED GENE;active BCR-related gene|C1412101|||C1412101|HUGO;MTH;OMIM|||
ABR|American Board of Radiology||||||1|0.0143|
ABR|Auditory brainstem response;auditory brain stem response;auditory brainstem response|C0079319;C0085854|1|1|C0085854|CHV;MSH|1|0.9697|1
ABR|MDB|C0025149;C0043896;C1412101|||C1412101|HUGO|||
ABR|abortus-Bang-ring||||||||1
ABR|abrasion|C0043242;C0580209;C1302752|||||||1
ABR|absolute bedrest||||||||1
ABR|agglutination test for brucellosis||||||||1
ABR|anterior band remover||||||||1
ABR|arterial baroreflex||||||||1
ABR|artery to bronchus ratio||||||||1
ABR|audiometric brainstem response||||||||1
ABR|auditory brain stem evoked response|C0079319|||C0079319|MSH|||
ABR|auditory brainstem||||||1|0.0101|
ABR|response testing||||||1|0.0059|
ACE|AC|C1879503|||C0050385|PDQ|||
ACE|AC chemotherapy protocol;AC protocol;CA protocol;Cyclophosphamide/Doxorubicin;Doxorubicin/Cyclophosphamide;cyclophosphamide/doxorubicin;doxorubicin cyclophosphamide;cyclophosphamide/doxorubicin protocol|C0050385|||C0050385|CHV;MSH;MTH;NCI;PDQ|||
ACE|ACE;ACe|C0022709;C0201888|||C0022709;C0050385;C0108844;C0201888;C0279078;C1413931|CSP;HUGO;NCI;OMIM;PDQ|||
ACE|ACE (wrap)||1|0.016|||||
ACE|ACE - Angiotensin-converting enzyme;Angiotensin Converting Enzyme;Angiotensin converting enzyme;Angiotensin-Converting Enzyme;Angiotensin-converting enzyme;angiotensin converting enzyme;angiotensin converting enzymes;angiotensin-converting enzyme;Antigens, CD143;CD143 Antigen;CD143 Antigens;Carboxycathepsin;Dipeptidyl Carboxypeptidase I;Dipeptidyl carboxypeptidase I;Dipeptidyl Peptidase A;Peptidase P;Peptidyl Dipeptidase A;Peptidyl-Dipeptidase A;Peptidyl-dipeptidase A;peptidyl dipeptidase A;dipeptidyl peptidase;kininase|C0022709|1|0.982|C0022709;C0201888;C2258685|CHV;CSP;GO;LNC;MSH;MTH;NCI;NDFRT;SNOMEDCT|1|0.9545|1
ACE|ACE Gene;ACE gene|C1413931|||C1413931|HUGO;LNC;MTH;NCI|||
ACE|ACE measurement;Angiotensin Converting Enzyme Measurement;Angiotensin converting enzyme measurement;Angiotensin-I-converting enzyme measurement;Peptidyl dipeptidase A measurement|C0201888|||C0201888|MTH;NCI;SNOMEDCT|||
ACE|ACE-II;AVE;CAVP-16;CDE chemotherapy protocol;CDE protocol;CDE protocol-cyclophosphamide/doxorubicin/etoposide|C0108844|||C0108844|CHV;MSH;MTH;NCI;PDQ|||
ACE|ACE1|C1413931;C2984140|||C1413931|HUGO;OMIM|||
ACE|ANGIOTENSIN I-CONVERTING ENZYME;Angiotensin I Converting Enzyme;Angiotensin I-Converting Enzyme;angiotensin converting enzyme i;angiotensin i converting enzyme;DIPEPTIDYL CARBOXYPEPTIDASE 1;Dipeptidyl Carboxypeptidase 1;KININASE II;Kininase II|C0022709;C1413931|||C0022709;C1413931|CHV;MSH;NCI;NDFRT;OMIM;SNOMEDCT|||
ACE|ANTIGENS CD 143;CD 143 ANTIGENS||||C0022709|MSH|||
ACE|APE|C0032636;C1675848|||C0279078|NCI;PDQ|||
ACE|APE chemotherapy protocol;cisplatin/cytarabine/etoposide protocol|C0279078|||C0279078|CHV;MTH|||
ACE|ARA-C/CDDP/VP-16||||C0279078|NCI;PDQ|||
ACE|Addenbrooke's Cognitive Examination||||||1|0.0017|
ACE|Angiotensin I Converting Enzyme (Peptidyl-Dipeptidase A) 1 Gene||||C1413931|NCI|||
ACE|Angiotensin converting enzyme inhibitors|C0003015;C2757044|||||1|0.0023|
ACE|Angiotensin converting enzyme measurement (procedure)||||C0201888|SNOMEDCT|||
ACE|Angiotensin-converting enzyme (substance)||||C0022709|SNOMEDCT|||
ACE|CA||||C0050385|NCI;PDQ|||
ACE|CAE||||C0108844|NCI;PDQ|||
ACE|CAVP|C0055598;C0108844;C0163868|||C0108844|NCI;PDQ|||
ACE|CD143|C0022709;C1413931;C2599700;C2984140|||C0022709;C1413931|HUGO;NCI|||
ACE|CDE|C0108844;C1521917|||C0108844|NCI;PDQ|||
ACE|CED||||C0108844|NCI;PDQ|||
ACE|CTX/DOX||||C0050385|NCI;PDQ|||
ACE|CTX/DOX/VP-16||||C0108844|NCI;PDQ|||
ACE|Cisplatin/Cytarabine/Etoposide;cisplatin/cytarabine/etoposide||||C0279078|NCI;PDQ|||
ACE|Cyclophosphamide/Doxorubicin/Etoposide;cyclophosphamide/doxorubicin/etoposide||||C0108844|NCI;PDQ|||
ACE|DCP1|C0752526;C1413931;C2984140|||C1413931|OMIM|||
ACE|Dipeptidyl carboxypeptidase I (substance)||||C0022709|SNOMEDCT|||
ACE|EC 3.2.1.-||||C0022709|NCI|||
ACE|EC 3.4.15.1||||C0022709|NCI|||
ACE|Kininase A||||C0022709|MSH;NDFRT|||
ACE|Peptidyl dipeptidase A measurement (procedure)||||C0201888|SNOMEDCT|||
ACE|Peptidyl-Dipeptidase A [Chemical/Ingredient]||||C0022709|NDFRT|||
ACE|accessory cholera enterotoxin|C0216868|||C0216868|MSH|||1
ACE|acentric||||||||1
ACE|acerebellar||||||1|0.0021|
ACE|acetaldehyde|C0000966|||C0000966|AOD;CHV;CSP;LNC;MSH;NCI;NDFRT;SNOMEDCT|||
ACE|acetate|C0000975|||C0000975|AOD;CHV;CSP;LNC;MTH;NCI;NDFRT;RXNORM;SNOMEDCT;VANDF|||
ACE|acetone|C0001002|||C0001002|AOD;CHV;CSP;LCH;LNC;MSH;MTH;NCI;NDFRT;RXNORM;SNOMEDCT;VANDF|||
ACE|acetonitrile|C0050456|||||||1
ACE|acetylcholine esterase;acetylcholinesterase|C0001044|||C0001044;C1412122|AOD;CHV;CSP;HUGO;LNC;MSH;MTH;NDFRT;OMIM;RXNORM;SNOMEDCT|1|0.0064|
ACE|actinium emanation||||||||1
ACE|acute care for elderly||||||||1
ACE|acute cerebral encephalopathy||||||||1
ACE|acute coronary event||||||||1
ACE|adrenocortical extract||||||||1
ACE|advanced combined encoder||||||||1
ACE|adverse clinical event||||||||1
ACE|aerobic chair exercise||||||||1
ACE|aerosol cloud enhancer||||||||1
ACE|affinity capillary electrophoresis||||||1|0.0116|
ACE|alcohol, chloroform, ether||||||||1
ACE|amygdaloid central nucleus;central amygdaloid nucleus|C0175219|||C0175219|FMA|1|0.0068|
ACE|angiotensin I converting enzyme (peptidyl-dipeptidase A) 1||||C1413931|HUGO|||
ACE|angiotensin converting enzyme (ACE) test||||C0201888|CHV|||
ACE|angiotensin converting enzyme gene||||||1|0.0015|
ACE|antegrade colonic enema||||||||1
ACE|antegrade continence enema||1|0.002|||1|0.0044|1
ACE|arm crank ergometer||||||1|0.0011|
ACE|arm crank ergometry||||||1|0.0009|
ACE|autologous-cultured epithelium||||||||1
ACE|central nucleus of the amygdala||||||1|0.0061|
ACE|cisplatin, cytarabine, and etoposide chemotherapy protocol||||C0279078|CHV|||
ACE|cyclophosphamide and etoposide||||||1|0.0006|
ACE|cyclophosphamide doxorubicin (AC protocol);cyclophosphamide doxorubicin (AC) protocol||||C0050385|CHV|||
ACE|cyclophosphamide, doxorubicin and etoposide chemotherapy protocol||||C0108844|CHV|||
ACL|ACL|C0683459;C1412125|||C0683459;C1412125|AOD;HUGO;OMIM|||
ACL|ACLY;ACLY gene;ATPCL;CLATP|C1412125|||C1412125|HUGO;MTH;OMIM|||
ACL|ATP CITRATE LYASE;ATP citrate lyase;ATP-citrate lyase;ATP citrate synthase|C0004199;C1412125|||C1412125|HUGO;OMIM|1|0.009|
ACL|Achievement Checklist||||||||1
ACL|Adjective Check List;Adjective CheckList;adjective check list|C0683459|||C0683459|AOD;CHV;MTH|1|0.0082|1
ACL|Allen Cognitive Level||||||||1
ACL|American cutaneous leishmaniasis|C1328252|||||1|0.0301|
ACL|accessory collateral ligament||||||||1
ACL|acetyl-L-carnitine|C0524474|1|0.008|||||
ACL|acromegaloid features, cutis verticis gyrata, corneal leukoma||||||||1
ACL|adenocarcinoma of the lung|C0152013|||||1|0.0043|
ACL|anal canal length||||||||1
ACL|anterior|C0205094|||||1|0.0043|
ACL|anterior cruciate||||||1|0.0047|
ACL|anterior cruciate ligament|C0078960;C1748452|1|0.984|C0078960;C1748452|CHV;FMA;MSH;MTH;NCI;SNOMEDCT;UWDA|1|0.6521|1
ACL|anti-cardiolipin;anticardiolipin||1|0.002|||1|0.0886|1
ACL|anti-cardiolipin antibody;anticardiolipin antibodies|C0162596|||||1|0.1897|
ACL|antibodies to cardiolipin||||||1|0.009|
AC|(drug) AC||1|0.322|||||
AC|A||||C0560271|NCI|||
AC|AC;ac;AC Regimen;AC regimen;Adriamycin-Cytoxan Regimen;CA Regimen|C1879503|||C0003354;C0050385;C0560271;C1300813;C1412573;C1550738;C1879503|HL7V3.0;HUGO;LNC;MTH;NCI;OMIM;PDQ|||
AC|AC DEFICIENCY;ACDase;ACID CDase;ASAH;ASAH1;ASAH1 gene;FLJ21558;N-ACYLSPHINGOSINE AMIDOHYDROLASE 1;N-ACYLSPHINGOSINE DEACYLASE;PHP32|C1412573|||C1412573|HUGO;MTH;OMIM|||
AC|AC chemotherapy protocol;AC protocol;CA protocol;Cyclophosphamide/Doxorubicin;Doxorubicin/Cyclophosphamide;cyclophosphamide/doxorubicin;doxorubicin and cyclophosphamide;doxorubicin cyclophosphamide;cyclophosphamide/doxorubicin protocol|C0050385|||C0050385|CHV;MSH;MTH;NCI;PDQ|1|0.0077|
AC|ACE;ACe|C0022709;C0201888|||C0050385|CSP;NCI;PDQ|||
AC|ACID CERAMIDASE;acid ceramidase|C1412573;C2350443|||C1412573|OMIM|1|0.0033|
AC|ACID CERAMIDASE DEFICIENCY;FARBER LIPOGRANULOMATOSIS|C0268255;C1412573|||C1412573|OMIM|||
AC|AG||||C0003354|NCI|||
AC|ANTIGUA AND BARBUDA;Antigua and Barbuda;Barbuda and Antigua||||C0003354|AOD;MSH;MTH;NCI;SNOMEDCT|||
AC|ATG||||C0003354|NCI|||
AC|Abdominal Circumference;Abdominal circumference;abdominal circumference|C1300813|1|0.004|C1300813|CHV;LNC;MTH;SNOMEDCT|||1
AC|Abdominal circumference (observable entity)||||C1300813|SNOMEDCT|||
AC|Acebutolol|C0000946|||||1|0.0037|
AC|Acinetobacter calcoaceticus|C0085467|||||||1
AC|Acre;acre;acres|C0560271;C2347175|||C0560271|CHV;HL7V3.0;MTH;NCI;SNOMEDCT|||
AC|Acre British;[ACR_BR]|C0560271|||C0560271|NCI|||
AC|Acre International||||C0560271|NCI|||
AC|Adriamycin and cyclophosphamide;adriamycin cyclophosphamide||1|0.236|||1|0.003|
AC|Air Conduction;air conduction|C0234744|||C0234744|SNOMEDCT|1|0.0055|1
AC|Antigua and Barbuda (geographic location)||||C0003354|SNOMEDCT|||
AC|Ar|C2986463|||C0560271|NCI|||
AC|Arachnoid cysts|C0078981|||||1|0.003|
AC|Autographa californica|C2767814|||||1|0.0033|
AC|Before Meal;Before Meals;Before meal;before meals;meal before;Before food;before food;food before;Preprandial;preprandial;ac - ante cibum;ante cibum;ante cibus|C1550738|1|0.084|C1550738|CHV;MTH;NCI;SNOMEDCT|||1
AC|Before food (qualifier value)||||C1550738|SNOMEDCT|||
AC|Before meal (qualifier value)||||C1550738|SNOMEDCT|||
AC|CA||||C0050385|NCI;PDQ|||
AC|CERAMIDASE DEFICIENCY|C0268255;C2936785|||C1412573|OMIM|||
AC|CTX/DOX||||C0050385|NCI;PDQ|||
AC|FARBER DISEASE|C0268255;C1412573;C2936785|||C1412573|OMIM|||
AC|N-LAURYLSPHINGOSINE DEACYLASE DEFICIENCY|C1412573;C2936785|||C1412573|OMIM|||
AC|N-acylsphingosine amidohydrolase (acid ceramidase) 1||||C1412573|HUGO|||
AC|NATO code for HCN||||||||1
AC|abcoulomb||||||||1
AC|abdominal compression||||||||1
AC|aberrant crypts||||||1|0.0055|
AC|ablation catheter|C0162563|||||||1
AC|abrupt closure||||||||1
AC|absorption coefficient||||||||1
AC|absorptive cell||||||||1
AC|abuse case||||||||1
AC|accessory cell;accessory cells|C0003315|||C0003315|CSP;NCI|1|0.0373|
AC|accommodative convergence||||||||1
AC|acetate|C0000975|1|0.008|||1|0.0096|1
AC|acetone|C0001002|||||1|0.0055|
AC|acetyl||||||||1
AC|acetylcholine|C0001041;C0523441|||C0001041;C0523441|AOD;CHV;CSP;FMA;LCH;LNC;MSH;MTH;NCI;NDFRT;RXNORM;SNOMEDCT;UWDA;VANDF|1|0.0052|
AC|achaete||||||1|0.0074|
AC|acid|C0001128|||||||1
AC|acidified complement||||||||1
AC|acidity|C0001128;C0847097;C0920750|||||||1
AC|aconitine|C0001159|||||||1
AC|acre (qualifier value)||||C0560271|SNOMEDCT|||
AC|acromioclavicular|C0695640|1|0.316|C0695640|CHV|1|0.0251|1
AC|acrylamide|C0050587|||||1|0.0037|
AC|actinium|C0001246|||||||1
AC|activated carbon;activated charcoal|C0001275|||C0001275|CHV;MSH;MTHSPL;NCI;NDFRT;RXNORM;SNOMEDCT|1|0.0354|1
AC|activation coefficient||||||1|0.003|
AC|activity coefficient||||||1|0.0033|
AC|acupuncture clinic||||||||1
AC|acute|C0205178|||C0205178;C1547229;C1547295|CHV;DXP;HL7V2.5;MTH;NCI;SNOMEDCT|||1
AC|acute acalculous cholecystitis|C0267842|||||1|0.0018|
AC|acute cholecystitis|C0149520|||C0149520|AOD;CHV;COSTAR;ICD9CM;MSH;NCI;NDFRT;SNOMEDCT|1|0.0144|1
