abbreviation	sense	variation	CUI	frequency
vums	vanderbilt university medical school	VUMS_8	c0036378	1
meq	milliequivalent	meq_11|mEq_9	c0439152	1
sle	systemic lupus erythematosus	SLE_23	c0024141	1
achs	before meals and at bedtime	achs_5|ACHS_4	c1879794	1
vumc	vanderbilt university medical center	VUMC_20	c0000872	1
ega	estimated gestational age	EGA_16|ega_4	c0262472	1
rdw	red cell distribution width	RDW_7	c0427460	1
ibs	irritable bowel syndrome	ibs_1|IBS_21	c0022104	1
cts	carpal tunnel syndrome	CTS_7	c0007286	0.7996
cts	counts	cts_3|Cts_1	c0439157	0.0264
cts	chest tubes	CTs_5	c0008034	0.0549
cts	computed tomography scans	CTs_9|CTS_1|cts_1	c0040405|c0441633	0.097
cts	computed tomography	CTS_1	c0040405	0.0222
ekg	electrocardiogram	EKG_23|ekg_2	c0013798	1
picu	pediatric intensive care unit	PICU_20	c0021710	1
tdap	"tetanus, diphtheria and acellular pertussis"	Tdap_14|tdap_2|TdaP_2|TDAP_2	c0535644	1
cbil	concentration of bilirubin	CBil_10	c0427734	1
cta	computerized tomography angiogram	CTA_1	c1536105	0.002
cta	clear to auscultation	CTA_17|cta_1	c2963144|c0004339	0.998
ctm	continue to monitor	CTM_13|ctm_7	c0030695	1
deg	degrees	deg_6	c0449286	1
bk	below the knee	BK_3	c0230433	0.0135
bk	bk virus (genus polyomavirus)	BK_12|Bk_1	c0005670	0.9865
picc	peripherally inserted central catheter	PICC_19|picc_1	c0179740	1
w_o	without	w/o_22|W/O_2	c0332288	1
wic	"women, infants and children"	WIC_13	c0043210|c0021270|c0008059	0.331
wic	"women, infants, and children (special supplemental nutrition program)"	WIC_3|wic_1	c0043210|c0021270|c0008059	0.669
pxr	portable x-ray	PXR_9|Pxr_2	c0438653	1
sbe	self breast exam	SBE_12	c0085105	0.241
sbe	subacute bacterial endocarditis	SBE_6	c0014122	0.759
egfr	estimated glomerular filtration rate	eGFR_8|EGFR_1|egfr_1	c0750572|c1561549	1
vasap	"vanderbilt asthma, sinus and allergy program"	VASAP_14	c3242129|c0020517|c0004096|c0497341	1
esrd	end stage renal disease	.ESRD_1|ESRD_18|esrd_1	c0374846	1
apn	advance practice nurse	APN_8|Apn_1	c1510818	0.953
apn	apnea	apn_1	c1963065	0.047
tp	transverse process	TP_6|tp_1	c1305534	0.8938
tp	total protein	TP_3	c0439177	0.0726
tp	thought process	TP_1	c0025361	0.0228
tp	total parenteral	TP_1	c0030548	0.0108
vit	vitamin	Vit_12|vit_5|VIT_1	c0042890	1
recs	recommendations	RECS_1|Recs_2|recs_17	c0034866	1
w_u	work up	w/u_27	c0750430	1
heent	"head, eyes, ears, nose, throat"	HEENT_24	c1512338	1
bt	blalock-taussig shunt	BT_3|bt_1	c0179328	0.9904
bt	birth	Bt_1	c0005615	0.0096
ngt	nasogastric tube	NGT_17|ngt_5|nGT_1	c0085678	1
ssn	social security number	SSN_7	c1301821	1
mmf	maxillomandibular fixation	MMF_7	c0376509	0.03
mmf	mycophenolate mofetil	MMF_18|mmf_2	c0209368	0.97
dna	deoxyribonucleic acid	DNA_35|dna_1	c0012854	1
perf	perforated	perf._1	c0549099	0.0237
perf	perforation	perf_16|PERF_1	c0549099	0.9763
gerd	gastroesophageal reflux disease	GERD_20	c0017168	1
fen	"fluids, electrolytes, and nutrition"	FEN_17|Fen_3	c0518892|c1521739	1
pred	prednisone	Pred_3|pred._1|pred_15|PRED_1	c0032952	0.928
pred	predicted	pred_1	c0681842	0.072
fem	femoral	fem_22|Fem_2	c0015811	1
msn	masters of science in nursing	MSN_12|Msn_1	c1549983	1
msk	musculoskeletal	MSK_18|msk_2	c0497254	1
m0	metastasis	M0_17	c0027627	1
maew	moves all extremities well	MAEW_13	c0586175|c0205307	1
vi	six	VI_17|vi_1	c0205452	1
lymabs	absolute lymphocyte count	LymAbs_5	c0200635	1
mwf	"monday, wednesday, friday"	.MWF_1|mwf_2|MWF_23	c0585024|c0585027|c0585029	1
nka	no known allergies	NKA_5|nka_5	c0262580	1
kgs	kilograms	kgs_12	c0439209	1
rhythm	rhythm	Rhythm_2|rhythm_12|RHYTHM_1	c1523018	1
oob	out of bed	OOB_18|oob_3	c2987219	1
musc	muscular	Musc_5|MUSC_14|musc_1	c0442025	1
iu	international units	IU_10|iu_4	c0439453	1
c_o	complaining of/complaints of	C/o_1|c/o_19	c0277786	1
vm	voicemail	vm_11|VM_7	null	1
babs	absolute basophils	BAbs_10	c0200641	1
w_out	without	w/out_21	c0332288	1
pft	pulmonary function test	PFT_17|pft_3	c0024119	1
c_w	complicated with	c/w_1	c0231242	0.002
c_w	consistent with	c/w_35	c0332290	0.998
c-ph	ph	C-pH_4	c0020283	1
cellcept	mycophenolate	cellcept_6|CellCept_4|Cellcept_10	c0883242	1
pccu	pediatric critical care unit	PCCU_18|pccu_2	c0021710	1
md	doctor of medicine	MD_2|M.D_12	c1512018	1
phos	phosphate	Phos_14|phos_4	c0031603	0.995
phos	phosphorous	phos_2	c0031705	0.005
dispo	disposition	DISPO_5|Dispo_17|dispo_1	c0743223	1
avm	arteriovenous malformation	AVM_32|avm_1	c0334533	1
mm	millimeter	mm_16	c0439200	0.9878
mm	mucous membranes	MM_1	c0026724	0.0082
mm	mismatch	mm_1	c1881865	0.002
mm	multiple myeloma	MM_1	c0026764	0.002
ml	milliliter	ml_17|mL_9	c0439242	1
mo	month/months	mo_19|Mo_1	c0439231	1
des	diethylstilbestrol	DES_3	c0012203	0.3569
des	drug-eluting stent	Des_3|DES_14	c1322815	0.6431
mi	myocardial infarction	MI_21	c0027051	0.998
mi	miles	mi_1	c0331865	0.002
mh	mental health	MH_3	c0025353	0.9186
mh	mental hospital	MH_2	c0020021	0.0814
og	orogastric	og_15|.og_1	c0450104	1
ij	internal jugular	IJ_25|ij_1	c1550269	1
mp	maculopapular	MP_1	c0443253	0.0079
mp	mallampati	MP_2	c0451276	0.168
mp	melphalan prednisone	MP_3	c0284383	0.0571
mp	metacarpophalangeal	MP_8	c0025525	0.7559
mp	melphalan	MP_1	c0025241	0.0111
ms	masters	M.S_2	c0444649	0.0166
ms	mental status	MS_1	c0278060	0.0021
ms	musculoskeletal	MS_5	c0497254	0.0323
ms	morphine sulfate	ms_1	c0066814	0.0333
ms	multiple sclerosis	MS_2	c0026769	0.0114
ms	miss	Ms_6	c2349206	0.9011
ms	milliseconds	ms_1	c0439223	0.0031
mr	medical record	MR_9	c0025102	0.774
mr	mitral regurgitation	MR_1	c0026266	0.003
mr	mister	Mr_2	c2347167	0.223
vt	ventricular tachycardia	VT_19	c0042514	0.237
vt	tidal volume	VT_7|Vt_1	c0040210	0.763
dec	december	Dec_3	null	0.969
dec	decrease	dec_2	c0547047	0.029
dec	deceased	dec._1	c1549464	0.002
tbsa	total body surface area	TBSA_19|tbsa_1	c0005902	1
cad	computer-aided detection	CAD_1	c1139862	0.004
cad	coronary artery disease	CAD_19	c0010054	0.996
i_o	intake and output	I/O_11|i/o_1	c0204708	1
spy	spy	SPY_1	c1955540	0.01
spy	spray	spy_9	c2003858	0.99
icd-9	international classification of diseases book 9	ICD-9_20	c1550213	1
spo2	pulse oximeter oxygen saturation	SpO2_10|SPO2_2|Spo2_1	c0182109|c0369768	1
tab	tablet	Tab_5|tab_11	c0039225	1
cardio	cardiology	CARDIO_12|cardio_5|Cardio_3	c0007189	1
ic	intercostal	IC_1	c0230136	0.3747
ic	intercourse	IC_3	c0009253	0.4153
ic	interstitial cystitis	IC_10	c0600040	0.21
fengi	"fluids, electrolytes, nutrition, gastrointestinal"	FENGI_20	c0518892|c1521739|c0521362	1
vzv	varicella zoster virus	VZV_18	c0042338	1
sats	saturation	Sats_6|sats_14	c0678572	1
s3	third heart sound	S3_13	c0232237	1
s2	second heart sound	s2_3|S2_17	c0232230	1
s1	first heart sound	S1_20	c0232223	1
csf	"chloramphenicol, sulfanilamide, fungizone"	CSF_1	c0008168|c0038702|c0812405	0.009
csf	cerebrospinal fluid	CSF_20	c0007807	0.991
csa	cyclosporine a	CSA_27	c0010592	1
afb	acid fast bacilli	AFB_20	c0483226	1
s4	fourth heart sound	S4_19	c0232240	1
pmi	point of maximum impulse	PMI_19	c0425601	1
gcs	glasgow coma scale	GCS_20	c0017594	1
ent	ear nose throat	ENT_19|ent_1	c0150934	1
ivig	intravenous immune globulin	ivig_2|IVIG_22|IVIg_1	c0085297	1
cst	central standard time	CST_5|cst_1	null	1
csp	cyclosporine	CSP_14	c0010592	1
snf	skilled nursing facility	SNF_21|snf_1	c0037265	1
vcug	voiding cystourethrogram	VCUG_24	c0203123	1
npo	nil per os	NPO_21|npo_4	c0419179	1
ft	feet	ft_18	c0347981	0.7935
ft	foot	ft._1	c0016504	0.002
ft	full time	FT_1	c1553424	0.0071
ft	full term	FT_5	c0239696	0.1974
fu	fluorouracil	FU_2	c0016360	0.018
fu	follow up	fu_9|Fu_1|FU_7	c1522577	0.982
lad	lymphadenopathy	LAD_9|lad_1	c0497156	0.532
lad	left anterior descending	LAD_10	c0226032	0.468
cd33	cluster of differentiation 33	CD33_12	c1955216	1
incr	increased	incr_33|Incr_1|inCR_1	c0442805	1
lab	laboratory	LAB_4|lab_8|Lab_7	c0022877	1
lac	laceration	lac_12	c0043246	0.2867
lac	lactic acid	LAC_7	c0064582	0.7133
rdwsd	standard deviation in red cell distribution width	RDWSD_3	c0871420|c0427460	1
mac	mycobacterium avium complex	MAC_7	c0026914	0.1662
mac	monitored anesthesia care	MAC_3	c0497677	0.6877
mac	macaroni	Mac_1	c0452696	0.0602
mac	macular	Mac_2	c0332574	0.086
stim	stimulation	stim_17|stim._1	c1292856	1
fe	forced expiration	FE_1	c0454504	0.014
fe	iron	fe_4|FE_2|Fe_25	c0302583	0.975
fe	female	fe_1	c0086287	0.011
mag	magnesium	mag_12|Mag_10|MAG_4	c0024467	0.9849
mag	magnesia	mag_1	c0024477	0.0151
fh	family history	FH_19|fh_1	c0241889	1
g_r_m	"gallops, rubs, murmurs"	G/R/M_5|g/r/m_2	c0018808|c0232200|c0232267	1
fk	tacrolimus	FK_26|Fk_1|fk_2	c0085149	1
plt-ct	platelet count	Plt-Ct_9	c1287267	1
fk-506	tacrolimus	FK-506_10	c0085149	1
sz	seizure	SZ_4|Sz_3|sz_28	c0036572	0.993
sz	sz phenotype of alpha-1-antitrypsin-deficiency	SZ_2	c0221757	0.007
sx	symptoms	Sx_1|SX_1|sx_17	c1457887	0.997
sx	surgery	Sx_1	c0038894	0.003
lhc	left heart catheterization	LHC_27	c0189897	1
ss	social security	SS_1	c0037435	0.0077
ss	standard score	SS_2	c0871421	0.2623
ss	sliding scale	ss_3|SS_5	c2937251	0.7101
ss	symptom score	SS_1	c3533163	0.0061
ss	steri-strips	SS_1	c0727944	0.0138
sr	sinus rhythm	SR_1	c0232201	0.0041
sr	standard risk	SR_2	c0173322	0.0062
sr	sustained release	sr_5|s.r_2|SR_6	c1710261	0.9897
sq	subcutaneous	SQ_9|sq_11	c0443315	1
c-be	base excess	C-BE_4	c1330956|c0201985	1
sw	southwest	S.W_1	c1710136	0.0137
sw	swish	sw_2|SW_1	c1699290	0.0747
sw	social worker	SW_1	c0037444	0.0305
sw	semmes-weinstein	SW_2	c2960149	0.0515
sw	social work	SW_12|sw_2	c0037441	0.8297
rcspo2	oxygen saturation	rcSpO2_10	c0369768	1
sgpt	serum glutamic pyruvic transaminase	SGPT_10	c0001899	1
st	st segment	ST_1	c0429029	0.1667
st	st elevations	ST_1	c0520886	0.1667
st	sore throat	ST_1	c0242429	0.1667
st	speech therapy	ST_1	c0037831	0.5
si	sacroiliac	SI_6|si_1	c0555898	0.7981
si	suicidal ideation	SI_6|si_1	c0424000	0.1717
si	signs	si_1	c0422819	0.0302
sh	push	sh_1	c0580841	0.014
sh	shampoo	sh_1	c0150765	0.007
sh	she	SH_1	null	0.007
sh	social history	SH_13	c0424945	0.972
nsaids	nonsteroidal anti-inflammatory drugs	NSAIDs_8|NSAIDS_10|nsaids_2	c0003211	1
sl	slightly	sl._1|Sl_1|sl_8|SL_1	c0750482	0.2239
sl	sublingual	Sl_1|SL_6|sl_4	c0026638	0.6564
sl	slight	sl_6	c2937276	0.1196
hfa	hydrofluoroalkane	HFA_11|hfa_3	c1721232	1
dz	disease	dz_19|DZ_1|Dz_6	c0012634	1
coag	coagulation	Coag_6|coag_1	c0005778	0.742
coag	coagulase	coag_3	c0009118	0.258
pre-op	pre-operative	Pre-op_7|Pre-OP_1|Pre-Op_5|pre-op_7	c0445204	1
bs+	bowel sounds present	BS+_2|bs+_2	c0278005	1
rue	right upper extremity	RUE_27	c0230329	1
egd	esophagogastroduodenoscopy	EGD_22|egd_1	c0079304	1
afsf	anterior fontanelle soft and flat	AFSF_20	c0578480	1
vmg	vanderbilt medical group	VMG_15	null	1
ttp	tender to palpation	ttp_12|TTP_5	c0234234|c0030247	0.988
ttp	thrombotic thrombocytopenic purpura	ttp._1|TTP_2	c0034155	0.012
fio2	fraction of inspired oxygen	FiO2_9|FIO2_1	c0428167	1
sgot	serum glutamic oxaloacetic transaminase	SGOT_10	c0242192	1
gtts	drops	gtts._2|gtts_28|GTTS_2	c1321095	1
afib	atrial fibrillation	A.fib_1|Afib_10|AFib_2|afib_13	c0004238	1
etoh	alcohol	EtOH_6|ETOH_13|etoh_2|Etoh_2	c0001975	1
lm	leave message	LM_1	c0470166	0.0074
lm	left message	lm_2|LM_4	c2957131	0.8449
lm	landmarks	LM_2	c0504075	0.0169
lm	lower middle	LM_2	c0682202	0.0084
lm	left main artery	LM_4	c1261082	0.1224
vms	vanderbilt medical student	VMS_9	c0038495	0.998
vms	voicemail service	vms_1	null	0.002
tte	transthoracic echocardiogram	TTE_29	c0430462	1
ccls	certified child life specialist	CCLS_17|ccls_1	c1444167|c0029039	1
uop	urinary output	uop_2|UoP_1|UOP_16|UOp_1	c0232856	1
lb	pounds	lb_9	c0439219	1
tsh	thyroid-stimulating hormone	TSH_18|tsh_2	c0040160	1
la	left atrium	LA_9	c1269894	0.5764
la	lactic acid	LA_2	c0064582	0.0439
la	long acting	LA_5|la_1	c0304870	0.364
la	los angeles	LA_2	c0024015	0.0157
ln	lymph node	LN_15|Ln_2	c0024204	0.9947
ln	lane	Ln_2	c1708639	0.0053
sd	standard deviation	SD_12	c0871420	1
pcp	pneumocystis carinii pneumonia	PCP_1	c0032305	0.057
pcp	phencyclidine	PCP_1	c0031381	0.011
pcp	primary care provider/physician	Pcp_1|PCP_17	c0033131	0.932
subq	subcutaneous	subq_14|SubQ_4|Subq_1|SUBQ_1|subQ_3	c0443315	1
pcv	packed cell volume	PCV_18|pcv_1	c0018935	0.997
pcv	pressure controlled ventilation	Pcv_1	c0564626	0.003
ntabs	neutrophil absolute count	NtAbs_4	c0948762	1
lv	left ventricular/ left ventricle	LV_24	c0225897	1
lt	light	lt_1	c1306462	0.0132
lt	light touch	lt_1	c0423553	0.0385
lt	left	LT_4|lt_10|Lt_7	c0205091	0.9483
pci	percutaneous coronary intervention	PCI_24	c1532338	1
gtt	glucose tolerance test	GTT_2	c0017741	0.005
gtt	gutta	gtt_16	c1321095	0.995
ssc	similac special care	ssc_5|SSC_8	c3196396	1
lp	lumbar puncture	LP_18|Lp_1	c0037943	0.9389
lp	licensed practical	L.P_1	c0237709	0.0611
pca	patient-controlled analgesia	pca_4|PCA_5	c0078944	0.986
pca	post conceptual age	PCA_1	c2963526	0.006
pca	posterior cerebral artery	PCA_2	c1269013	0.008
tsp	teaspoon	tsp_18|Tsp_2	c1533179	1
cls	child life specialist	CLS_15	null	1
qhs	quaque hora somni	qhs_14|QHS_3	c1275563	1
yo	year old	y.o_4|yo_4	c0001779	1
cpe	complete physical examination	cpe_11|CPE_9	c0436120	1
emg	electromyogram	EMG_25	c0013839	1
nibp	non-invasive blood pressure	NIBP_10	c0428889	1
mivf	maintenance intravenous fluids	MIVF_19|mivf_1	c0559692	1
mgmt	management	mgmt_24|Mgmt_1	c1273870	1
pfsh	"past, family, and social history"	PFSH_9|pFSH_1	c3483724	1
mmhg	millimeters of mercury	mmHg_16	c0439475	1
extr	extremities	Extr_7|extr_7|EXTR_7	c0015385	1
pes	"latin for """"foot"""" / part of """"pes planus"""" = """"flat foot"	Pes_3	c0016202	0.6561
pes	pulmonary embolisms	PEs_7	c0034065	0.2017
pes	"latin for """"foot"""" / part of """"pes cavus"""" = high-arched foot"	Pes_1	c1846085	0.0032
pes	"part of """"pes anserine"""" =  insertion of the conjoined tendons of three muscles onto the anteromedial surface of the proximal extremity of the tibia"	pes_3	c2315006	0.1391
loz	lozenge	loz_5	c0991564	1
tropnt	troponin t	TropnT_10	c0077404	1
tues	tuesday	tues._1|tues_1|TUES_1|Tues_7	c0585026	1
l4	lumbar 4	L4_13	c0223537	1
l5	lumbar five	L5_19|l5_1	c0223552	1
c_c_e	"cyanosis, clubbing, edema"	C/C/E_2|c/c/e_8	c0149651|c0010520|c0013604	1
l3	lumbar 3	L3_15	c0223522	0.988
l3	living children (3)	L3_2	c2229975	0.012
l1	lumbar 1	L1_11	c0223492	1
accu	accu-check	Accu_16|accu_2	c3154176	1
t1	thoracic 1	T1_9	c0459933	0.9846
t1	term births	T1_2	c0233324	0.0132
t1	spin-lattice relaxation time	t1_1	c2697938	0.0022
lpm	liters per minute	LPM_7|lpm_9	c0439393	1
mdi	metered-dose inhaler	MDi_1|MDI_16|mdi_1	c0993596	1
misclabs	miscellaneous labs	MiscLabs_10	c0813126	1
map	mean arterial pressure	MAP_14	c0428886	1
gfr	glomerular filtration rate	GFR_16	c0017654	0.9
gfr	"grunting, flaring, retracting"	GFR_4	c0234892|c1517205|c0332523	0.1
ed	emergency department	ED_15|ed_2	c0562508	0.989
ed	educated	ed_1	c0524327	0.005
ed	** degree	.Ed_1	c0449286	0.004
ed	eating disorder	ED_1	c0013473	0.002
ef	ejection fraction	EF_19	c2700378	1
ucath	urine catheter	UCath_9	c0179802	1
djd	degenerative joint disease	DJD_25|djd_2	c0029408	1
ec	enteric coated	e.c_1|EC_9|ec_2	c0039226	0.8908
