GroupID|RecordID|SF|SFUI|LF|LFUI|Source|LFEUI|Good
G108517|R317290|EAT|S021332|Ehrlich ascites tumor|L012668|ADAM||1
G108517|R317291|EAT|S021332|Ehrlich ascites tumour|L012671|ADAM||1
G108517|R267781|EAT|S021332|Ehrlich ascites tumor|L012668|UMLS|E0024614|1
G108517|R267782|EAT|S021332|Ehrlich ascites tumour|L012671|UMLS|E0024614|1
G108540|R317431|EB|S021353|ethidium bromide|L074255|ADAM||1
G108540|R004126|EB|S021353|ethidium bromide|L074255|UMLS|E0653705|1
G108540|R004127|EB|S021353|ethidium-bromide|L074257|UMLS|E0653705|1
G108543|R317424|EB|S021353|Epstein-Barr|L013124|ADAM||1
G108543|R115497|EB|S021353|Epstein Barr|L013120|UMLS|E0747768|1
G108543|R115498|EB|S021353|Epstein-Barr|L013124|UMLS|E0747768|1
G108665|R317784|EC|S021489|excitation-contraction|L074966|ADAM||1
G108665|R071930|EC|S021489|excitation contraction|L074962|UMLS|E0747693|1
G108665|R071931|EC|S021489|excitation-contraction|L074966|UMLS|E0747693|1
G108665|R071932|EC|S021489|excitation/contraction|L074969|UMLS|E0747693|1
G108671|R317475|ECA|S021511|ethacrynic acid|L074206|ADAM||1
G108671|R207285|ECA|S021511|etacrinic acid|L074202|UMLS|E0026233|1
G108671|R207286|ECA|S021511|etacrynic acid|L074203|UMLS|E0026233|1
G108671|R207287|ECA|S021511|ethacrinic acid|L074205|UMLS|E0026233|1
G108671|R207288|ECA|S021511|ethacrynic acid|L074206|UMLS|E0026233|1
G108752|R317713|ECochG|S021648|electrocochleogram|L071106|ADAM||1
G108752|R053022|ECochG|S021648|electrocochleogram|L071106|UMLS|E0225913|1
G108752|R053023|ECochG|S021648|electro-cochleogram|L071000|UMLS|E0225913|1
G108774|R317821|EDA|S021677|end-diastolic area|L071996|ADAM||1
G108774|R240102|EDA|S021677|end diastolic area|L071924|UMLS|E0736684|1
G108774|R240103|EDA|S021677|end-diastolic area|L071996|UMLS|E0736684|1
G108942|R318258|EFV|S021912|Extracellular fluid volume|L013766|ADAM||1
G108942|R075597|EFV|S021912|extracellular fluid volume|L075658|UMLS|E0580237|1
G108942|R075598|EFV|S021912|extra-cellular fluid volume|L075542|UMLS|E0580237|1
G108962|R318324|EGF-URO|S021952|epidermal growth factor-urogastrone|L073263|ADAM||1
G108962|R318325|EGF-URO|S021952|epidermal growth factor urogastrone|L073256|ADAM||1
G108962|R070151|EGF-URO|S021952|epidermal growth factor urogastrone|L073256|UMLS|E0569910|1
G108962|R070152|EGF-URO|S021952|epidermal growth factor-urogastrone|L073263|UMLS|E0569910|1
G108962|R070153|EGF-URO|S021952|epidermal growth factor/urogastrone|L073264|UMLS|E0569910|1
G109009|R318512|EHDV|S022044|epizootic haemorrhagic disease virus|L073437|ADAM||1
G109009|R318513|EHDV|S022044|epizootic hemorrhagic disease virus|L073444|ADAM||1
G109009|R125018|EHDV|S022044|epizootic hemorrhagic disease virus|L073444|UMLS|E0662401|1
G109009|R125019|EHDV|S022044|epizootic haemorrhagic disease virus|L073437|UMLS|E0662401|1
G109009|R125020|EHDV|S022044|epizootic hæmorrhagic disease virus|L073451|UMLS|E0662401|1
G109091|R297132|ACR|S003655|albumin creatinine ratio|L040673|ADAM||1
G109091|R029760|ACR|S003655|albumin creatinine ratio|L040673|UMLS|E0345028|1
G109091|R029761|ACR|S003655|albumin-creatinine ratio|L040683|UMLS|E0345028|1
G109091|R029762|ACR|S003655|albumin/creatinine ratio|L040687|UMLS|E0345028|1
G109091|R029763|ACR|S003655|albumin:creatinine ratio|L040690|UMLS|E0345028|1
G109091|R029764|ACR|S003655|albumin : creatinine ratio|L040670|UMLS|E0345028|1
G109091|R029772|ACR|S003655|albumin to creatinine ratio|L040680|UMLS|E0729086|1
G109091|R029773|ACR|S003655|albumin-to-creatinine ratio|L040685|UMLS|E0729086|1
G109179|R319017|EM|S022276|expectation-maximization|L075189|ADAM||1
G109179|R319018|EM|S022276|expectation maximization|L075187|ADAM||1
G109179|R021727|EM|S022276|expectation maximisation|L075186|UMLS|E0745311|1
G109179|R021728|EM|S022276|expectation maximization|L075187|UMLS|E0745311|1
G109179|R021729|EM|S022276|expectation-maximisation|L075188|UMLS|E0745311|1
G109179|R021730|EM|S022276|expectation-maximization|L075189|UMLS|E0745311|1
G109246|R318922|EMRSA|S022367|epidemic methicillin-resistant Staphylococcus aureus|L073200|ADAM||1
G109246|R133089|EMRSA|S022367|epidemic methicillin resistant Staphylococcus aureus|L073199|UMLS|E0667905|1
G109246|R133090|EMRSA|S022367|epidemic methicillin-resistant Staphylococcus aureus|L073200|UMLS|E0667905|1
G109255|R318973|EMT|S022386|epithelial-mesenchymal transition|L073420|ADAM||1
G109255|R318974|EMT|S022386|epithelial to mesenchymal transition|L073416|ADAM||1
G109255|R024599|EMT|S022386|epithelial mesenchymal transition|L073407|UMLS|E0714186|1
G109255|R024600|EMT|S022386|epithelial-mesenchymal transition|L073420|UMLS|E0714186|1
G109255|R024601|EMT|S022386|epithelial to mesenchymal transition|L073416|UMLS|E0714187|1
G109255|R024602|EMT|S022386|epithelial-to-mesenchymal transition|L073422|UMLS|E0714187|1
G109264|R319063|ENDOR|S022411|electron-nuclear double resonance|L071371|ADAM||1
G109264|R032365|ENDOR|S022411|electron nuclear double resonance|L071282|UMLS|E0314953|1
G109264|R032366|ENDOR|S022411|electron-nuclear double resonance|L071371|UMLS|E0314953|1
G109284|R319175|EOCA|S022475|Early Onset Cerebellar Ataxia|L012502|ADAM||1
G109284|R208293|EOCA|S022475|early onset cerebellar ataxia|L070421|UMLS|E0714274|1
G109284|R208294|EOCA|S022475|early-onset cerebellar ataxia|L070484|UMLS|E0714274|1
G109314|R319212|EOS|S022506|Eosinophils|L013060|ADAM||1
G109314|R319213|EOS|S022506|eosinophil|L073086|ADAM||1
G109314|R032536|EOS|S022506|eosinophil|L073086|UMLS|E0025648|1
G109314|R032537|EOS|S022506|eosinophile|L073099|UMLS|E0025648|1
G109314|R404256|EOS|S022506|eosinophils|L073128|Vanderbilt Discharge Sums||1
G109391|R319429|EPSC|S022621|excitatory postsynaptic current|L075006|ADAM||1
G109391|R319430|EPSC|S022621|excitatory postsynaptic currents|L075007|ADAM||1
G109391|R208608|EPSC|S022621|excitatory postsynaptic current|L075006|UMLS|E0714467|1
G109391|R208609|EPSC|S022621|excitatory post-synaptic current|L075003|UMLS|E0714467|1
G109422|R297272|ACh-E|S003723|acetylcholine esterase|L037841|ADAM||1
G109422|R297286|ACh-E|S003723|acetylcholinesterase|L037853|ADAM||1
G109422|R297287|ACh-E|S003723|acetylcholinesterases|L037859|ADAM||1
G109422|R000254|ACh-E|S003723|acetylcholinesterase|L037853|UMLS|E0006838|1
G109422|R000255|ACh-E|S003723|acetyl cholinesterase|L037751|UMLS|E0006838|1
G109422|R000256|ACh-E|S003723|acetylcholine esterase|L037841|UMLS|E0006838|1
G109422|R000257|ACh-E|S003723|acetyl choline esterase|L037750|UMLS|E0006838|1
G109422|R000258|ACh-E|S003723|acetyl-cholinesterase|L037805|UMLS|E0006838|1
G109422|R000259|ACh-E|S003723|acetyl-choline esterase|L037804|UMLS|E0006838|1
G109518|R319566|ER-|S022740|estrogen receptor negative|L074076|ADAM||1
G109518|R319567|ER-|S022740|estrogen receptor-negative|L074123|ADAM||1
G109518|R231999|ER-|S022740|estrogen receptor negative|L074076|UMLS|E0630018|1
G109518|R232000|ER-|S022740|oestrogen receptor negative|L121105|UMLS|E0630018|1
G109518|R232001|ER-|S022740|estrogen receptor-negative|L074123|UMLS|E0630018|1
G109518|R232002|ER-|S022740|estrogen-receptor negative|L074167|UMLS|E0630018|1
G109518|R232003|ER-|S022740|estrogen-receptor-negative|L074172|UMLS|E0630018|1
G109518|R232004|ER-|S022740|oestrogen receptor-negative|L121151|UMLS|E0630018|1
G109518|R232005|ER-|S022740|oestrogen-receptor negative|L121187|UMLS|E0630018|1
G109518|R232006|ER-|S022740|oestrogen-receptor-negative|L121191|UMLS|E0630018|1
G109679|R319630|ERG|S022877|electroretinography|L071503|ADAM||1
G109679|R081828|ERG|S022877|electroretinography|L071503|UMLS|E0024777|1
G109679|R081829|ERG|S022877|electro-retinography|L071056|UMLS|E0024777|1
G109839|R319935|ES-MS|S023025|electrospray mass spectrometry|L071572|ADAM||1
G109839|R135391|ES-MS|S023025|electrospray mass spectrometry|L071572|UMLS|E0671670|1
G109839|R135392|ES-MS|S023025|electrospray-mass spectrometry|L071574|UMLS|E0671670|1
G109839|R135393|ES-MS|S023025|electrospray/mass spectrometry|L071576|UMLS|E0671670|1
G109839|R135394|ES-MS|S023025|electrospray ionisation mass spectrometry|L071520|UMLS|E0671671|1
G109839|R135395|ES-MS|S023025|electrospray ionization mass spectrometry|L071549|UMLS|E0671671|1
G109839|R135396|ES-MS|S023025|electrospray ionisation-mass spectrometry|L071533|UMLS|E0671671|1
G109839|R135397|ES-MS|S023025|electrospray ionisation/mass spectrometry|L071541|UMLS|E0671671|1
G109839|R135398|ES-MS|S023025|electrospray ionization-mass spectrometry|L071563|UMLS|E0671671|1
G109839|R135399|ES-MS|S023025|electrospray ionization/mass spectrometry|L071571|UMLS|E0671671|1
G109914|R319923|ESIPT|S023123|excited state intramolecular proton transfer|L075016|ADAM||1
G109914|R222874|ESIPT|S023123|excited state intramolecular proton transfer|L075016|UMLS|E0722988|1
G109914|R222875|ESIPT|S023123|excited-state intramolecular proton transfer|L075018|UMLS|E0722988|1
G109914|R222876|ESIPT|S023123|excited-state intramolecular proton-transfer|L075019|UMLS|E0722988|1
G110003|R320132|ETA|S023206|endothelin-A|L072489|ADAM||1
G110003|R077394|ETA|S023206|endothelin A|L072469|UMLS|E0582501|1
G110003|R077395|ETA|S023206|endothelin-A|L072489|UMLS|E0582501|1
G110025|R320183|ETI|S023230|endotracheal intubation|L072551|ADAM||1
G110025|R208981|ETI|S023230|endotracheal intubation|L072551|UMLS|E0025348|1
G110025|R208982|ETI|S023230|endo-tracheal intubation|L072098|UMLS|E0025348|1
G110086|R320342|EVLW|S023318|Extravascular lung water|L013791|ADAM||1
G110086|R274778|EVLW|S023318|extravascular lung water|L075909|UMLS|E0757223|1
G110086|R274779|EVLW|S023318|extra-vascular lung water|L075618|UMLS|E0757223|1
G110147|R318819|EmA|S023529|antiendomysial antibody|L044867|ADAM||1
G110147|R267834|EmA|S023529|antiendomysial antibody|L044867|UMLS|E0518642|1
G110147|R267835|EmA|S023529|anti-endomysial antibody|L043814|UMLS|E0518642|1
G110319|R323277|FAB|S024169|French-American-British|L014723|ADAM||1
G110319|R323278|FAB|S024169|French American British|L014716|ADAM||1
G110319|R267883|FAB|S024169|French American British|L014716|UMLS|E0750835|1
G110319|R267884|FAB|S024169|French-American-British|L014723|UMLS|E0750835|1
G110378|R320929|FAP-1|S024266|Fas-associated phosphatase-1|L014087|ADAM||1
G110378|R215853|FAP-1|S024266|Fas-associated phosphatase 1|L014086|UMLS|E0718574|1
G110378|R215854|FAP-1|S024266|Fas-associated phosphatase-1|L014087|UMLS|E0718574|1
G110378|R283283|FAP-1|S024266|Fas associated phosphatase-1|L014066|UMLS|E0761964|1
G110412|R320944|FASD|S024298|fetal alcohol spectrum disorder|L077074|ADAM||1
G110412|R147956|FASD|S024298|fetal alcohol spectrum disorder|L077074|UMLS|E0681112|1
G110412|R147957|FASD|S024298|foetal alcohol spectrum disorder|L078688|UMLS|E0681112|1
G110453|R321035|FB(1)|S024341|fumonisin B(1)|L079948|ADAM||1
G110453|R252891|FB(1)|S024341|fumonisin B1|L079949|UMLS|E0693768|1
G110453|R252892|FB(1)|S024341|fumonisin-B1|L079952|UMLS|E0693768|1
G110453|R252893|FB(1)|S024341|fumonisin B(1)|L079948|UMLS|E0693768|1
G110453|R252894|FB(1)|S024341|fumonisin-B(1)|L079951|UMLS|E0693768|1
G110650|R321495|FEP|S024599|free energy perturbation|L079517|ADAM||1
G110650|R203075|FEP|S024599|free energy perturbation|L079517|UMLS|E0757416|1
G110650|R203076|FEP|S024599|free-energy perturbation|L079591|UMLS|E0757416|1
G110702|R321619|FFN|S024661|fetal fibronectin|L077103|ADAM||1
G110702|R284606|FFN|S024661|fetal fibronectin|L077103|UMLS|E0763165|1
G110702|R284607|FFN|S024661|foetal fibronectin|L078707|UMLS|E0763165|1
G110754|R321687|FGF5|S024732|fibroblast growth factor-5|L077391|ADAM||1
G110754|R173870|FGF5|S024732|fibroblast growth factor 5|L077350|UMLS|E0627701|1
G110754|R173871|FGF5|S024732|fibroblast growth factor-5|L077391|UMLS|E0627701|1
G110822|R204789|FHT|S024824|fetal heart tone|L077116|UMLS|E0712037|1
G110822|R204790|FHT|S024824|foetal heart tone|L078716|UMLS|E0712037|1
G110822|R204791|FHT|S024824|fœtal heart tone|L080139|UMLS|E0712037|1
G110822|R406738|FHT|S024824|fetal heart tones|L077117|Wikipedia||1
G110829|R322009|FI|S024836|flow injection|L078167|ADAM||1
G110829|R322010|FI|S024836|flow-injection|L078191|ADAM||1
G110829|R004900|FI|S024836|flow injection|L078167|UMLS|E0757344|1
G110829|R004901|FI|S024836|flow-injection|L078191|UMLS|E0757344|1
G110869|R322187|FL|S024943|farmer's lung|L076365|ADAM||1
G110869|R004916|FL|S024943|farmers lung|L076367|UMLS|E0027331|1
G110869|R004917|FL|S024943|farmer's lung|L076365|UMLS|E0027331|1
G110869|R004918|FL|S024943|farmers' lung|L076368|UMLS|E0027331|1
G110876|R322208|FL|S024943|Friend leukemia|L014761|ADAM||1
G110876|R004930|FL|S024943|Friend leukemia|L014761|UMLS|E0689250|1
G110876|R004931|FL|S024943|Friend leukaemia|L014754|UMLS|E0689250|1
G110962|R322249|FMH|S025048|fibromuscular hyperplasia|L077432|ADAM||1
G110962|R153802|FMH|S025048|fibromuscular hyperplasia|L077432|UMLS|E0568406|1
G110962|R153803|FMH|S025048|fibro-muscular hyperplasia|L077326|UMLS|E0568406|1
G111034|R322404|FNR|S025146|ferredoxin-NADP+ oxidoreductase|L076972|ADAM||1
G111034|R322405|FNR|S025146|ferredoxin-NADP+ reductase|L076973|ADAM||1
G111034|R029273|FNR|S025146|ferredoxin NADP+ reductase|L076966|UMLS|E0746185|1
G111034|R029274|FNR|S025146|ferredoxin-NADP+ reductase|L076973|UMLS|E0746185|1
G111034|R029275|FNR|S025146|ferredoxin:NADP+ reductase|L076981|UMLS|E0746185|1
G111034|R029276|FNR|S025146|ferredoxin NADP(+) reductase|L076964|UMLS|E0746185|1
G111034|R029277|FNR|S025146|ferredoxin-NADP(+) reductase|L076970|UMLS|E0746185|1
G111034|R029278|FNR|S025146|ferredoxin:NADP(+) reductase|L076978|UMLS|E0746185|1
G111034|R029283|FNR|S025146|ferredoxin NADP+ oxidoreductase|L076965|UMLS|E0746187|1
G111034|R029284|FNR|S025146|ferredoxin-NADP+ oxidoreductase|L076972|UMLS|E0746187|1
G111034|R029285|FNR|S025146|ferredoxin:NADP+ oxidoreductase|L076980|UMLS|E0746187|1
G111034|R029286|FNR|S025146|ferredoxin NADP(+) oxidoreductase|L076963|UMLS|E0746187|1
G111034|R029287|FNR|S025146|ferredoxin-NADP(+) oxidoreductase|L076969|UMLS|E0746187|1
G111034|R029288|FNR|S025146|ferredoxin:NADP(+) oxidoreductase|L076977|UMLS|E0746187|1
G111048|R322451|FOBT|S025159|fecal occult blood testing|L076764|ADAM||1
G111048|R030822|FOBT|S025159|fecal occult blood testing|L076764|UMLS|E0355142|1
G111048|R030823|FOBT|S025159|faecal occult blood testing|L076112|UMLS|E0355142|1
G111048|R030824|FOBT|S025159|fecal occult-blood testing|L076767|UMLS|E0355142|1
G111048|R030825|FOBT|S025159|faecal occult-blood testing|L076114|UMLS|E0355142|1
G111161|R322732|FQ|S025306|fluoroquinolone|L078576|ADAM||1
G111161|R322733|FQ|S025306|fluoroquinolones|L078577|ADAM||1
G111161|R172138|FQ|S025306|fluoroquinolone|L078576|UMLS|E0028299|1
G111161|R172139|FQ|S025306|fluoro-quinolone|L078529|UMLS|E0028299|1
G111218|R322960|FS|S025408|fibrosarcoma|L077462|ADAM||1
G111218|R206316|FS|S025408|fibrosarcoma|L077462|UMLS|E0027797|1
G111218|R206317|FS|S025408|fibro-sarcoma|L077328|UMLS|E0027797|1
G111286|R323006|FT|S025482|fucosyltransferase|L079852|ADAM||1
G111286|R153134|FT|S025482|fucosyltransferase|L079852|UMLS|E0400086|1
G111286|R153135|FT|S025482|fucosyl transferase|L079850|UMLS|E0400086|1
G111286|R153136|FT|S025482|fucosyl-transferase|L079851|UMLS|E0400086|1
G111343|R323112|FTMS|S025557|Fourier transform mass spectrometer|L014646|ADAM||1
G111343|R323113|FTMS|S025557|Fourier transform mass spectrometry|L014647|ADAM||1
G111343|R275016|FTMS|S025557|Fourier transform mass spectrometry|L014647|UMLS|E0757403|1
G111343|R275017|FTMS|S025557|Fourier transform-mass spectrometry|L014651|UMLS|E0757403|1
G111447|R320946|Fas-R|S025754|Fas receptor|L014069|ADAM||1
G111447|R289976|Fas-R|S025754|Fas receptor|L014069|UMLS|E0766699|1
G111447|R289977|Fas-R|S025754|fas receptor|L076409|UMLS|E0766699|1
G111940|R387113|G-protein|S026659|guanine nucleotide-binding protein|L084017|ADAM||1
G111940|R387114|G-protein|S026659|guanine nucleotide binding protein|L084006|ADAM||1
G111940|R016350|G-protein|S026659|guanine nucleotide binding protein|L084006|UMLS|E0580894|1
G111940|R016351|G-protein|S026659|guanine nucleotide-binding protein|L084017|UMLS|E0580894|1
G111940|R016352|G-protein|S026659|guanine-nucleotide binding protein|L084031|UMLS|E0580894|1
G111940|R016353|G-protein|S026659|guanine-nucleotide-binding protein|L084036|UMLS|E0580894|1
G112100|R323725|GABP|S027055|GA-binding protein|L015137|ADAM||1
G112100|R133125|GABP|S027055|GA binding protein|L015136|UMLS|E0668070|1
G112100|R133126|GABP|S027055|GA-binding protein|L015137|UMLS|E0668070|1
G112134|R323825|GALV|S027136|gibbon ape leukemia virus|L081703|ADAM||1
G112134|R272479|GALV|S027136|gibbon ape leukemia virus|L081703|UMLS|E0709762|1
G112134|R272480|GALV|S027136|gibbon ape leukaemia virus|L081702|UMLS|E0709762|1
G112134|R272481|GALV|S027136|gibbon-ape leukemia virus|L081706|UMLS|E0709762|1
G112134|R272482|GALV|S027136|gibbon-ape leukaemia virus|L081705|UMLS|E0709762|1
G112134|R272483|GALV|S027136|gibbon ape leukæmia virus|L081704|UMLS|E0709762|1
G112134|R272484|GALV|S027136|gibbon-ape leukæmia virus|L081707|UMLS|E0709762|1
G112146|R323896|GAP|S027152|GTPase-activating protein|L015332|ADAM||1
G112146|R323897|GAP|S027152|GTPase-activating proteins|L015334|ADAM||1
G112146|R199759|GAP|S027152|GTPase activating protein|L015325|UMLS|E0238933|1
G112146|R199760|GAP|S027152|GTPase-activating protein|L015332|UMLS|E0238933|1
G112163|R323928|GAS|S027176|IFN-gamma activation site|L017633|ADAM||1
G112163|R078203|GAS|S027176|IFNgamma activation site|L017653|UMLS|E0584374|1
G112163|R078204|GAS|S027176|IFNgamma-activation site|L017656|UMLS|E0584374|1
G112163|R078205|GAS|S027176|IFN-gamma activation site|L017633|UMLS|E0584374|1
G112163|R078206|GAS|S027176|IFN-gamma-activation site|L017637|UMLS|E0584374|1
G112267|R324077|GC/MS|S027319|Gas Chromatography/Mass Spectrometry|L015412|ADAM||1
G112267|R048940|GC/MS|S027319|gas chromatography mass spectrometry|L080724|UMLS|E0480253|1
G112267|R048941|GC/MS|S027319|gas chromatography-mass spectrometry|L080746|UMLS|E0480253|1
G112267|R048942|GC/MS|S027319|gas chromatography/mass spectrometry|L080769|UMLS|E0480253|1
G112298|R324123|GCI|S027362|General Cognitive Index|L015472|ADAM||1
G112298|R275281|GCI|S027362|General Cognitive Index|L015472|UMLS|E0757577|1
G112298|R275282|GCI|S027362|general cognitive index|L081162|UMLS|E0757577|1
G112327|R297754|AEF|S004127|Aortoesophageal fistula|L005499|ADAM||1
G112327|R025217|AEF|S004127|aortoesophageal fistula|L045663|UMLS|E0740629|1
G112327|R025218|AEF|S004127|aorto-esophageal fistula|L045641|UMLS|E0740629|1
G112327|R025219|AEF|S004127|aorto-oesophageal fistula|L045645|UMLS|E0740629|1
G112377|R324377|GDI|S027454|guanine nucleotide dissociation inhibitor|L084008|ADAM||1
G112377|R275365|GDI|S027454|guanine nucleotide dissociation inhibitor|L084008|UMLS|E0757645|1
G112377|R275366|GDI|S027454|guanine-nucleotide dissociation inhibitor|L084032|UMLS|E0757645|1
G112495|R324635|GGPP|S027641|geranylgeranyl diphosphate|L081494|ADAM||1
G112495|R112752|GGPP|S027641|geranylgeranyl diphosphate|L081494|UMLS|E0321192|1
G112495|R112753|GGPP|S027641|geranyl geranyl diphosphate|L081484|UMLS|E0321192|1
G112495|R112754|GGPP|S027641|geranyl-geranyl diphosphate|L081487|UMLS|E0321192|1
G112650|R297879|AFB|S004171|acid-fast bacillus|L038016|ADAM||1
G112650|R029459|AFB|S004171|acid fast bacillus|L037949|UMLS|E0321836|1
G112650|R029460|AFB|S004171|acid-fast bacillus|L038016|UMLS|E0321836|1
G112673|R324977|GK|S027852|glycerol kinase|L082589|ADAM||1
