GroupID|RecordID|SF|SFUI|NormSF|LF|LFUI|NormLF|Source|SFEUI|LFEUI|Type|PrefSF|Score|Count|Frequency|UMLS.CUI|error|action
|R021571|Cel|S016571|cel|Celsius|L008969|Celsius|UMLS|E0203179|E0207291|abbreviation||||||duplicate|retire
|R021572|Cels|S016581|cels|Celsius|L008969|Celsius|UMLS|E0203179|E0207291|abbreviation||||||duplicate|retire
|R021573|Cel.|S016573|cel|Celsius|L008969|Celsius|UMLS|E0203179|E0207291|abbreviation||||||duplicate|retire
|R021685|DP|S019702|dp|directione propria|L068409||UMLS|E0203287||acronym||||||duplicate|retire
|R021724|EM|S022276|em|electronmicroscopy|L071454|electronmicroscopy|UMLS|E0203297|E0024753|acronym||||||duplicate|retire
|R021725|EM|S022276|em|electron microscopy|L071279|electronmicroscopy|UMLS|E0203297|E0024753|acronym||||||duplicate|retire
|R021726|EM|S022276|em|electron-microscopy|L071370|electronmicroscopy|UMLS|E0203297|E0024753|acronym||||||duplicate|retire
|R021732|EM|S022276|em|electronmicroscope|L071453|electronmicroscope|UMLS|E0203297|E0209843|acronym||||||duplicate|retire
|R021733|EM|S022276|em|electron microscope|L071272|electronmicroscope|UMLS|E0203297|E0209843|acronym||||||duplicate|retire
|R021734|EM|S022276|em|electron-microscope|L071368|electronmicroscope|UMLS|E0203297|E0209843|acronym||||||duplicate|retire
|R021753|EM|S022276|em|emission|L071820|emission|UMLS|E0203297|E0024959|abbreviation||||||duplicate|retire
|R021870|Fe|S025982|fe|female|L076867|female|UMLS|E0203342|E0027552|abbreviation||||||duplicate|retire
|R021871|fe|S086438|fe|female|L076867|female|UMLS|E0203342|E0027552|abbreviation||||||duplicate|retire
|R021872|fe.|S086440|fe|female|L076867|female|UMLS|E0203342|E0027552|abbreviation||||||duplicate|retire
|R021907|inv.|S089650|inv|invalid|L098598|invalid|UMLS|E0203350|E0035671|abbreviation||||||duplicate|retire
|R021908|inv.|S089650|inv|inverse|L098675|inverse|UMLS|E0203350|E0035697|abbreviation||||||duplicate|retire
|R022106|SLP|S064825|slp|synaptotagmin-like protein|L154125||UMLS|E0203461|E0714046|acronym||||||duplicate|retire
|R022107|SLP|S064825|slp|sex-limited protein|L145936||UMLS|E0203461|E0315097|acronym||||||duplicate|retire
|R022112|Vd|S075698|vd|void|L167610|void|UMLS|E0203516|E0064846|abbreviation||||||duplicate|retire
|R022113|vd.|S103041|vd|void|L167610|void|UMLS|E0203516|E0064846|abbreviation||||||duplicate|retire
|R022563|WA|S075989|wa|White American|L036205|White American|UMLS|E0207861|E0747093|acronym||||||duplicate|retire
|R022564|WA|S075989|wa|white American|L168531|White American|UMLS|E0207861|E0747093|acronym||||||duplicate|retire
|R022816|LO|S040964|lo|low|L104667|low|UMLS|E0208345|E0038105|abbreviation||||||duplicate|retire
|R022817|lo|S090638|lo|low|L104667|low|UMLS|E0208345|E0038105|abbreviation||||||duplicate|retire
|R022818|lo.|S090641|lo|low|L104667|low|UMLS|E0208345|E0038105|abbreviation||||||duplicate|retire
|R022819|LO|S040964|lo|low|L104667|low|UMLS|E0208346|E0038107|abbreviation||||||duplicate|retire
|R022820|lo|S090638|lo|low|L104667|low|UMLS|E0208346|E0038107|abbreviation||||||duplicate|retire
|R022821|lo.|S090641|lo|low|L104667|low|UMLS|E0208346|E0038107|abbreviation||||||duplicate|retire
|R022917|MI|S044371|mi|myocardial infarction|L114883|myocardial infarction|UMLS|E0208360|E0041655|acronym||||||duplicate|retire
|R023080|OG|S051095|og|orange green|L122079||UMLS|E0208403||acronym||||||duplicate|retire
|R023185|PAC|S053212|pac|Portacath|L027267|Portacath|UMLS|E0208411|E0557620|abbreviation||||||duplicate|retire
|R023186|PAC|S053212|pac|Port-A-Cath|L027265||UMLS|E0208411|E0557620|abbreviation||||||duplicate|retire
|R023187|PAC|S053212|pac|Port-a-Cath|L027266||UMLS|E0208411|E0557620|abbreviation||||||duplicate|retire
|R023205|Pur|S058647|pur|purple|L136843|purple|UMLS|E0208455|E0051252|abbreviation||||||duplicate|retire
|R023681|AMP|S004902|amp|amputation|L042298|amputation|UMLS|E0210582|E0008687|abbreviation||||||duplicate|retire
|R023682|AMP|S004902|amp|ampul|L042294|ampul|UMLS|E0210582|E0008679|abbreviation||||||duplicate|retire
|R023683|AMP|S004902|amp|ampule|L042295|ampul|UMLS|E0210582|E0008679|abbreviation||||||duplicate|retire
|R023684|AMP|S004902|amp|ampoule|L042292|ampul|UMLS|E0210582|E0008679|abbreviation||||||duplicate|retire
|R024001|STS|S066298|sts|serologic test for syphilis|L145274||UMLS|E0215984||acronym||||||duplicate|retire
|R024226|C|S010788|c|Caucasian|L008906|Caucasian|UMLS|E0220592|E0001463|abbreviation||||||duplicate|retire
|R024227|C|S010788|c|caucasian|L054996|Caucasian|UMLS|E0220592|E0001463|abbreviation||||||duplicate|retire
|R024457|R|S059077|r|right|L142711|right|UMLS|E0220612|E0053604|abbreviation||||||duplicate|retire
|R024712|postMI|S096478|postmi|postmyocardial infarction|L132397|postmyocardial infarction|UMLS|E0226300|E0226301|acronym||||||duplicate|retire
|R024713|postMI|S096478|postmi|post-myocardial infarction|L131909||UMLS|E0226300|E0226301|acronym||||||duplicate|retire
|R024714|post-MI|S096443|post_mi|postmyocardial infarction|L132397|postmyocardial infarction|UMLS|E0226300|E0226301|acronym||||||duplicate|retire
|R024715|post-MI|S096443|post_mi|post-myocardial infarction|L131909||UMLS|E0226300|E0226301|acronym||||||duplicate|retire
|R027834|PRB|S056452|prb|Prosthetics Research Board|L027628|Prosthetics Research Board|UMLS|E0319620|E0319621|abbreviation||||||duplicate|retire
|R027876|SPL|S065563|spl|splanchnic|L150109|splanchnic|UMLS|E0319678|E0057265|abbreviation||||||duplicate|retire
|R028844|AHR|S004360|ahr|aromatic hydrocarbon receptor|L046346|aromatic hydrocarbon receptor|UMLS|E0321362|E0755490|acronym||||||duplicate|retire
|R028845|AHR|S004360|ahr|arylhydrocarbon receptor|L046703|arylhydrocarbon receptor|UMLS|E0321362|E0321361|acronym||||||duplicate|retire
|R028846|AHR|S004360|ahr|aryl hydrocarbon receptor|L046671|arylhydrocarbon receptor|UMLS|E0321362|E0321361|acronym||||||duplicate|retire
|R028847|AHR|S004360|ahr|aryl-hydrocarbon receptor|L046690|arylhydrocarbon receptor|UMLS|E0321362|E0321361|acronym||||||duplicate|retire
|R029048|RVLM|S061371|rvlm|rostro-ventrolateral medulla|L143263||UMLS|E0321548|E0637506|acronym||||||duplicate|retire
|R029053|rVLM|S098087|rvlm|rostro-ventrolateral medulla|L143263||UMLS|E0321548|E0637506|acronym||||||duplicate|retire
|R029127|TFR|S069895|tfr|transferrin receptor|L159547|transferrin receptor|UMLS|E0321602|E0580977|abbreviation||||||duplicate|retire
|R029833|CNM|S014502|cnm|certified nurse-midwife|L055987||UMLS|E0345765|E0016072|acronym||||||duplicate|retire
|R031115|CHIT|S013733|chit|chitosan|L056691|chitosan|UMLS|E0362067|E0016490|abbreviation||||||duplicate|retire
|R031116|CHIT|S013733|chit|chitinase|L056683|chitinase|UMLS|E0362067|E0016488|abbreviation||||||duplicate|retire
|R032363|stat|S100822|stat|statim|L151022||UMLS|E0408990||abbreviation||||||duplicate|retire
|R034408|md|S091790|md|median|L108452|median|UMLS|E0418002|E0039234|abbreviation||||||duplicate|retire
|R034447|MD|S043745|md|Medical Doctor|L021560|Medical Doctor|UMLS|E0418004|E0004083|acronym||||||duplicate|retire
|R034462|MD|S043745|md|manic depressive|L107169|manic depressive|UMLS|E0418005|E0201607|acronym||||||duplicate|retire
|R034463|MD|S043745|md|manic-depressive|L107174|manic depressive|UMLS|E0418005|E0201607|acronym||||||duplicate|retire
|R034674|EPI|S022571|epi|Expanded Programme of Immunization|L013730||UMLS|E0418118|E0750783|acronym||||||duplicate|retire
|R034933|PX|S057353|px|peroxidase|L126734|peroxidase|UMLS|E0418210|E0046889|abbreviation||||||duplicate|retire
|R034937|PX|S057353|px|piroxicam|L129035|piroxicam|UMLS|E0418210|E0048061|abbreviation||||||duplicate|retire
|R034938|PX|S057353|px|pyroxicam|L137044|piroxicam|UMLS|E0418210|E0048061|abbreviation||||||duplicate|retire
|R034939|PX|S057353|px|pancreatectomy|L123898|pancreatectomy|UMLS|E0418210|E0045203|abbreviation||||||duplicate|retire
|R034940|PX|S057353|px|pinealectomy|L128989|pinealectomy|UMLS|E0418210|E0067954|abbreviation||||||duplicate|retire
|R035225|PCC|S053789|pcc|premature chromosome condensation|L133369|premature chromosome condensation|UMLS|E0418377|E0418376|acronym||||||duplicate|retire
|R035453|RG|S060233|rg|radius of gyration|L137989||UMLS|E0418509||acronym||||||duplicate|retire
|R035667|NR|S049268|nr|neutral red|L117110|neutral red|UMLS|E0418568|E0515362|acronym||||||duplicate|retire
|R035781|SSB|S065899|ssb|single strand break|L147141|single strand break|UMLS|E0418614|E0418615|acronym||||||duplicate|retire
|R035782|SSB|S065899|ssb|single-strand break|L147298|single strand break|UMLS|E0418614|E0418615|acronym||||||duplicate|retire
|R036785|HK|S031557|hk|hand to knee|L085052||UMLS|E0419475|E0419482|acronym||||||duplicate|retire
|R036786|HK|S031557|hk|hand-to-knee|L085071||UMLS|E0419475|E0419482|acronym||||||duplicate|retire
|R036787|HK|S031557|hk|heel to knee|L085737||UMLS|E0419475|E0419480|acronym||||||duplicate|retire
|R036788|HK|S031557|hk|heel-to-knee|L085741||UMLS|E0419475|E0419480|acronym||||||duplicate|retire
|R037234|LBW|S039993|lbw|low birthweight|L104695|low birthweight|UMLS|E0419833|E0419835|acronym||||||duplicate|retire
|R037235|LBW|S039993|lbw|low birth weight|L104690|low birthweight|UMLS|E0419833|E0419835|acronym||||||duplicate|retire
|R037237|LBW|S039993|lbw|low birth-weight|L104693|low birthweight|UMLS|E0419833|E0419835|acronym||||||duplicate|retire
|R037332|NED|S048011|ned|no evidence of disease|L117852||UMLS|E0419913||acronym||||||duplicate|retire
|R037654|SPT|S065626|spt|station pull-through|L151026||UMLS|E0420138|E0420134|acronym||||||duplicate|retire
|R038174|aft|S078306|aft|afternoon|L040331|afternoon|UMLS|E0420580|E0007718|abbreviation||||||duplicate|retire
|R039001|dd|S084670|dd|de die|L064758||UMLS|E0425529||acronym||||||duplicate|retire
|R039451|dw|S085387|dw|dry weight|L069885|dry weight|UMLS|E0427055||abbreviation||||||duplicate|retire
|R039452|dw|S085387|dw|dwarf|L070102|dwarf|UMLS|E0427055|E0515490|abbreviation||||||duplicate|retire
|R039701|Sac. erythraea|S066602|sac erythraea|Saccharopolyspora erythraea|L029877|Saccharopolyspora erythraea|UMLS|E0427433|E0427431|abbreviation||||||duplicate|retire
|R039813|Fz|S026388|fz|frontal midline|L079743|frontal midline|UMLS|E0428297||abbreviation||||||duplicate|retire
|R040218|Hy|S034098|hy|hypothenar|L092248|hypothenar|UMLS|E0429001|E0033108|abbreviation||||||duplicate|retire
|R040947|IV|S037123|iv|intravenous|L098442|intravenous|UMLS|E0431922|E0035589|acronym||||||duplicate|retire
|R040948|IV|S037123|iv|intra venous|L097531|intravenous|UMLS|E0431922|E0035589|acronym||||||duplicate|retire
|R040949|IV|S037123|iv|intra-venous|L097840|intravenous|UMLS|E0431922|E0035589|acronym||||||duplicate|retire
|R040950|IV|S037123|iv|invitro|L098722|invitro|UMLS|E0431923|E0035775|acronym||||||duplicate|retire
|R040951|IV|S037123|iv|in vitro|L093696||UMLS|E0431923|E0035775|acronym||||||duplicate|retire
|R040952|IV|S037123|iv|invivo|L098723|invivo|UMLS|E0431923|E0035785|acronym||||||duplicate|retire
|R040953|IV|S037123|iv|in vivo|L093734||UMLS|E0431923|E0035785|acronym||||||duplicate|retire
|R040954|IV|S037123|iv|in-vivo|L093809||UMLS|E0431923|E0035785|acronym||||||duplicate|retire
|R041845|ITE|S037043|ite|in-the-ear|L093774|EAR|UMLS|E0435502||acronym||||||duplicate|retire
|R041846|ITE|S037043|ite|in the ear|L093694|EAR|UMLS|E0435502||acronym||||||duplicate|retire
|R041994|mult|S092688|mult|multiple|L113876|multiple|UMLS|E0436035|E0041326|abbreviation||||||duplicate|retire
|R042343|p.r.n.|S094573|prn|pro re nata|L134157|pro re nata|UMLS|E0436722|E0436721|acronym||||||duplicate|retire
|R042344|PRN|S056578|prn|pro re nata|L134157|pro re nata|UMLS|E0436723|E0050689|acronym||||||duplicate|retire
|R042345|prn|S096885|prn|pro re nata|L134157|pro re nata|UMLS|E0436723|E0050689|acronym||||||duplicate|retire
|R042427|RCM|S059941|rcm|Royal College of Midwives|L029389||UMLS|E0436897|E0005197|acronym||||||duplicate|retire
|R042465|RMA|S060535|rma|right mentoanterior|L142813|right mentoanterior|UMLS|E0437027|E0437026|acronym||||||duplicate|retire
|R042475|RMT|S060596|rmt|right mentotransverse|L142815|right mentotransverse|UMLS|E0437038|E0437032|acronym||||||duplicate|retire
|R042505|Sa|S066582|sa|saline|L143572|saline|UMLS|E0437112|E0054183|abbreviation||||||duplicate|retire
|R042803|ST|S066048|st|subtotal|L152546|subtotal|UMLS|E0437705|E0058732|acronym||||||duplicate|retire
|R043038|AC|S003443|ac|adrenocorticoid|L039921|adrenocorticoid|UMLS|E0438409|E0007498|acronym||||||duplicate|retire
|R043056|AC|S003443|ac|anticoagulant|L044796|anticoagulant|UMLS|E0438409|E0009459|acronym||||||duplicate|retire
|R043057|AC|S003443|ac|anti-coagulant|L043744||UMLS|E0438409|E0009459|acronym||||||duplicate|retire
|R043058|AC|S003443|ac|anticomplement|L044810|anticomplement|UMLS|E0438409|E0009798|acronym||||||duplicate|retire
|R043059|AC|S003443|ac|anti-complement|L043751||UMLS|E0438409|E0009798|acronym||||||duplicate|retire
|R043338|liq|S090579|liq|liquid|L103681|liquid|UMLS|E0439510|E0037762|abbreviation||||||duplicate|retire
|R043339|liq.|S090580|liq|liquid|L103681|liquid|UMLS|E0439510|E0037762|abbreviation||||||duplicate|retire
|R043668|PV|S057214|pv|Plasmodium vivax|L026991|Plasmodium vivax|UMLS|E0440746|E0440727|acronym||||||duplicate|retire
|R043678|PV|S057214|pv|phosvitin|L128512|phosvitin|UMLS|E0440746|E0047525|abbreviation||||||duplicate|retire
|R043690|PV|S057214|pv|postvasectomy|L132592|postvasectomy|UMLS|E0440753|E0440748|acronym||||||duplicate|retire
|R043691|PV|S057214|pv|post-vasectomy|L132045||UMLS|E0440753|E0440748|acronym||||||duplicate|retire
|R043692|PV|S057214|pv|postvoiding|L132599|postvoiding|UMLS|E0440753|E0440749|acronym||||||duplicate|retire
|R043693|PV|S057214|pv|post-voiding|L132052||UMLS|E0440753|E0440749|acronym||||||duplicate|retire
|R043694|PV|S057214|pv|postvaccination|L132589|postvaccination|UMLS|E0440753|E0417656|acronym||||||duplicate|retire
|R043695|PV|S057214|pv|post-vaccination|L132042||UMLS|E0440753|E0417656|acronym||||||duplicate|retire
|R044123|BG|S009074|bg|brilliant green|L052156|brilliant green|UMLS|E0442493|E0515357|acronym||||||duplicate|retire
|R045221|ssp.|S100756|ssp|subspecies|L152460|subspecies|UMLS|E0446675|E0058680|abbreviation||||||duplicate|retire
|R045222|ssp.|S100756|ssp|sub-species|L152154||UMLS|E0446675|E0058680|abbreviation||||||duplicate|retire
|R046425|H. mediterranei|S029817|h mediterranei|Haloferax mediterranei|L016410|Haloferax mediterranei|UMLS|E0452596|E0336883|abbreviation||||||duplicate|retire
|R046763|ELB|S022199|elb|elbow|L070893|elbow|UMLS|E0456117|E0024661|abbreviation||||||duplicate|retire
|R047457|MFP|S044171|mfp|mifepristone|L111230|mifepristone|UMLS|E0459779|E0401203|abbreviation||||||duplicate|retire
|R048537|LIS|S040726|lis|locked-in syndrome|L104197||UMLS|E0475456|E0212655|acronym||||||duplicate|retire
|R049222|NIC|S048464|nic|nicotine|L117468|nicotine|UMLS|E0482025|E0042616|abbreviation||||||duplicate|retire
|R049223|NIC|S048464|nic|nicardipine|L117295|nicardipine|UMLS|E0482025|E0401383|abbreviation||||||duplicate|retire
|R049224|NIC|S048464|nic|nicotinamide|L117369|nicotinamide|UMLS|E0482025|E0042613|abbreviation||||||duplicate|retire
|R049225|NIC|S048464|nic|nicorandil|L117364|nicorandil|UMLS|E0482025|E0042611|abbreviation||||||duplicate|retire
|R049226|NIC|S048464|nic|nicotinic acid|L117484|nicotinic acid|UMLS|E0482025|E0042618|abbreviation||||||duplicate|retire
|R049399|PLG|S055667|plg|plasminogen|L129500|plasminogen|UMLS|E0482683|E0048224|abbreviation||||||duplicate|retire
|R049451|Psy|S058536|psy|phytoene synthase|L128838|phytoene synthase|UMLS|E0482938|E0482937|acronym||||||duplicate|retire
