LF1|LF2|Synonym
American Society of Anaesthesiology class 5|American Society of Anaesthesiology grade I|N
interleukin 1 receptor 1|interleukin 7 receptor α|N
multidrug resistance|small multidrug resistance|N
β site amyloid precursor protein-cleaving enzyme|beta-site amyloid precursor protein cleaving enzyme|Y
extracellular signal regulated kinase 2|mitogen extracellular signal regulated kinase 1|N
peroxisome proliferator-activated receptor-γ 1|peroxisome proliferator-activated receptor γ coactivator 1|N
clinical activity index|colitis activity index|N
myeloproliferative neoplasm|myeloproliferative syndrome|N
receptor-like protein tyrosine phosphatase-mu|receptor-like protein tyrosine phosphatase-ψ|N
interleukine-2 receptor α|interleukin 15 receptor|N
pro-matrix metalloproteinase|matrix metalloproteinase 9|N
human adenovirus type 2|human adenovirus type B|N
beta amyloid precursor protein-cleaving enzyme 1|β site amyloid precursor protein-cleaving enzyme 1|Y
cluster of differentiation antigen 26|cluster of differentiation antigen 98|N
metabotropic glutamate receptor subtype 5|metabotropic glutamate receptor type 2|N
interleukine-4 receptor α chain|interleukine-5 receptor α|N
T box transcription factor 3|transcription factor μE3|N
synaptosomal associated protein-25 kDa|Synaptosome-associated protein of 25 kDa|Y
interleukin 5 receptor α-chain|interleukine 13 receptor α 2 chain|N
American Society of Anaesthesiologists Status III|American Society of Anaesthesiologists Grade IV|N
polygalacturonic acid|galacturonic acid|N
surface-enhanced laser desorption/ionisation time of flight|surface-enhanced laser desorption ionization|N
Small for gestational age|large for gestational age|N
highest occupied molecular orbital|highest occupied molecular orbital level|Y
mitogen-activated protein kinase-activated protein kinase 2|mitogen activated protein kinase activated protein kinase-2|Y
S100beta protein|S100β protein|Y
glycosylphosphatidylinositol-linked|glycosyl-phosphatidyl inositol-anchored|N
TBP associated factor 8|TBP associated factor-2|N
nontypable|non-typeable|Y
neural-precursor-cell-expressed developmentally downregulated 2|neuronal precursor cell-expressed developmentally downregulated 4-2|N
brain-stem-evoked response|auditory brain-stem evoked response|N
posterior wall myocardial infarction|nonanterior myocardial infarction|N
cluster of differentiation antigen 79a|cluster of differentiation antigen 40 ligand|N
pegylated recombinant human megakaryocyte growth and development factor|recombinant human megakaryocyte growth and development factor|N
transforming growth factor-beta 1|transforming growth factor type e|N
spinocerebellar ataxia type 19|spinocerebellar ataxia type 22|N
Clinical Global Impressions severity scale|Clinical Global Impressions-Severity of Illness scale|Y
anti-B-cell leukemia/lymphoma-2|B-cell leukemia/lymphoma 2|Y
human adenovirus type 7|human adenovirus serotype 28|N
glycophosphatidyl-inositol linked|glycophosphatidyl inositol-linked|Y
receptor-like protein tyrosine phosphatase-psi|receptor protein-tyrosine phosphatase ψ|N
anti-β(2)-glycoprotein I antibody|anti-β-2-glycoprotein 1 antibody|Y
human adenovirus serotype 32|human adenovirus type 28|N
Thermoluminescence dosemeters|thermoluminescent dosimetry|N
a disintegrin and metalloprotease-10|A disintegrin and metalloprotease 12-S|N
oestrogen receptor-regulated|estrogen receptor related|N
beta-2-µglobulin|β-2-µglobulin|Y
peroxisome proliferator-activated receptor-γ 1|peroxisome proliferator-activated receptor γ co-activator-1α|N
beta site amyloid precursor protein-cleaving enzyme-2|beta-site amyloid precursor protein cleaving enzyme|N
interleukin-5 receptor α|interleukin 4 receptor|N
tibial muscular dystrophy|congenital muscular dystrophy|N
interleukin-12 receptor β2 chain|interleukine-13 receptor α 2 chain|N
American Society of Anaesthesiology status 5|American Society of Anaesthesiology physical status 5|Y
interleukine 5 receptor α chain|interleukine 7 receptor α-chain|N
American Society of Anaesthesiologists Grade III|American Society of Anesthesiology Grade II|N
receptor protein-tyrosine phosphatase-ψ|receptor-like protein-tyrosine phosphatase alpha|N
human adenovirus serotype 32|human adenovirus serotype F|N
cluster of differentiation 154|soluble cluster of differentiation 25|N
A disintegrin and metalloproteinase-22|A disintegrin and metalloproteinase 7|N
interleukin-6 receptor-α|interleukin 9 receptor|N
diethylene triamine penta-acetic acid|diethylenetriamine pentaacetate|N
5-hydroxytryptamine 1D|5-Hydroxytryptamine|N
ubiquitin-conjugating enzyme 18|ubiquitin-conjugating enzymes|N
Plesiomonas shigelloides|Aeromonas shigelloides|Y
coronary computed tomography angiography|3-dimensional computed tomography angiography|N
Functional Assessment of Cancer Therapy-General|Functional Assessment of Cancer Therapy|N
anti-IL 7 monoclonal antibody|anti-TCR-αβ monoclonal antibody|N
protein kinase G1alpha|protein kinase G1β|N
polymerase δ|polymerase|N
human adenovirus serotype 34|human adenovirus type 49|N
beta-site APP cleaving enzyme 2|beta-APP-cleaving enzyme-2|Y
A disintegrin and metalloproteinase-10|a disintegrin and metalloproteinase-28|N
hyperapobetalipoproteinemia|hyperlipoproteinemia|N
Cryptococcus curvatus|Cryptococcus aquaticus|N
American Society of Anaesthesiology status 3|American Society of Anesthesiology status 5|N
transforming growth factor β1|transforming growth factor-beta3|N
nuclear factor kB|nuclear factor κ B p65|N
assigned protection factor|skin protection factor|N
β-site APP-cleaving enzyme 1|β site APP-cleaving enzyme 1|Y
TATA-binding protein-related factor-2|TATA-binding protein associated factor-10|N
motor evoked potential|motor potential|N
sex-determining region Y-box 5|sex determining region Y-box 9|N
thermally induced phase separation|thermally-induced phase separation|Y
fan-beam dual x-ray absorptiometry|fan-beam dual X-ray absorptiometry|Y
interleukin 6 receptor|interleukin-3 receptor-α|N
American Society of Anaesthesiology Class 5|American Society of Anesthesiology Grade 5|Y
fructose monophosphate|fructose-1-phosphate|Y
augmented correlation consistent polarised valence triple zeta|augmented correlation-consistent polarised valence triple-zeta basis set|N
American Society of Anesthesiologists class II|American Society of Anaesthesiology Grade 5|N
human adenovirus type 4|human adenovirus serotype 45|N
H3 receptor|B2 receptor|N
ras-related GTP-binding protein 35|ras-related GTP-binding protein 2A|N
American Society of Anaesthesiologists class V|American Society of Anaesthesiology Class 4|N
insulin-like growth factor-2|insulin-like factor-3|N
prostaglandin type E|prostaglandin E1|N
sex-determining region Y box-2|sex-determining region Y, box 10|N
mu opioid receptor|δ-opioid receptor|N
human transforming growth factor alpha|human transforming growth factor β 2|N
β amyloid precursor protein cleaving enzyme-1|beta site amyloid precursor protein cleaving enzyme 1|Y
mitogen-activated protein kinase kinase-1|Big mitogen-activated protein kinase 1|N
American Society of Anesthesiology class 1|American Society of Anesthesiologists status I|Y
reciniferatoxin|reciniferatoxin amide|N
interleukin-1beta converting enzyme inhibitor|interleukin-1β-converting enzyme inhibitor|Y
protein kinase M-ζ|protein kinase G-1 α|N
interleukin 4 receptor alpha subunit|interleukin-13 receptor α 2 subunit|N
mitogen-activated protein kinase-activated protein kinase|mitogen-activated protein kinase activated protein kinase-1|Y
senescence-accelerated mouse|Senescence-accelerated mice|Y
excretory-secretory|excretory and secretory|Y
intraoperative sonography|intraoperative echocardiography|N
radioscapholunate|scapholunate|N
pediatric intensive care unit|surgical intensive care unit|N
excitatory amino acid transporter|cationic amino acid transporter 3|N
interleukine 3 receptor α chain|interleukin-2 receptor α-chain|N
alpha-methyltestosterone|7alpha-methyl-19-nortestosterone|N
antihemophilic factor C|anti-haemophilic factor|N
modified Children's Hospital of Eastern Ontario Pain Scale|Children's Hospital of Eastern Ontario Pain Scale|N
Denaturing high performance liquid chromatography|size exclusion high performance liquid chromatography|N
transcription factor IIIA|transcription factor E3|N
interleukine 13 receptor α2 chain|interleukine-3 receptor alpha|N
interleukin-15 receptor α|interleukin 4 receptor|N
TATA-binding protein-associated factor 17|TATA-binding protein associated factor-9|N
rabbit immunoglobulin G|bovine immunoglobulin G|N
vinblastine, bleomycin, cisplatin|vinblastine, bleomycin and cisplatin|Y
human adenovirus 45|human adenovirus 46|N
cluster of differentiation antigen 71|cluster of differentiation antigen 81|N
fluorescein 5-isothiocyanate|fluoresceinisothiocyanate|N
in vitro fertilized|in-vitro-fertilised|Y
A disintegrin and metalloprotease-22|A disintegrin and metalloprotease-23|N
type 1 InsP3 receptor|type 1 InsP(3) receptor|Y
matrix assisted laser desorption ionisation time-of-flight mass spectrometry|laser desorption/ionization time of flight mass spectrometry|N
interleukine-3 receptor alpha subunit|interleukine-4 receptor-α subunit|N
ischemia reperfusion injury|ischemic reperfusion injury|Y
regional ejection fraction|global ejection fraction|N
protein kinase inhibitor beta|proteinase inhibitor 6|N
transforming growth factor-β protein|transforming growth factor-β receptor 1|N
NIMA-related kinase-1|NIMA-related kinase-2|N
α2-macroglobulin|β-2-microglobulin|N
dioleoylphosphatidyl-choline|dielaidoyl-phosphatidylcholine|N
hepatitis B e antibody|anti-hepatitis B core antibody|N
Mycobacterium bovis|Mycobacterium bovis BCG|N
methyl cytosine-phosphate-guanosine binding domain 2|methyl cytidine-phosphate-guanosine binding protein 1|N
wholebody magnetic resonance imaging|angiomagnetic resonance imaging|N
hexahydro-sila-diphenidol|fluoro-hexahydro-sila-diphenidol|N
granulocyte/macrophage colony stimulating factor|human granulocyte macrophage-colony stimulating factor|N
cis-Diamminedichloroplatinum II|Cis-diamminedichloroplatinum II|Y
Michigan Alcoholism Screening Test|Michigan Alcohol Screening Test|Y
TATA-binding protein-associated factor 4|TATA-binding protein associated factor-2|N
acylamino acid-releasing enzyme|acylamino acid releasing enzyme|Y
American Society of Anesthesiology status I|American Society of Anesthesiology grade III|N
cardiac computed tomography angiography|cardiac computed tomography|N
dihydrolipoamide succinyltransferase|Dihydrolipoamide acyltransferase|N
pregnancy-associated glycoprotein|early pregnancy associated protein|N
G protein gamma subunit-like domain|G protein γ-subunit-like domain|Y
TATA-binding protein-associated factor within TFIID|TATA-binding protein-associated factor-7|N
receptor protein tyrosine phosphatase μ|receptor protein-tyrosine phosphatase-κ|N
growth-associated protein B50|ζ-associated protein 70|N
acid sensing ion channel 1|acid-sensing ion channel-2|N
insulin-like growth factor-II mRNA binding protein 2|insulin-like growth factor-II messenger RNA binding protein-2|Y
American Society of Anaesthesiology Class V|American Society of Anesthesiology physical status|N
mitogen-activated protein kinase protein|mitogen-activated protein kinase activated protein kinase|N
a disintegrin and metalloproteinase-12|A disintegrin and metalloproteinase 22|N
glycophosphatidylinositol anchored|glycosyl phosphatidyl inositol-anchored protein|N
1,1,2-trichloroethylene|1,1,1-trichloroethane|N
American Society of Anesthesiologists class IV|American Society of Anesthesiology Grade IV|Y
American Society of Anaesthesiology grade 5|American Society of Anesthesiology grade|N
toll/interleukin-1 receptor domain-containing adapter-inducing interferon β|Toll/interleukin-1 receptor domain-containing adapter-inducing interferon-beta|Y
human adenovirus serotype 33|human adenovirus serotype 37|N
counterimmunoelectrophoresis|counter-current immuno-electrophoresis|Y
American Society of Anaesthesiologists Status I|American Society of Anesthesiologists Status 1|Y
non-steroidal anti-inflammatory drug-induced|non-steroidal antiinflammatory agent|N
porcine gastrin releasing peptide|progastrin releasing peptide|N
human adenovirus type 39|human adenovirus serotype 28|N
A disintegrin and metalloproteinase 7|A disintegrin and metalloprotease-6|N
insulin-like growth factor-I level|serum insulinlike growth factor 1 level|Y
TATA-binding protein-associated factor 12|TATA-binding protein-associated factor 6|N
American Society of Anaesthesiologists grade 1|American Society of Anesthesiologists Class IV|N
Tinnitus retraining therapy|tinnitus retraining therapy|Y
IκB-kinase complex|I-κB kinase complex|Y
American Society of Anesthesiology Grade III|American Society of Anesthesiology class IV|N
Atlanta Veteran's Affairs Medical Center|Bronx Veteran's Affairs Medical Center|N
ribosomal protein gene|ribosomal protein L8|N
organic carbon|inorganic carbon|N
transforming growth factor β2|human transforming growth factor-β3|N
yo-yo intermittent recovery test level 2|Yo-Yo intermittent recovery test level 1|N
receptor protein-tyrosine phosphatase δ|receptor protein tyrosine phosphatase alpha|N
5-hydroxytryptamine1|[14C]5-hydroxytryptamine|N
A disintegrin and metalloproteinase 7|A disintegrin and metalloprotease 11|N
auditory steady state response|steady state response|N
A disintegrin and metalloprotease 3|A disintegrin and metalloprotease-9|N
Kruppel-like factor-13|krüppel-like factor-15|N
receptor-type protein-tyrosine phosphatase β|receptor-like protein tyrosine phosphatase-κ|N
ubiquitin fusion degradation protein 1|ubiquitin fusion degradation protein 3|N
matrix assisted laser desorption/ionization time of flight|matrix assisted laser desorption/ionization time of flight mass spectrometry|N
A disintegrin and metalloprotease 5|A disintegrin and metalloprotease 7|N
Brg-1-associated factor|TBP-associated factor-15|N
interleukin 5 receptor-α chain|interleukine-3 receptor α chain|N
generalized linear mixed models|generalized linear modeling|N
leucocyte ascorbic acid|reduced ascorbic acid|N
Clinical Global Impressions Severity Scale|Clinical Global Impression of Severity|Y
inhibinlike material|insulin like material|N
American Society of Anaesthesiologists physical status V|American Society of Anesthesiologists class 3|N
TBP-associated factor 12|TBP associated factor-2|N
American Society of Anaesthesiology Grade V|American Society of Anaesthesiologists status IV|N
shiga-like toxin I|Shigalike toxin|N
apolipoprotein C-2|apolipoprotein AI|N
estrogen receptor beta knockout|estrogen receptor knockout|N
phospho-extracellular-signal-regulated kinase|extracellular signal-regulated kinase-1/2|N
fluoro-deoxy-glucose scan|fluordeoxyglucose|N
L-alpha-distearoylphosphatidylethanolamine-polyethylene glycol 2000|dipalmitoylphosphatidylethanolamine-poly(ethylene)glycol-2000|N
src homology-2 domain-containing protein tyrosine phosphatase|Src homology 2 domain containing protein tyrosine phosphatase-2|N
extracellular-signal regulated kinase-1|mitogen extracellular signal-regulated kinase 1|N
D1 dopamine receptor|dopamine D4 receptor|N
membrane-associated RING-CH-1|membrane-associated RING-CH V|N
multiplex fluorescence in situ hybridization|immunofluorescence in situ hybridisation|N
thiol protease inhibitor|α-1 protease inhibitor|N
spino-cerebellar ataxia 2|spino-cerebellar ataxia 3|N
insulinlike growth factor-binding protein 2|insulin-like growth factor-II messenger RNA binding protein 3|N
receptor protein tyrosine phosphatase-β|protein tyrosine phosphatase S|N
P21-activated kinase 1|AMP-activated kinase|N
quantitative structure-affinity relationship study|quantitative structure activity relationship|N
American Society of Anesthesiologists class III|American Society of Anaesthesiologists Class 4|N
crosspolarization/magic angle spinning|cross-polarization/magic-angle spinning NMR|N
Mycobacterium tuberculosis|Mycobacterium paratuberculosis|N
interleukin-2 receptor α chain|interleukine 2 receptor α|N
branched chain alpha-ketoacid dehydrogenase|branched-chain alpha-keto acid dehydrogenase|Y
American Society of Anesthesiologists physical status 5|American Society of Anesthesiologists Class IV|N
recombinant hemoglobin Kempsey|recombinant hemoglobin|N
bisphenol B|bisphenol F|N
anti-phospho-extracellular signal-regulated kinase|phosphorylated extracellular signal regulated kinase 2|N
American Society of Anaesthesiology Class IV|American Society of Anesthesiologists Grade 2|N
gonadotrophin releasing hormone|lamprey gonadotropin releasing hormone-I|N
insulin-like growth factor-II messenger RNA-binding protein|insulin-like growth factor II mRNA binding protein|Y
Src homology domain 2|homology domain|N
peroxisome proliferator activated receptor γ-2|peroxisome proliferator-activated receptor γ co-activator 1 α|N
physiological and operative severity score for enumeration of mortality and morbidity|physiological and operative severity score for enumeration of mortality and morbidity, oesophagogastric model|N
surface enhanced laser desorption/ionization|surface-enhanced laser desorption-ionization|Y
C-C chemokine receptor 3|C-C chemokine receptor type 3|Y
neural precursor cell expressed developmentally downregulated 1|neural-precursor-cell-expressed developmentally downregulated 8|N
right sacroanterior position|right sacroposterior position|N
guanosine 5'-3-O-(thio)triphosphate|guanosin 5'-O-(2-thiodiphosphate)|N
TATA-binding protein associated factor 1|TATA-binding protein-associated factor-1|Y
peroxisome proliferator-activated receptor-γ 2|peroxisome proliferator-activated receptor γ co-activator 1α|N
surface-assisted laser desorption ionisation-mass spectrometry|matrix assisted laser desorption-ionization mass spectrometry|N
American Society of Anaesthesiologists grade I|American Society of Anaesthesiologists status 1|Y
protein kinase G|protein kinase II|N
interleukine-13 receptor alpha1 subunit|interleukine-13 receptor alpha 1|Y
naturalistic decision making|naturalistic decision-making|Y
with-no-lysine kinase|with-no-lysine kinase-1|N
continuous venovenous hemodialysis|continuous venovenous hemo-diafiltration|N
benzo(a)pyrene-diol-epoxide-DNA adduct level|benzo[a]pyrene diol-epoxide DNA adduct level|Y
a disintegrin and metalloproteinase-12|a disintegrin and metalloprotease 29|N
human adenovirus 16|human adenovirus 34|N
adenovirus type 3|human adenovirus type 23|N
American Society of Anesthesiologists status 3|American Society of Anaesthesiology status III|Y
interleukine-13 receptor α 2-chain|interleukine-5 receptor-α chain|N
nonstructural protein 1|nonstructural protein 5B|N
cross polarisation magic-angle spinning nuclear magnetic resonance spectroscopy|high-resolution magic angle spinning nuclear magnetic resonance spectroscopy|N
peroxisome-proliferator-activated receptor beta|peroxisome proliferator-activated receptor-γ 1|N
thyrotropin releasing hormone receptor 1|type 2 corticotrophin releasing hormone receptor|N
cervical vertebra 4|cervical vertebra 3|N
adisintegrin and metalloprotease|A disintegrin and metalloproteinase-12|N
beta-adenosinetriphosphate|H(+)-adenosinetriphosphatase|N
enzyme-linked immuno-adsorbent assay|enzyme-linked-immunosorbent-assay|Y
oxidized nicotinamide adenine dinucleotide|reduced nicotinamide adenine dinucleotide|N
American Society of Anaesthesiology Class 4|American Society of Anesthesiologists Class IV|Y
cluster of differentiation antigen 37|cluster of differentiation antigen 98|N
granulocyte-colony stimulating factor|granulocyte-colony-stimulating factor|Y
human adenovirus type 21|human adenovirus type 31|N
L-triiodothyronine|tetraiodothyronine|N
defective interfering particles|defective interfering|N
indoleamine-2,3-dioxygenase|indoleamine 2,3-dioxygenase 2|N
epidermal thymocyte-activating factor|epidermal thymocyte activating factor|Y
1st thoracic vertebra|9th thoracic vertebra|N
C-C chemokine ligand-3|C-X-C chemokine ligand 8|N
ras-related GTP-binding protein 8B|ras-related GTP-binding protein 33B|N
human adenovirus 16|human adenovirus type A|N
Kruppel-like factor 9|Krüppel-like factor-12|N
beta site amyloid precursor protein-cleaving enzyme-2|beta-amyloid precursor protein cleaving enzyme|N
interleukine 13 receptor α 2-chain|interleukin 3 receptor alpha|N
Shiga-like toxin-1|Shiga-like toxin-I|Y
American Society of Anaesthesiology status 5|American Society of Anesthesiology Grade 5|Y
American Society of Anaesthesiologists class 2|American Society of Anaesthesiology class 2|Y
ras-related GTP-binding protein 24|ras-related GTP binding protein 7|N
midcavity forceps|mid-cavity forceps|Y
response element|Wnt-responsive element|N
IL-5 receptor α-chain|IL3 receptor α chain|N
digital imaging and communications in medicine standard|digital imaging and communication in medicine|Y
beta site amyloid precursor protein-cleaving enzyme 1|β amyloid precursor protein cleaving enzyme 1|Y
mean aortic pressure|mean artery pressure|N
polychromatic erythrocyte|normo-chromatic erythrocyte|N
American Society of Anaesthesiologists Status I|American Society of Anesthesiologists class 2|N
American Medical Association|American Pancreatic Association|N
guanosine 5'-triphosphate|6-thioguanosine 5'-diphosphate|N
anti-toll-like receptor 3 monoclonal antibody|anti-T-cell receptor-α β monoclonal antibody|N
hypersensitivity test|hyper-sensitivity reaction|N
interleukin-4 receptor-alpha chain|interleukin-15 receptor-alpha|N
a disintegrin and metalloprotease 22|a disintegrin and metalloproteinase-5|N
non-structural-1|nonstructural 5A|N
mental nerve|renal nerve|N
corticotrophin-releasing hormone receptor-1|type-2 corticotropin-releasing-hormone receptor|N
hydroxytryptamine|5-hydroxytryptamine 1D|N
interleukine 11 receptor α-chain|interleukin-6 receptor alpha-chain|N
TNF receptor-associated factor-2|TNF receptor associated factor 1|N
outflow volume|ultralow volume|N
human transforming growth factor-β 1|human transforming growth factor-β|Y
university of california, berkeley|University of California, Berkeley|Y
anti-TCR α β monoclonal antibody|anti-Cyn d 1 monoclonal antibody|N
ST elevation acute myocardial infarction|acute ST elevation myocardial infarction|Y
macrophage inflammatory protein 1alpha|macrophage inflammatory protein 1|N
interleukine 3 receptor α chain|interleukine 7 receptor α subunit|N
human transforming growth factor beta2|human transforming growth factor β(1)|N
corticotrophin-releasing-hormone receptor 2|thyrotrophin-releasing hormone receptor-1|N
Bacillus thuringiensis subspecies kyushuensis|Bacillus thuringiensis subspecies kenyae|N
prostaglandin Bx|prostaglandin I(2)|N
American Society of Anaesthesiology Grade V|American Society of Anesthesiology class 5|Y
pseudohypoaldosteronism type 1|pseudo-hypoaldosteronism type II|N
receptor protein-tyrosine phosphatase ζ|protein tyrosine phosphatase μ|N
interleukine-7 receptor α subunit|interleukin-13 receptor α 1-subunit|N
American Society of Anaesthesiology Class 3|American Society of Anesthesiology score|N
TATA-binding protein associated factor 15|TATA-binding protein-associated factor-12|N
thoracic vertebra 4|12th thoracic vertebra|N
poly(octamethylene oxide)|polyoctamethylene oxide|Y
intracellular free calcium concentration|extracellular calcium concentration|N
tumour necrosis factor receptor associated factor 1|tumor necrosis factor receptor-associated protein 1|Y
tumour necrosis factor receptor-associated factor-6|tumor necrosis factor receptor-associated factor 1|N
chromogenic in situ hybridisation|chromosomal in situ hybridization|N
IL-1 receptor-associated kinase|receptor-associated kinase-1|N
American Society of Anaesthesiology Class 1|American Society of Anaesthesiology Grade II|N
anteromedial|ventromedial|N
American Society of Anesthesiologists physical status IV|American Society of Anesthesiologists status III|N
squamous cell carcinoma-9|oral squamous cell carcinoma|N
early asthmatic response|dual asthmatic response|N
multi-colour fluorescence in situ hybridisation|multiplex fluorescence in situ hybridisation|N
polymerase ζ|polymerase γ|N
signal transducer and activator of transcription-3 protein|signal transducer and activator of transcription 2|N
vaginal intraepithelial neoplasia|vaginal intraepithelial neoplasia 2|N
Kruppel-like factor 9|krueppel-like factor-6|N
Src homology 2-containing protein tyrosine phosphatase-1|Src homology 2 domain-containing protein-tyrosine phosphatase|N
American Society of Anesthesiologists physical status I|American Society of Anesthesiologists Physical Status classification|N
alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate-type glutamate receptor|alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid-type glutamate receptor|Y
Acid-sensing ion channels|acid sensing ion channel-2b|N
recombinant human interleukin 1 α|recombinant human interleukin-1β|N
receptor protein-tyrosine phosphatase ζ|receptor-type protein tyrosine phosphatase β|N
single pulse transcranial magnetic stimulation|repetitive transcranial magnetic stimulation|N
DC-specific ICAM-3-grabbing non-integrin|DC-specific ICAM 3 grabbing non-integrin|Y
American Society of Anaesthesiologists status 1|American Society of Anesthesiologists class 1|Y
light harvesting chlorophyll a/b-binding protein|light-harvesting chlorophyll a/b-binding protein II|N
methyl cytosine-phosphate-guanosine binding domain 5|methyl cytidine-phosphate-guanosine binding domain 1|N
receptor-like protein tyrosine phosphatase kappa|receptor-like protein tyrosine phosphatase ζ|N
CSF1 receptor|G-CSF receptor|N
transforming growth factor beta2|transforming growth factor-β receptor I|N
utero-tubal junction|uterotubal junction|Y
interleukine 13 receptor-α2 subunit|interleukin-4 receptor α subunit|N
clinical global impressions-improvement of illness scale|clinical global impressions improvement scale|Y
interleukin 1beta|interleukin 17A|N
American Society of Anesthesiology Class 1|American Society of Anesthesiologists Status III|N
artificial tubule fluid|artificial tubular fluid|Y
sodium lactate|sodium acetate|N
proliferating cell nuclear antigens|proliferation cell nuclear antigen|Y
American Orthopedic Foot and Ankle Society|American Orthopedic Foot and Ankle Society hallux score|N
tumor necrosis factor production|tumor necrosis factor beta production|N
ribosomal protein S2|ribosomal protein L18|N
cholinacetyltransferase|choline-O-acetyltransferase|Y
American Society of Anaesthesiologists Grade 2|American Society of Anesthesiologists Class 4|N
cytosine triphosphatase|guanosine triphosphatase|N
interleukin-18 receptor-alpha|interleukin 4 receptor alpha|N
human adenovirus E|human adenovirus C|N
crosspolarisation magic-angle spinning nuclear magnetic resonance spectroscopy|cross polarization/magic-angle-spinning nuclear magnetic resonance|Y
reaction centre light-harvesting complex I|reaction centre-light harvesting complex 1|Y
T-cell receptor α/β|T cell receptor|N
