LF1|LF2|Synonym
field emission scanning electron microscope|field emission scanning electron microscopy|Y
chick embryo cell|chicken embryo cell|Y
human adenovirus serotype F|human adenovirus type F|Y
test stimulation|tetanic stimulation|N
ubiquinone 10|ubiquinone|Y
antero-posterior|anterior posterior|Y
ribosomal S6 kinase|ribosomal S-6 kinase|Y
inhibitor constant value|inhibition constant value|Y
interleukin 4 receptor alpha|interleukin-4 receptor α chain|Y
pig cytomegalovirus|porcine cytomegalovirus|Y
prion protein|prion protein gene|N
California|Californian|N
parainfluenza virus type 3|parainfluenza 3 virus|Y
squamous epithelial cell|surface epithelial cell|N
human adenovirus 24|human adenovirus serotype 24|Y
primary visual cortex|primary visual area|Y
fluorescence lifetime imaging microscopy|fluorescence lifetime imaging|Y
vasoactive intestinal peptide immunoreactive nerve|vasoactive intestinal polypeptide immunoreactive nerve|Y
type 1 cannabinoid receptor|cannabinoid receptor|Y
thrombelastogram|thromboelastography|Y
platelet-derived growth factor BB|platelet-derived growth factor-BB|Y
interleukin 5 receptor α-subunit|interleukin-5 receptor α|Y
low density lipoprotein receptor related protein|lipoprotein receptor related protein|Y
raphe nucleus|red nucleus|N
hereditary non-polyposis colon cancer syndrome|hereditary nonpolyposis colon cancer|Y
light-harvesting chlorophyll a/b-binding protein I|light-harvesting chlorophyll a/b protein-I|Y
Modified Gingival Index|modified gingival index|Y
myosin heavy chain kinase A|myosin II heavy chain kinase A|Y
beta-APP cleaving enzyme|beta site APP cleaving enzyme|Y
indocyanine green|indo-cyanine green|Y
dextran induced anaphylactic reaction|dextran-induced anaphylactoid reaction|Y
DNA polymerase eta|DNA polymerase-η|Y
interleukine-2 receptor α|interleukine-2 receptor α-chain|Y
vesicular stomatitis virus glycoprotein G|vesicular stomatitis virus G protein|Y
continuous hemodiafiltration|continuous hæmodiafiltration|Y
American Society of Anesthesiology grade 3|American Society of Anaesthesiology class III|Y
evaporative light scattering detector|evaporative light scattering detection|Y
sub-mucosal|submucosa|Y
optic spinal multiple sclerosis|opticospinal multiple sclerosis|Y
continuous intravenous infusion|continuous intravenous|Y
serum- and glucocorticoid-regulated kinase|serum and glucocorticoid-inducible kinase 1|Y
remnant-like particle-cholesterol|remnant-like particle cholesterol|Y
glucocorticoid induced leucine zipper|glucocorticoid-induced leucine zipper|Y
Epstein-Barr viral capsid antigen|Epstein-Barr virus capsid antigen|Y
corneal epithelium|columnar epithelium|N
human adenovirus 52|human adenovirus serotype 52|Y
IL-6 receptor alpha chain|IL-6 receptor alpha|Y
cytochrom c oxidase|cytochrome oxidase|Y
ventilatory threshold|ventilation threshold|Y
parachloromercuribenzoate|p-chloromercuric benzoate|Y
Geriatric Depression Scale|geriatric depression score|N
midlatency auditory evoked response|middle latency auditory evoked response|Y
x-ray repair cross complementing 1|x-ray repair cross-complementing group 1|Y
cysteinyl leucotriene receptor 2|cysteinyl leukotriene 2 receptor|Y
nonsense mediated mRNA decay|nonsense-mediated decay|Y
Phoca sibirica|Pusa sibirica|Y
multiple locus VNTR analysis|multi-locus VNTR analysis|Y
macrophage migration index|macrophage migration inhibition|N
anterior septal artery|anterior spinal artery|N
intramuscular|intramuscularly|Y
National Institute of Neurological Disorders and Stroke|National Institute of Neurological Disorders and Stroke rt-PA Stroke Study|N
catabolite gene activator protein|catabolite activator protein|Y
exercise-induced bronchospasm|exercise induced bronchospasm|Y
postmortem computed tomography|post-mortem computed tomography|Y
Mycobacterium avium subspecies hominissuis|Mycobacterium avium hominissuis|Y
human adenovirus serotype 25|human adenovirus type 25|Y
enamel matrix protein derivative|enamel matrix derivative|Y
multidrug resistance 1|multidrug resistance gene 1|Y
artificial springwater|artificial seawater|N
erythropoietin|erythropoiesis|N
standardised proportional mortality ratio|standardised proportionate mortality ratio|Y
transthoracic echocardiographic|trans-thoracic echocardiogram|Y
fumarylacetoacetic acid|fumarylacetoacetate|N
surface electromyographic|surface electromyogram|Y
human adenovirus serotype 12|human adenovirus 12|Y
heat stable enterotoxin a|Heat-stable enterotoxins|N
ER alpha knockout|ERalpha knockout mouse|Y
American Society of Anesthesiologists physical status 5|American Society of Anesthesiology physical status 5|Y
epidermal growth factor receptor|epidermal growth factor receptor gene|N
transcatheter arterial chemoembolisation|transcatheter arterial chemo-embolization|Y
vesicular stomatitis virus glycoprotein|vesicular stomatitis virus glycoprotein G|Y
inter-auricular septal defect|interatrial septal defect|Y
attenuated total reflection Fourier transform infrared|attenuated total reflection Fourier-transform infrared spectroscopy|Y
creatinine clearance rate|creatinine clearance|Y
calcium adenosinetriphosphatase|adenosinetriphosphatase|N
plasminogen activation|plasminogenactivator|Y
reperfused myocardial infarction|recurrent myocardial infarction|N
limb girdle muscular dystrophy 2J|limb girdle muscular dystrophy type 2J|Y
cerebrovascular resistance|cerebrovascular reserve|N
Equid herpesvirus 4|equine herpesvirus 4|Y
methylmalonyl coenzyme a mutase|methylmalonyl-coenzyme A mutase|Y
phagocyte oxidase|phagocyte NADPH oxidase|Y
electroconvulsive therapy|electroconvulsive shock therapy|Y
Charcot-Marie-Tooth disease type 1|Charcot-Marie-Tooth neuropathy type 1|Y
peak airway pressure|airway pressure|N
duodenal obstruction|chronic duodenal obstruction|N
polycyclic aromatic hydrocarbon|polynuclear aromatic hydrocarbon|Y
heteronuclear multiple bond coherence|heteronuclear multiple bond correlation|Y
Heparin-induced thrombocytopenia and thrombosis syndrome|heparin-induced thrombocytopenia and thrombosis syndrome|Y
extended field radiation therapy|extended field radiotherapy|Y
Novel erythropoiesis stimulating protein|novel erythropoiesis-stimulating protein|Y
deMan Rogosa Sharpe broth|Man Rogosa Sharpe broth|Y
computer assisted telephone interview|computer assisted telephone interviewing|Y
resistant|resistance|Y
right portal vein|rat portal vein|N
cervical intraepithelial neoplasia grade 2|cervical intraepithelial neoplasia 2|Y
amplified ribosomal DNA restriction analysis|amplified rDNA restriction analysis|Y
fragile X-associated tremor-ataxia syndrome|Fragile X-associated tremor/ataxia syndrome|Y
inverted terminal repeats|inverted terminal repetition|Y
A disintegrin and metalloprotease 11|a disintegrin and metalloproteinase-11|Y
levo-dopa|levodopa|Y
American Society of Anaesthesiology class I|American Society of Anesthesiology physical status 1|Y
octyltrimethoxysilane|octadecyltrimethoxysilane|N
diethylenetriaminepenta-acetate|diethylenetriaminepentacetic acid|N
separate|separately|Y
intragastric pressure|intra-gastric pressure|Y
vulvar intraepithelial neoplasia grade 3|vulvar intraepithelial neoplasia 3|Y
crossreacting determinant|cross-reacting determinant|Y
transforming growth factor-β receptor type II|type II transforming growth factor-β receptor|Y
a disintegrin and metalloproteinase 21|a disintegrin and metalloprotease-21|Y
metabotropic glutamate receptor 1|metabotropic glutamate 1 receptor|Y
A disintegrin and metalloproteinase 9|A disintegrin and metalloprotease-9|Y
resin-modified glass ionomer cement|resin modified glass ionomer cement|Y
instructor|instruction|N
visible/near-infrared reflectance spectroscopy|visible and near infrared reflectance spectroscopy|Y
human adenovirus serotype 13|human adenovirus 13|Y
Guanylate cyclase-activating protein 1|guanylyl cyclase activating protein 1|Y
American Society of Anesthesiology status 1|American Society of Anesthesiology Grade 1|Y
uridine diphosphate glucuronosyltransferase|uridine diphospho-glucuronosyl transferase|Y
atrophic chronic gastritis|active chronic gastritis|N
adenovirus serotype 2|adenovirus type 2|Y
tryptone soy broth|tryptone soia broth|Y
Herlitz junctional epidermolysis bullosa|junctional epidermolysis bullosa|Y
hexamethylphosphoramide|hexamethyl-phosphoric triamide|Y
cannabinoid receptor type 2|cannabinoid receptor 2|Y
intra-nasally|intranasal|Y
intraduodenally|mg/kg intraduodenally|Y
p70 ribosomal S6 kinase|70 kDa ribosomal S6 kinase|Y
dengue type 4 virus|dengue 4 virus|Y
post-pneumonectomy|postpneumonectomy|Y
lactotransferrin|lactoferrin|Y
human adenovirus 18|human adenovirus serotype 18|Y
follicular fluid meiosis-activating sterol|follicular-fluid meiosis activating sterol|N
cycle ergometer|cycle ergometry|Y
American Society of Anaesthesiology Class 1|American Society of Anesthesiologists Class I|Y
hormone responsive element|hypoxia responsive element|N
American Society of Anaesthesiologists Status 2|American Society of Anaesthesiology status II|Y
volume computed tomography dose index|volume computed tomographic dose index|Y
oro-facio-digital syndrome type III|oral facial digital syndrome type III|Y
early asthmatic response|early asthmatic reaction|Y
complexed prostate specific antigen|complexed prostate-specific antigen|Y
acute myeloid leukemia cell line|acute myelogenous leukemia cell line|Y
otorhinolaryngology|otolaryngology|N
thermo-luminescence dosimeter|thermo-luminescence dosimetry|Y
transient receptor potential vanilloid receptor 1|transient receptor potential vanilloid 1 receptor|Y
telegraphy|telegraph|Y
receptor protein-tyrosine phosphatase ζ|receptor-like protein-tyrosine phosphatase-zeta|Y
Mental Health Inventory-5|Mental Health Index-5|Y
American Society of Anesthesiology Grade III|American Society of Anesthesiologists Class III|N
glycerophosphoryl-diglucosyl-diacyl-glycerol|glycerophosphoryldiglucosyldiacylglycerol|Y
orthotopic liver transplant|orthotopic liver transplantation|Y
jurum doctor|juris doctor|Y
transforming growth factor beta receptor type 1|transforming growth factor-β receptor 1|Y
live-attenuated influenza virus|live attenuated influenza vaccine|N
physical activity ratio|physical activity recall|N
high resolution melt|high resolution manometry|N
a disintegrin and metalloproteinase-8|A disintegrin and metalloprotease-8|Y
transforming growth factor beta receptor type 2|transforming growth factor beta type II receptor|Y
ventilation|ventilatory|Y
oral facial digital syndrome type VII|orofaciodigital syndrome type VII|Y
soluble tumor necrosis factor receptor 1|soluble tumor necrosis factor receptor type I|Y
angiotensin receptor 1|angiotensin receptor subtype 1|Y
hypervariable region 1|hypervariable region|N
overall survival time|overall survival rate|N
angiotensinconverting enzyme inhibitor|angiotensin-converting-enzyme inhibition|N
store-operated calcium|store-operated channel|N
Wilms tumor 1|Wilms tumor gene 1|Y
Treponema pallidum hemagglutination assay|Treponema pallidum hemagglutination test|Y
even-skipped|even-skipped gene|N
acute lymphocytic leucemia|acute lymphoid leukemia|Y
rat thyroid cell line|Fisher rat thyroid cell line 5|Y
rotating frame nuclear Overhauser effect spectroscopy|rotating frame Overhauser effect spectroscopy|Y
granulocyte-macrophage colony-stimulating factor receptor|granulocyte-macrophage colony stimulating factor receptor|Y
intrauterine growth restricted|intra-uterine growth retardation|Y
epizootic hæmatopoietic necrosis virus|epizootic hematopoietic necrosis virus|Y
huntingtin associated protein-1|huntingtin-associated protein|Y
human lymphocyte antigen|human leucocyte antigen|Y
recombinant murine interferon alpha|recombinant murine alpha interferon|Y
leucemic stem cell|leukemia stem cell|Y
Chromatium tepidum|Chlorobium tepidum|N
3D quantitative structure activity relationship study|3D quantitative structure-affinity relationship study|Y
transient receptor potential vanilloid receptor type 1|transient receptor potential vanilloid 1|Y
volume computed tomography dose index|computed tomography dose index volume|Y
chemokine receptor 1|C-C chemokine receptor-1|Y
normalized noise energy|normalised noise energy|Y
platelet derived growth factor A|platelet-derived growth factor A chain|Y
reverse passive hemagglutination assay|passive hemagglutination assay|N
interleukine 2 receptor α chain|interleukine-2 receptor-α|N
systemic arterial blood pressure|systemic arterial pressure|Y
transmembrane tumor necrosis factor α|murine tumor necrosis factor α|N
American Society of Anaesthesiologists class II|American Society of Anaesthesiology status II|Y
insulin-like growth factor II messenger RNA binding protein 2|insulin-like growth factor II mRNA-binding protein 2|Y
DNAX activation protein 10|DNAX activating protein 10|Y
diacylglycerol acyltransferase|diacylglycerol transferase|Y
post transplantation lymphoproliferative disorders|post-transplant lympho-proliferative disease|Y
12 item General Health Questionnaire|General Health Questionnaire 12|Y
stromal cell derived factor 1|stromal derived factor 1|Y
x-ray repair cross-complementing protein 1|x-ray repair cross complementing group 1|Y
high resolution transmission electron microscopic|high resolution transmission electron microscopy|Y
GTP binding protein betagamma subunit|G protein betagamma subunit|Y
American Society of Hematology|American Society for Hematology|Y
biological warfare|bacteriological warfare|N
Clinical Global Impressions Improvement Scale|Clinical Global Impression of Improvement|Y
American Society of Anaesthesiologists status 3|American Society of Anesthesiology Grade 3|Y
sulfamethoxazole-trimethoprim|sulphamethoxazole-trimethoprim|Y
60 item General Health Questionnaire|General Health Questionnaire 60|Y
methylmercuric chloride|methylmercury chloride|Y
platelet-derived growth factor beta receptor|platelet-derived growth factor-beta receptor|Y
American Society of Anaesthesiologists score|American Society of Anaesthesiology score|Y
tryptone soy broth|tryptic soy broth|Y
childhood rheumatic disease|chronic rheumatic disease|N
botulinum neurotoxin serotype E|botulinum neurotoxin E|Y
growth factor receptor binding protein 2|growth factor receptor bound protein 2|Y
TNF receptor-associated factor 6|TNF receptor associated factor 6|Y
drug resistant|drug resistance|Y
flame atomic absorption spectrometer|flame atomic absorption spectroscopy|Y
mink cell focus inducing virus|mink cell focus forming virus|Y
rumen epithelial cell|renal epithelial cell|N
human adenovirus 26|human adenovirus serotype 26|Y
uroporphyrinogen synthase|uroporphyrinogen III synthase|N
randomly amplified polymorphic DNA-polymerase chain reaction|random amplified polymorphic DNA polymerase chain reaction|Y
protruded intervertebral disk|prolapsed intervertebral disk|Y
Thiry-Vella fistulas|Thiry-Vella fistula|Y
vegetative filter strip|vegetated filter strip|Y
ρ-guanine nucleotide dissociation inhibitor-1|Rho-guanine dinucleotide phosphate dissociation inhibitor 1|Y
breast-conserving therapy|breast conservation therapy|Y
human adenovirus type 27|human adenovirus serotype 27|Y
human adenovirus 42|human adenovirus type 42|Y
poly(tetrafluoroethylene)|polytetrafluroethylene|Y
tuberous sclerosis|tuberous sclerosis complex|Y
small ubiquitin-like modifier E3 ligase|small ubiquitin-related modifier E3 ligase|Y
mean fluorescent intensity|median fluorescence intensity|N
minimum inhibition concentration|minimal inhibitory concentration|Y
plasmin inhibitor complex|α2 plasmin inhibitor/plasmin complex|Y
phosphocreatine|phosphocitrate|N
orchiectomy|orchiectomise|Y
tocopherol|α tocopherol|N
catastrophic antiphospholipid syndrome|catastrophic antiphospholipid antibody syndrome|Y
heavy chain joining segment|heavy chain joining region|N
human adenovirus serotype 49|human adenovirus type 49|Y
nodularin|nodulation|N
X-linked dystonia-parkinsonism syndrome|X linked dystonia parkinsonism|Y
topical negative pressure therapy|topical negative pressure|Y
Hodgkin/Reed-Sternberg cell|Hodgkin and Reed-Sternberg cell|Y
metabotropic glutamate 7 receptor|metabotropic glutamate receptor subtype 7|Y
zonula occludens 1 protein|zonula occludens protein 1|Y
microtubule-associated protein-5|microtubule-associated protein 5|Y
guanylyl cyclase-activating protein|guanylate-cyclase-activating protein|Y
cytochrome c oxidase 1|cytochrome c oxidase subunit 1|Y
telegram|telegraph|Y
Charcot-Marie-Tooth type 2A|Charcot-Marie-Tooth neuropathy type 2A|Y
hydroxyindole-O-methyltransferase|hydroxyindole o methyltransferase|Y
Kirsten rat sarcoma viral oncogene homolog|Kirsten rat sarcoma virus oncogene|N
voiding cystourethrogram|voiding cysto-urethrography|Y
luteinized unruptured follicle|luteinised unruptured follicle|Y
posttraumatic stress symptomatology|post-traumatic stress symptom|Y
C-type atrial natriuretic peptide|C terminal atrial natriuretic peptide|Y
anti-interleukin-4 receptor alpha antibody|anti-IL-4 receptor alpha antibody|Y
antihepatitis B core antigen|antihepatitis B core antibody|N
oral anti-coagulant|oral anti-coagulation|Y
metacarpophalangeal|metatarsophalangeal|N
Charcot-Marie-Tooth type 2|Charcot-Marie-Tooth disease type 2|Y
trabecular separation|trabecular spacing|N
volume computed tomography dose index|volume-weighted computed tomographic dose index|Y
intravenous immunoglobulin G|intravenous immunoglobulin|Y
Roux-en-Y gastric bypass|Rouxen-Y gastric bypass|Y
glosso-pharyngeal neuralgia|glossopharyngeal nerve|N
calf diarrhea virus|Nebraska calf diarrhea virus|N
indirect immunofluorescent antibody test|indirect immunofluorescence antibody test|Y
oligodeoxynucleotide|oligodeoxyribonucleotide|N
hepatic veno-occlusive disease|hepatic veno occlusive disease|Y
67-gallium scintigraphy|gallium 67 scintigraphy|Y
Psychomotor Development Index|Psychomotor Developmental Index|Y
pubo-vaginal sling|pubovaginal sling|Y
macro-molecular creatine kinase type-1|macromolecular creatine kinase type 1|Y
apolipoprotein B|apoprotein B|Y
post-transplantation lymphoproliferative disease|post-transplant lympho-proliferative disease|Y
arteriovenous anastomosis|arteriovenous anastomotic|Y
dopamine 2 receptor|dopamine type 2 receptor|Y
head and neck squamous cell cancer|head and neck squamous cell carcinomas|Y
99mTc macroaggregated albumin|technetium 99m macroaggregated albumin|Y
nocturnal gastric acid breakthrough|nocturnal acid breakthrough|Y
interleukine-18 receptor α subunit|interleukine-18 receptor-α|Y
cyclicAMP response element binding protein|c-AMP response element binding protein|Y
adenosine deaminase|adenosine deaminase gene|N
receptor-linked protein-tyrosine-phosphatase alpha|receptor protein tyrosine phosphatase alpha|Y
broadband ultrasound attenuation|broadband ultrasonic attenuation|Y
otolith-ocular response|otolith-ocular reflex|Y
American Society of Anesthesiologists Status 2|American Society of Anaesthesiology status II|Y
virion host shutoff|virion host shutoff protein|Y
ocular coherence tomography|optical coherence tomograph|N
Vero toxin-producing Escherichia coli|verocytotoxin-producing Escherichia coli|Y
angiogenin|angiotensin|N
clinical medical library|clinical medical librarian|N
transendothelial electrical resistance|transepithelial electrical resistance|Y
toxic unit|toxicity unit|Y
double knockout|double knockout mouse|Y
synaptosome-associated protein 25|synaptosomal associated protein 25 kDa|Y
ethylenediamine 2,4-dinitrophenyl|ethylenediaminedinitrophenyl|Y
American Society of Anaesthesiologists status 5|American Society of Anaesthesiologists Grade V|Y
aminomethylcoumarin acetate|aminomethylcoumarin acetic acid|N
dopamine D2 receptor|Dopamine D(2) receptor|Y
insulin-like growth factor-II messenger RNA binding protein-3|insulin-like growth factor-II mRNA binding protein-3|Y
aminolevulinic acid dehydratase|delta aminolevulinic acid dehydratase|Y
specific oxygen utilisation rate|specific oxygen uptake rate|Y
parainfluenza 3 virus|parainfluenza type 3 virus|Y
pulvinar-lateral posterior complex|pulvinar-lateralis posterior complex|Y
computerized tomography angiogram|computed tomography angiography|Y
American Society of Anesthesiologists class 2|American Society of Anesthesiology Class 2|Y
limb girdle muscular dystrophy 2C|limb girdle muscular dystrophy type 2C|Y
m-chlorophenylbiguanide|meta-chlorophenylbiguanide|Y
tocopheryl polyethylene glycol succinate|d-alpha-tocopheryl polyethylene glycol 1000 succinate|Y
latissimus dorsi|longissimus dorsi|N
abdominal aortic aneurism|abdominal aortic aneurysmectomy|N
ferredoxin:NADP(H) reductase|ferredoxin-NADP+ oxidoreductase|Y
human immunodeficiency virus-1 trans-activator protein|human immunodeficiency virus type 1 transactivator protein|Y
heparin binding egf like growth factor|heparin binding EGF-like growth factor|Y
retinoid X receptor alpha|rexinoid receptor alpha|Y
recombinant murine interferon-α|recombinant murine alpha interferon|Y
receptor protein tyrosine phosphatase-δ|receptor-like protein-tyrosine phosphatase-δ|Y
immuno-fluorometric assay|immunofluorometric assay|Y
neurofilament light chain|neurofilament light subunit|Y
advanced chronic renal failure|chronic renal failure|N
fibromuscular dysplasia|fibro-muscular dysplasia|Y
postmeiotic segregation 2|postmeiotic segregation increased 2|Y
cannabinoid receptor 1|type 1 cannabinoid receptor|Y
laser Doppler flux|laser Doppler fluxmetry|Y
peroxidase antiperoxidase method|peroxidase-antiperoxidase complex|N
muscle type creatine kinase|muscle creatin kinase|Y
N terminal probrain natriuretic peptide|N-terminal pro-brain-type natriuretic peptide|Y
prostaglandin G/H synthase-2|prostaglandin G/H synthase-II|Y
peracetic acid|phenoxyacetic acid|N
5-methyltetrahydrofolate|methyltetrahydrofolate|Y
volume computed tomography dose index|volume weighted computed tomography dose index|Y
matrix metalloproteinase 2|matrix metalloprotease 2|Y
metabotropic glutamate 2 receptor|metabotropic glutamate receptor subtype 2|Y
cardio-respiratory fitness|cardio-respiratory function|N
guanylate binding protein|glutamate binding protein|N
three dimensional quantitative structure affinity relationship|three-dimensional quantitative structure-activity relationship|Y
insulin-like growth factor receptor type I|insulinlike growth factor 1 receptor|Y
ventricular tachycardia|venricular tachycardia|Y
acute respiratory insufficiency|acute respiratory infection|N
modified vaccinia virus Ankara|modified vaccinia Ankara|Y
pectate lyase|pectate lyase gene|N
equid herpesvirus type 4|equine herpesvirus type 4|Y
nucleic acid amplification technique|nucleic acid amplification test|Y
dilauroylphosphatidylethanolamine|dilinoleoylphosphatidylethanolamine|N
laparoscopic uterine nerve ablation|laparoscopic uterosacral nerve ablation|Y
human adenovirus type 16|human adenovirus 16|Y
IFN stimulated gene|IFN-stimulated gene|Y
glucose dehydrogenase|glutamate dehydrogenase|N
transient receptor potential vanilloid type 1|transient receptor potential vanilloid type 1 receptor|Y
multidrug resistance related protein 1|multi-drug resistance protein 1|Y
Bombyx mori nucleopolyhedrovirus|Bombyx mori nucleopolyhedrosis virus|Y
natural head posture|natural head position|Y
Hamilton Depression Rating Scale|Hamilton Depression Scale|Y
Dina japonica|Draba japonica|N
extracellular regulated kinase|extracellular-signal regulated kinase|Y
sequence specific primer|sequence specific priming|Y
endonuclease 1|AP endonuclease 1|N
Griffonia simplicifolia I|Griffonia simplicifolia lectin I|Y
3D quantitative structure-affinity relationship study|three-dimensional quantitative structure-affinity relationship study|Y
apolipoprotein E epsilon4|apolipoprotein E4|Y
Epstein-Barr virus nuclear antigen|Epstein-Barr virus determined nuclear antigen|Y
baroreflex sensitivity|baroreceptor reflex sensitivity|Y
neuroepithelial|neuroepithelioma|N
American Spinal Injury Association Impairment Scale grade A|American Spinal Injury Association grade A|Y
2,3,4,7,8-pentachlorodibenzofuran|pentachlorodibenzofuran|Y
endocrine gland-derived vascular endothelial growth factor|Endocrine gland-derived vascular endothelial growth factor|Y
computer tomographic scan|computerized tomography scan|Y
Medication Adherence Rating Scale|Medication Adherence Report Scale|Y
T effector memory cell|effector memory T cell|Y
Na+/H+ exchanger 3|Na+/H+ exchanger isoform 3|Y
Niemann-Pick type C-1|Niemann-Pick type C1|Y
LIM domain containing 1|LIM domains containing 1|Y
General Health Questionnaire|12 item General Health Questionnaire|N
behavioral|behavior|Y
interleukine-15 receptor alpha|interleukin-15 receptor alpha chain|Y
Hodgkin and Reed-Sternberg cell|Hodgkin-Reed/Sternberg cell|Y
respiratory inductive plethysmograph|respiratory inductance plethysmograph|Y
endothelial constitutive nitric oxide synthase|endothelial nitric oxide synthase|Y
minor traumatic brain injury|mild traumatic brain injury|Y
second look laparotomy|second look laparoscopy|N
molybdopterin cofactor|molybdenum cofactor|N
upper motor neuron syndrome|upper motoneuron syndrome|Y
General Health Questionnaire 30|30 item General Health Questionnaire|Y
fibroblast growth factor 1|acidic fibroblast growth factor|Y
quantitative electro-encephalogram|quantitative electroencephalography|Y
transient receptor potential vanilloid receptor 4|transient receptor potential vanilloid type 4|Y
uncoupling protein 1|uncoupling protein-1|Y
post-transplant|posttransplant|Y
analytical processing|on-line analytical processing|N
Yes-associated protein|yes-associated protein|Y
interleukin 12 receptor β2|interleukin 12 receptor β2 chain|Y
maximal midexpiratory flow|maximum midexpiratory flow|Y
three dimensional computed tomographic angiography|three-dimensional computed tomography-angiography|Y
gamma aminobutyric acidA|gammaaminobutyric acid|N
visceral epithelial cell|vaginal epithelial cell|N
cannabinoid|cannabinoid 1|N
T-helper type 1/T-helper type 2 balance|T-helper 1/T-helper 2 balance|Y
glyceraldehyde 3 phosphate dehydrogenase|glyceraldehydephosphate dehydrogenase|Y
intravenous immunoglobulin G|intravenous gammaglobulin|Y
murine embryonic fibroblast|mouse embryonic fibroblast|Y
intercalated disc|intercalated duct|N
human immunodeficiency virus 1|human immunodeficiency type 1 virus|Y
recombinant deoxyribonucleic acid|ribosomal deoxyribonucleic acid|N
human herpes virus type 8|human herpesvirus 8|Y
bovine prolactin|big prolactin|N
intraarticular pressure|intraarterial pressure|N
glutamine oxaloacetic transaminase|glutamate oxalacetate transaminase|Y
somatostatin immunoreactivity|somatostatin immunoreactive|Y
multiple endocrine neoplasia 1|multiple endocrine neoplasia type 1|Y
galactosidase|galactose|N
infantile sialic acid storage disease|infantile free sialic acid storage disease|Y
paraaminobenzoic acid|p-aminobenzoic acid|Y
Dopplerultrasound|power Doppler ultrasound|N
middle temporal area|middle temporal visual area|Y
Equid herpesvirus 2|equid herpesvirus type 2|Y
triphenylphosphite|triphenylphosphine|N
Northwest|north-west|Y
50% tissue-culture infective dose|50% tissue culture infectious dose|Y
oculopneumoplethysmography|oculoplethysmography|N
carboxy-terminal Src kinase|C-terminal Src kinase|Y
neuromuscular block|neuromuscular blocker|N
nitroglycerin-mediated dilatation|nitroglycerin-mediated vasodilation|Y
p-chloromercuriphenylsulfonate|p-chloromercuriphenyl sulfonate|Y
total rosette-forming cell|total rosette forming cells|Y
melanocortin receptor 1|melanocortin 1 receptor|Y
glutamic acid decarboxylase 67|glutamate decarboxylase 67|Y
indirect immunofluorescence antibody test|immunofluorescence antibody test|N
quantitative electro-encephalogram|quantitative electroencephalographic|Y
autopositive end-expiratory pressure|automatic positive end-expiratory pressure|Y
computer-assisted semen analysis|computer-aided semen analysis|Y
metabolic|metalic|N
transient receptor potential vanilloid receptor type 2|transient receptor potential vanilloid 2|Y
American Society of Anesthesiologists Grade 2|American Society of Anaesthesiologists physical status 2|Y
standard sodium citrate|standard saline citrate|Y
precursor B acute lymphoblastic leukemia|precursor B cell acute lymphoblastic leukemia|Y
glucocerebrosidase|galactocerebroside|N
