abbreviation	sense	variation	CUI	frequency
ag	anion gap	Ag_1|AG_4	c0003074	0.059
aids	acquired immune deficiency syndrome	aids_2|AIDs_1|AIDS_17	c0001175	1
aka	above knee amputation	AKA_14|aka_1	c0002691	0.9455
aka	also known as	aka_4	c0871468	0.0545
aki	acute kidney injury	AKI_19|AKi_1	c2609414	1
alkp	alkaline phosphatase	AlkP_7	c0002059	1
alt	alanine aminotransferase	ALT_7	c0001899|c0057041	0.405
alt	alternating	alt_4	c0332270	0.595
alte	apparent life-threatening event	ALTE_16|Alte_1	c1610642	1
ama	against medical advice	AMA_15	c2919670	0.9768
ama	advanced maternal age	AMA_3	c1562890	0.0232
aml	acute myelogenous leukemia	AML_22	c0023467	1
ams	altered mental status	AMS_17	c0278061	1
an-gap	anion gap	AN-GAP_9	c0003074	1
ana	anti-nuclear antibodies	ANA_18|Ana_1	c0003243	1
anc	absolute neutrophil count	anc_1|ANC_19	c0948762	1
angio	angiography	angio_11|Angio_2	c0002978	1
aom	acute otitis media	AOM_19	c0271429	1
ap	anteroposterior	AP_21|A.P_1|Ap_1	c2827723	1
apgars	american pediatric gross assessment records	apgars_4|Apgars_3|APGARS_3	c0003533	1
appt	appointment	appt_19|Appt_1	c0003629	1
aprn	advanced practice registered nurse	APRN_9|aprn_1	c1554708	1
ards	acute respiratory distress syndrome	ARDS_20	c0035222	1
arf	acute renal failure	ARF_20	c0022660	1
arom	artificial rupture of membranes	AROM_10	c1384591	1
asa	acetylsalicylic acid	ASA_5|asa_2	c0004057	0.98
asa	aspirin	ASA_5	c0004057	0.017
asa	american society of anesthesiologists	ASA_1	c2346733	0.003
asap	as soon as possible	asap_3|ASAP_7	c0439609	1
asd	atrial septal defect	ASD_20	c0018817	1
ast	aspartate aminotransferase	AST_14	c0004002	0.998
ast	atrial systolic tachycardia	AST_1	c0546959	0.002
atn	acute tubular necrosis	ATN_17|atn_1	c0022672	1
av	atrioventricular	AV_15	c0225871	0.825
av	aortic valve	AV_4	c0003501	0.071
av	arteriovenous	AV_3	c0450109	0.104
avm	arteriovenous malformation	AVM_23	c0334533	1
avr	aortic valve replacement	AVR_15	c0003506	0.8627
avr	avr ekg lead	aVR_2	c0449217	0.1373
avsd	atrioventricular septal defect	AVSD_17	c1389018	1
b	hepatitis b	B_4	c0019163	0.6369
b	vitamin b	B_2|b_1	c0042849	0.125
b	b cell	B_1	c0563199	0.0536
b	group b strep	B_1	c0579233	0.0208
b	blood type b	B_1	c0427623	0.0357
b	bilaterally	B_1	c0238767	0.0744
b	toxin b	B_1	c0006051	0.0536
b12	vitamin b12	b12_1|B12_9	c0042845	1
b_c	because	b/c_15	c0678226	1
b_l	bilateral	B/L_12|b/l_912	c0238767	1
babs	absolute basophils	BAbs_4	c0200641	1
bad	benadryl ativan dexamethasone	BAD_1	c2699608	1
bal	bronchoalveolar lavage	BAL_18|Bal_1	c1535502	1
baso	basophils	Baso_4	c0004827	1
basoab	absolute basophil count	BASOAB_2	c0200641	1
basore	basophils	BASORE_3	c0004827	1
bb	beta blocker	bb_2|BB_10	c0001645	0.9014
bb	baby boy	BB_1|Bb_2	c0870221	0.054
bb	blow by	BB_1	c0461716	0.0446
bbtests	blood bank tests	BBTests_10	c1979589	1
bc	blood culture	BC_14	c0200949	0.7544
bc	birth control	bc_2	c0700589	0.0155
bc	blue cross	BC_2	c0005864	0.2301
bcx	blood culture	Bcx_2|BCX_16|bcx_1|BCx_10	c0200949	1
bedgluc	bedside glucose	BedGluc_1	c0017725	1
bevn	base excess	BEVN_4	c0201985	1
bg	blood glucose	BG_13|bg_7	c0392201	1
bid	bis in die (twice a day)	b.i.d._2|BID_8|bid_8|b.i.d_2	c0585361	1
bilat	bilateral	Bilat_11|bilat_520|BILAT_1	c0238767	1
bili	bilirubin	Bili_20	c0005437	1
bipap	bilevel positive airway pressure	Bipap_6|bipap_2|BiPAP_11|BIPAP_2|BiPap_1	c1611149	1
bka	below the knee amputation	BKA_12|bka_1	c0002692	1
bld	blood	Bld_3|BLD_1|bld._1|bld_10	c0005767	0.9947
bld	building	Bld_1	c1999269	0.0053
ble	bilateral lower extremity	BLE_815|ble_1	c1269079	1
bm	bowel movement	BM_10|bm._1|Bm_1|bm_2	c0011135	0.86
bm	bone marrow	BM_6|Bm_1	c0005953	0.14
bmi	body mass index	BMI_16	c1305855	1
bmp	basic metabolic panel	BMP_19	c2237045	0.997
bmp	bone marrow puncture	BMP_1	c0005954	0.003
bmps	basic metabolic panels	BMPs_13	c2237045	1
bms	bare metal stent	BMS_13	c2825200	0.344
bms	bowel movements	BMs_6|BMS_1	c0011135	0.656
bmt	bone marrow transplant	bmt_3|BMT_16	c0005961	0.9952
bmt	bilateral myringotomy tube	BMT_1	c0844319	0.0048
bnp	brain natriuretic peptide	BNP_20	c1095989	1
bp	blood pressure	bp_5|BP_15	c0005823	1
bpd	bronchopulmonary dysplasia	BPD_14	c0006287	0.4549
bpd	bronch	BPD_5	c0684092	0.5417
bpd	biparietal diameter	BPD_1	c0552399	0.0035
bph	benign prostatic hypertrophy	BPH_22|bph_1	c0005001	1
bpm	beats per minute	bpm_16	c0439385	0.982
bpm	breaths per minute	bpm_3	c0439386	0.018
bps	blood pressures	BPs_18|bps_2	c0005823	1
brbpr	bright red blood per rectum	BRBPR_11|brbpr_1	c0018932	1
bs	bowel sounds	bs_2|BS_11	c0232693	0.949
bs	breath sounds	BS_4	c0035234	0.035
bs	blood sugar	BS_3	c0005802	0.016
bs+	bowel sounds	bs+_1|BS+_1	c0437025	1
bsn	bachelor of science in nursing	BSN_9|Bsn_1	c1549952	1
bso	bilateral salpingo-oophorectomy	BSO_15|bso_1	c0195495	1
bt	blalock-taussig	BT_5	c0397561	0.9816
bt	back transport	BT_3	c0030704	0.0127
bt	bedtime	bt_1	c0521112	0.0057
bun	blood urea nitrogen	BUN_10	c0600137	1
bx	biopsy	BX_3|bx_19|..Bx_1|Bx_3	c0005558	1
c	clostridium	C_2|c._1	null	0.1895
c	hepatitis c	C_3	c0019196	0.2681
c	vitamin c	c_2	c2349136	0.2117
c	celsius	C_2	c1516378	0.2944
c	vacuum assisted closure	.C_1	c1956080	0.0101
c	cesarean	C_1	c0007876	0.004
c	conjugated	c_1	c0522529	0.0121
c	cervical	C_1	c0205064	0.0101
c-gluc	glucose	C-Gluc_5	c0017725	1
c2	2nd cervical vertebra	C2_9|.c2_1	c0004457	1
c3	third cervical vertebra	C3_10	c0459939	1
c4	cervical vertebra 4	C4_9	c0459941	0.9913
c4	c4 (complement protein)	C4_2	c0009516	0.0087
c5	5th cervical vertebra	C5_12	c0459943	1
c6	6th cervical vertebra	C6_10	c0459944	1
c7	7th cervical vertebra	C7_10	c0223176	1
c_c_e	"clubbing, cyanosis, edema"	c/c/e_8|C/C/E_5	c0013604|c0149651|c0010520	1
c_d_i	"clean, dry, intact"	c/d/i_20	c0205266|c2116810|c0205222	1
c_o	complain of	c/o_10521	c0277786	0.992
c_o	care of	c/o_2	c1947933	0.008
c_s	cesarean section	C/S_14|c/s_2	c0007876	0.9927
c_s	cultures and sensitivities	C/S_1|c/s_1	c0010453|c0427965	0.0049
c_s	consult	c/s_1	c0009818	0.0024
c_w	consistent with	c/w_21	c0332290	0.995
c_w	crackles or wheezes	c/w_1	c0043144|c0034642	0.005
ca	calcium	Ca_9|ca_1	c0006675	0.699
ca	cancer	CA_6|ca_1	c0006826	0.283
ca	carcinoma	CA_2	c0007097	0.015
ca	cancer antigen	CA_1	c0443758	0.003
cabg	coronary artery bypass graft	CABG_18	c1260596	1
cad	coronary artery disease	cad_1|CAD_19	c0010054	1
caio	ionized calcium	CaIo_6	c0373561	1
cap	capsule	cap_56|Cap_1	c0006935	0.889
cap	community acquired pneumonia	CAP_4	c0694549	0.0444
cap	capillary	cap_2	c0935624	0.0646
cap	cap	cap_1	c0179586	0.002
carb	carbohydrate	carb_15|CARB_1|carb._1	c0007004	1
cardio	cardiology	cardio_1|CARDIO_14|Cardio_4	c0007189	1
cath	catheter	cath_97|CATH_1|Cath_3	c0085590	1
cbc	complete blood count	CBC_21|cbc_1	c0009555	1
cbil	conjugated bilirubin	CBil_7|Cbil_1	c0236556	1
cc	cubic centimeter	cc_20	c0439242	0.998
cc	chief complaint	CC_1	c0277786	0.002
ccu	coronary care unit	CCU_13	c0010066	1
cd	compact disc	CD_3	c0079141	0.8045
cd	cesarean delivery	CD_2	c0007876	0.0376
cd	cd4	CD_2	c0003323	0.0752
cd	cell dose	cd_1	c2349029	0.015
cd	crohn's disease	CD_1	c0010346	0.015
cd	cd1	CD_1	c0054941	0.015
cd	cd3	CD_1	c0108779	0.0226
cd	chronic disease	CD_1	c0008679	0.015
cd4	cd4+ t lymphocytes	CD4_9	c0039215	0.9947
cd4	cd4	CD4_1	c0003323	0.0053
cdi	"clean, dry, intact"	cdi_5|CDI_14	c0205266|c2116810|c0205222	1
cdiff	clostridium difficile	C.diff_5|CDiff_1|cdiff_7|Cdiff_7	c0079134	1
cea	carotid endarterectomy	cea_1|CEA_10	c0014099	0.2961
cea	carcinoembryonic antigen	CEA_9	c0007082	0.7039
cf	cystic fibrosis	CF_19|cf_1	c0010674	1
cga	corrected gestational age	CGA_5	c2963526	0.9676
cga	contact guard assist	CGA_4	c2009975	0.0324
chemo	chemotherapy	chemo_16|Chemo_4	c0013217	1
chf	congestive heart failure	CHF_20	c0018802	1
cipro	ciprofloxacin	Cipro_14|cipro_6	c0008809	1
circ	circumflex	circ_4|circ._1|Circ_1	c1880089	0.1854
circ	circumcision	circ_4	c0008819	0.017
circ	circumference	Circ_1	c0332520	0.7977
ciwa	clinical institute withdrawal assessment	CIWA_9|ciwa_1	c0814193	1
ck	creatine kinase	CK_16	c0010287	1
ck-mb	creatine kinase isoenzyme mb	CK-MB_10	c0010290	1
ckd	chronic kidney disease	.CKD_2|CKD_16|ckd_1|Ckd_1	c1561643	1
ckmb	creatine kinase isoenzyme mb	CKMB_13	c0010290	1
cl	chloride	cl_1|Cl_6	c0596019	0.9864
cl	clinic	CL_1|cl_1	c0002424	0.0115
cl	conduction latency	CL_1	null	0.0021
cld	chronic lung disease	CLD_19|cld_1	c0746102	1
clin	clinic	clin_6|CLIN_6|Clin_1	c0002424	0.9409
clin	clinical	Clin_3|clin_1	c0205210	0.0591
cm	centimeter	CM_1|cm_117	c0475210	0.998
cm	cardiomegaly	CM_1	c0018800	0.002
cmp	complete metabolic panel	cmp_1|CMP_16	c0519825	0.994
cmp	cardiomyopathy	cmp_1|CMP_1	c0878544	0.006
cmv	cytomegalovirus	CMV_24|cmv_1	c0010825	0.983
cmv	continuous mechanical ventilation	CMV_2	c2223984	0.017
cn	cranial nerve	CN_48|cn_1	c0010268	1
cns	central nervous system	CNS_16	c0927232	0.278
cns	coagulase negative staph	CNS_2	c0445625	0.014
cns	cranial nerves	CNs_2	c0010268	0.708
co	cardiac output	co_1|CO_4	c0007165	0.1238
co	carbon dioxide	CO_3	c0007012	0.6254
co	coenzyme q10	co_2	c0056077	0.1053
co	companies	co._1	c0683757	0.0062
co	county	co_1	c0079170	0.0124
co	cyclophosphamide and vincristine	CO_1	c0280658	0.0526
co	coenzyme	co_1	c0009235	0.0217
co	cooperative	Co_1	c0679729	0.0464
co	carbon monoxide	CO_1	c0007018	0.0062
co2	carbon dioxide	CO2_12	c0007012	1
coag	coagulation	Coag_6|coag_4	c0005778	1
coags	coagulation times	Coags_1|coags_15	c0368930	1
cont	continue	Cont_2|cont._1|cont_9	c0549178	0.918
cont	continuous	cont._2|cont_4	c0549178	0.054
cont	contrast	CONT_2	c1979874	0.028
copd	chronic obstructive pulmonary disease	COPD_20	c0024117	1
cor	cardiovascular	Cor_5	c0007226	0.9508
cor	coronary	COR_1|Cor_1	c1522318	0.0383
cor	chord	Cor_1	c1011714	0.0109
cord	chord	cord_4|CORD_1	null	1
cp	chest pain	cp_1|CP_9	c0008031	0.1883
cp	cerebral palsy	CP_8	c0007789	0.7986
cp	cerebellopontine angle	CP_1	c0007764	0.0131
cpap	continuous positive airway pressure	CPAP_19|cpap_1	c0199451	1
cpk	creatine phosphokinase	..cpk_1|CPK_19	c0010287	1
cpm	continuous passive motion	CPM_12	c0079991|c0549178	0.9942
cpm	cyclophosphamide	CPM_1	c0010583	0.0058
cppd	chest percussion and post drainage	CPPD_115|cppd_2	c0013103|c1285807|c0687676	0.9935
cppd	calcium pyrophosphate dihydrate disease	CPPD_2	c0553730	0.0065
cpr	cardiopulmonary resuscitation	CPR_18	c0007203	0.9925
cpr	c-reactive protein	CPR_1	c0006560	0.0075
cpt	current procedural terminology	CPT_20	c1138431	1
cr	creatinine	Cr_10|Cr._1|cr_1	c0010294	0.9557
cr	capillary refill	CR_3	c0425716	0.0443
cri	chronic renal insufficiency	CRI_20	c0403447	1
crp	c reactive protein	CRP_20	c0006560	1
csa	cyclosporin a	CSA_18|CsA_1|csa_1	c0010592	1
csf	cerebrospinal fluid	CSF_20	c0007807	1
ct	computed tomography	ct_1|CT_17	c0040405	0.506
ct	count	ct_2	c0750480	0.488
ct	cardiothoracic	CT_1	c1274037	0.006
cta	clear to auscultation	CTA_16	c2963144|c0004339	0.958
cta	computed tomographic angiography	CTA_22	c1536105	0.042
ctab	clear to auscultation bilaterally	ctab_2|CTAB_16	c0231855	1
ctm	continue to monitor	CTM_19|ctm_1	c0509693	1
ctr	center	CTR_2|ctr_3|Ctr_9	c0205099	1
cv	cardiovascular	CV_15	c0007226	0.995
cv	central venous	CV_1	c0444466	0.005
cva	cerebrovascular accident	CVA_17	c0038454	0.948
cva	cardiovascular	cva_2	c0007226	0.006
cva	costovertebral angle	CVA_1	c1281866	0.046
cvicu	cardiovascular intensive care unit	CVICU_12	c0587446	1
cvl	central venous line	CVL_11	c1145640	1
cvs	cardiovascular system	CVS_13	c0007226	1
cx	culture	Cx_2|cx_14	c0430400	0.994
cx	circumflex	Cx_2	c1880089	0.006
cxr	chest x-ray	CXR_20	c0039985	1
cxrs	chest x-rays	CXRs_16	c0039985	1
d	vitamin d	D_2|d_2	c0042866	0.4979
d	day	d_4	c0439228	0.1738
d	md	.D_1	c1512018	0.0043
d	actinomycin d	D_1	c0010934	0.0043
d	ged	.D_1	null	0.0064
d	phd	.D_1	c1512022	0.1845
d	dextrose	d_1	c0017725	0.1288
d1	first diagonal artery	D1_7	c0447056	1
d2	2nd diagonal branch (off of left anterior descending coronary artery)	D2_3	c0447057	1
d5	5% dextrose	d5_6|D5_5	c0017725	1
d50	50% dextrose in water	d50_7|D50_3	c0770264	1
d_c	discharge	d/c_414	c0030685	0.988
d_c	discontinue	d/c_11	c1706472	0.012
d_ced	discontinued	d/ced_6	c1444662	0.0784
d_ced	discharged	d/ced_6	c0438953	0.9216
d_o	disorder	d/o_25	c0012634	1
d_t	due to	d/t_24	c0678226	1
da	day	DA_1|D.a_1|da_14	c0439228	0.7354
da	daily	da_1	c0332173	0.2583
da	dopamine	DA_1	c0013030	0.0063
dbs	deep brain stimulation	DBS_18	c0394162	1
dc	discharge	DC_7|Dc_1|dc_4	c0030685	0.8441
dc	direct current	DC_3|dc_1	c0442831	0.1469
dc	discontinue	dc_2|DC_1	c1706472	0.0091
dccv	direct current cardioversion	DCCV_15	c0542380	1
dcs	department of children's services	DCS_20	null	1
dd	deceased donor	DD_3	c0524354	0.8
dd	diastolic dysfunction	DD_1	c0520863	0.2
ddavp	desamino-d-arginine vasopressin	ddavp_2|DDAVP_11	c0003779	1
ddd	"dual sensing, dual pacing, dual response"	DDD_6	c0747122	0.8729
ddd	degenerative disc disease	DDD_4	c0158266	0.1271
dds	doctor of dental surgery	DDS_41|Dds_1	c1512017	0.1198
dds	dapsone	dds_3	c0010980	0.8802
dec	decrease	dec_34	c0547047	0.2291
dec	december	Dec_2|dec_3	null	0.7553
dec	decreased	dec_2	c0205216	0.0155
deg	degree	deg_3	c0449286	1
derm	dermatology	Derm_11|derm_6|DERM_6	c0011627	1
des	drug-eluting stent	DES_18	c1322815	0.9817
des	vdrug-eluting stent	DES_1	c1322815	0.0183
desat	desaturation	desat_10|Desat_1	c0342966	1
detox	detoxification	detox_15	c0150543	0.945
detox	detoxify	detox_5	c0025516	0.055
diff	differential	DIFF_2|diff_3|Diff_1	c0443199	0.669
diff	difficile	diff_21|Diff_1	c0079134	0.331
dir	directed	dir._1|dir_10	null	1
disp	dispense	Disp_6|disp_9	c1880359	0.9584
disp	disposition	Disp_3|disp_1	c0743223	0.0392
disp	displaced	disp_1	c0012727	0.0024
djd	degenerative joint disease	DJD_18|djd_2	c0029408	1
dka	diabetes ketoacidosis	dka_1|.DKA_1|DKA_18	c0011880	1
dlco	diffusing capacity of lung for carbon monoxide	DLCO_11	c2143174	1
dm	diabetes mellitus	DM_17	c0011849	0.9889
dm	dextromethoraphan	dm_2	c0011816	0.0111
dm2	diabetes mellitus type 2	DM2_9	c0011860	1
dmii	diabetes mellitus type 2	DMII_20	c0011860	1
dnr	do not resuscitate	DNR_11	c0582114	1
dob	date of birth	DOB_10	c0803906	1
doe	dyspnea on exertion	Doe_1|DOE_15	c0231807	1
dp	dorsalis pedis	dp_1|DP_10	c0230462	1
dr	doctor	Dr_10	c2348314	1
drs	doctors	Drs_10	c0031831	1
dt	delirium tremens	dt_1|DT_1	c0001957	1
dtr	deep tendon reflexes	DTR_12	c0489815	0.998
dtr	daughter	dtr_1	c0011011	0.002
dtrs	deep tendon reflexes	DTRs_15	c0489815	1
dvd	digital versatile disc (digital video disc)	DVD_4	c0872156	1
dvt	deep venous thrombosis	dvt_2|DVT_18	c0149871	1
dvts	deep venous thromboses	DVTs_20	c0149871	1
dx	diagnosis	dx_22|DX_2|Dx_7	c0011900	1
dz	disease	Dz_7|dz_24	c0012634	1
e	escherichia	e_1|E_1	c0014833	0.5653
e	eosinophils	E_1	c0014467	0.3762
e	edema	e._1	c0013604	0.0156
e	enterococcus	E_1	c0085494	0.0039
e	expiratory	E_1	c0231800	0.039
e_s	electronic signature	E/S_1	c1547561|c1519316	1
ea	each	EA_3|ea_9|Ea_1|ea._1	c1457900	1
ebl	estimated blood loss	EBL_15	c1443559	1
ebm	expressed breast milk	EBM_20	c0452739	1
ebv	ebstein barr virus	EBV_20	c0014644	1
ec	enteric coated	E.C_1|EC_9|ec_6|e.c_3	c0039226	0.9137
ec	enterocutaneous	EC_1	c0341318	0.0863
ecg	electrocardiogram	ECG_19|..ECG_1	c0013798	1
ecgs	electrocardiograms	ecgs_3|ECGs_8	c0013798	1
ecmo	extracorporeal membrane oxygenation	ECMO_16|ecmo_4	c0015357	1
ecoli	escherichia coli	Ecoli_5|ecoli_2|E.coli_13	c0014834	1
ect	electroconvulsive therapy	ECT_13	c0013806	1
ed	emergency department	ED_19	c0562508	1
edc	estimated date of confinement	EDC_9	c2825543	0.993
edc	extensor digitorum communis	EDC_1	c1707982	0.007
eeg	electroencephalogram	EEG_19|eeg_1	c1547121|c1527380	1
ef	ejection fraction	.EF_1|EF_19	c2700378	1
ega	estimated gestational age	EGA_10	c0262472	1
egd	esophagogastroduodenoscopy	EGD_20	c0079304	1
egfr	estimated glomerular filtration rate	EGFR_1|eGFR_5|egfr_2	c0750572|c1561549	1
egs	emergency general surgery	EGS_18|egs_1|Egs_1	c0184893	1
ehl	extensor hallucis longus	EHL_12	c0224466	1
ekg	electrocardiogram	EKG_20	c0013798	1
ekgs	electrocardiograms	ekgs_2|EKGs_18	c0013798	1
emg	electromyography	EMG_19|Emg_1	c0013839	1
ems	emergency medical services	EMS_18	c0013961	1
emu	emergency medical unit	EMU_20	c0587536	1
endo	endocrinology	ENDO_3|Endo_13|endo_4	c0014137	1
ent	"ear, nose and throat"	ENT_20	c0150934	1
eoabs	absolute eosinophil count	EoAbs_3	c0200638	1
eomi	extraocular movements intact	EOMI_19	c0522327	1
eos	eosinophils	Eos_4|eos_5|EOS_1	c0014467	1
eosiab	absolute eosinophil count	EOSIAB_2	c0200638	1
eosire	eosinophil	EOSIRE_1	c0014467	0.998
eosire	eosinophil count	EOSIRE_1	c0750879	0.002
ep	electrophysiology	EP_15	c0013865	1
epi	epinephrine	epi_20	c0014563	1
epo	erythropoietin	epo_6|Epo_7|EPO_7	c0014822	1
eps	electrophysiology study	EPS_12|EPs_1	c1446476	0.995
eps	encapsulating peritoneal sclerosis	EPS_1	c2717860	0.005
er	emergency room	e.r._1|er_1|ER_12	c0562508	0.823
er	extended release	e.r_2|er_1|ER_1	c1707968	0.167
er	estrogen receptor	ER_2	c0034804	0.01
ercp	endoscopic retrograde cholangiopancreatography	ERCP_20	c0008310	1
esr	erythrocyte sedimentation rate	ESR_11|esr_1	c0086250	1
esrd	end stage renal disease	.ESRD_1|ESRD_19	c0374846	1
etoh	ethanol	Etoh_1|etoh_3|ETOH_9|EtOH_8	c0001962	1
ett	endotracheal tube	ETT_27	c0336630	1
eval	evaluation	..Eval_1|Eval_1|EVAL_1|eval_17	c1550157	1
evd	external ventricular drain	EVD_20	c0042517	1
ext	extremity	ext_3|EXT_1|Ext_12	c0015385	1
extr	extremities	Extr_13|EXTR_2|extr_3	c0015385	1
f_u	follow up	.F/U_1|f/u_11|F/U_2	c1522577	1
fdg	feeding	fdg_10	c0204695	0.733
fdg	fludeoxyglucose	FDG_5	c1572572	0.267
fen	"fluids, electrolytes, nutrition"	FEN_17|Fen_1|FEn_1|fen_1	c1442959|c0518892	1
fengi	"fluids, electrolytes, nutrition, gastrointestinal"	FENGI_16	c0521362|c0518892|c1521739	1
fev1	forced expiratory volume after 1 second	fev1_1|FEV1_9	c0849974	1
ffp	fresh frozen plasma	ffp_1|FFP_19	c0016709	1
fio2	faction of inspired oxygen	fiO2_1|FIO2_3|Fio2_1|FiO2_12	c2585014	1
fk	fk506 (tacrolimus)	FK_20	c0729218|c0085149	1
fna	fine needle aspiration	fna_1|FNA_19	c1510483	1
fnf	finger nose finger	FNF_11	c0278158	1
fri	friday	Fri._1|Fri_7|FRI_1|fri_6	c0585029	1
ft4	free thyroxine	FT4_14|fT4_1	c0312452	1
ftt	failure to thrive	.FTT_1|FTT_19	c0015544	1
fu	follow up	Fu_1|fu_4|FU_10	c1522577	0.9855
fu	fluorouracil	FU_4	c0016360	0.0145
fx	fracture	fx_27|FX_2|Fx_1	c0016658	1
g	gram	g_11	c0439208	0.8807
g	gastrostomy	g_2	c0017196	0.069
g	gallop	g._1|g_1	c0232200	0.0129
g	gravid	G_1	c0549206	0.0374
g-tube	gastrostomy tube	G-tube_14|g-tube_6	c0150595	1
g1	gravida 1 (1 pregnancy)	G1_9	c0860096	1
g2	gravid 2 (2 pregnancies)	G2_9	c0232997	1
g3	gravid 3 (3 pregnancies)	G3_6	c1277583	1
gaf	global assessment of functioning	GAF_7	c0017644	1
gas	group a streptococcus	GAS_11	c0038411	1
gbs	group b streptococcus	GBS_15	c0579233	0.998
gbs	guillain-barre syndrome	GBS_1	c0018378	0.002
gcsf	granulocyte colony stimulating factor	gcsf_2|gCSF_3|GCSF_12	c0079459	1
ge	gastroesophageal	GE_6	c0744316	0.997
ge	gastroenteritis	GE_1	c0017160	0.003
gen	general	GEN_7|gen_1|Gen_12	c0205246	1
gerd	gastroesophageal reflux disease	GERD_20	c0017168	1
gfr	glomerular filtration rate	GFR_15|gfr_1	c0017654	1
ggt	gamma glutamyl transferase	GGT_14|ggt_6	c0017040	1
gi	gastrointestinal	gi_3|GI_15	c0521362	0.436
gi	gastroenterologist	GI_2	c0259901	0.536
gi	gastroenterology	GI_1	c0017163	0.028
gj	gastrojejunal	GJ_15	c0545827	0.9916
gj	gastrojejunostomy	GJ_2	c0399839	0.0084
gluc	glucose	Gluc_8|gluc_2	c0017725	1
gluwb	glucose whole blood	GluWB_4	c0236460	1
gm	gram	gm_109	c0439208	1
gpc	gram positive cocci	gpc_1|GPC_17	c0018155	1
gt	gastrostomy tube	gt_3|GT_17	c0150595	1
gtc	generalized tonic-clonic	gtc_1|GTC_9	c0494475	1
gtt	drip	gtt_14|gtt._1	c1321095	0.397
gtt	drop	gtt_41	c2348338	0.603
gtube	gastrostomy tube	Gtube_10|gtube_12	c0150595	1
gu	genitourinary	GU_18|gu_2	c0042066	1
gvhd	graft versus host disease	gvhd_5|GVHD._1|GVHD_22	c0018133	1
gyn	gynecology	GYN_11|gyn_3|Gyn_6	c0018417	1
h	hours	h_6|h._1	c0439227	0.9927
h	helicobacter	H_1	c0085508	0.0073
h_o	history of	h/o_14|H/O_2|H/o_3	c0262926	1
ha	headache	HA_18	c0018681	1
hbsag	hepatitis b surface antigen	HBSag_2|HBsAg_3	c0019168	1
hc	hydrocortisone	hc_3|HC_4	c0020268	0.0893
hc	head circumference	HC_4|hc_1	c0262499	0.8973
hc	health care	HC_1	c0086388	0.0133
hcl	hydrochloride	HCL_4|HCl_6|hcl_8	c1512523	1
hct	hematocrit	HCT_15|HCt_1|Hct_8	c0018935	0.787
hct	hydrochlorothiazide	hct_2|HCT_2	c0020261	0.162
hct	head ct	HCT_1	c0202691	0.051
hctz	hydrochlorothiazide	HCTZ_15|hctz_5	c0020261	1
