"abr","long_form"
"APSAC","anisoylated plasminogen streptokinase activator complex"
"aPTT","activated partial thromboplastin time"
"aq.","water"
"aq. bull.","boiling water"
"aq. calid.","warm or hot water"
"aq. dist.","distilled water"
"aq. gel.","cold water"
"AR","aortic regurgitation"
"AR","attributable risk"
"ARB","angiotensin II receptor antagonist"
"ARBI","alcohol-related brain injury"
"ARC","AIDS-related complex"
"ARD","absolute risk difference"
"ARD","alcohol-related dementia"
"ARDS","acute respiratory distress syndrome"
"ARF","acute renal failure"
"Arg","arginine"
"ARM","artificial rupture of membranes"
"ARMD","age-related macular degeneration"
"ARMS","alveolar rhabdomyosarcoma"
"AROM","active range of motion"
"AROM","artificial rupture of membranes"
"ART","antiretroviral therapy"
"ART","assuming room temperature"
"ART","assisted reproductive technology"
"ARVC","arrhythmogenic right ventricular cardiomyopathy"
"ARVD","arrhythmogenic right ventricular dysplasia"
"AS","aortic stenosis"
"AS","atherosclerosis"
"AS","ankylosing spondylitis"
"ASA","acetylsalicylic acid"
"ASA","American Society of Anesthesiologists"
"ASAP","as soon as possible"
"ASB","asymptomatic bacteriuria"
"ASC","ambulatory surgery center"
"ASC","atypical squamous cells"
"ASCA","anti–Saccharomyces cerevisiae antibodies"
"ASC-H","atypical squamous cells—cannot exclude HSIL"
"ASCAD","arteriosclerotic coronary artery disease"
"ASCUS","atypical squamous cells of undetermined significance"
"ASC-US","atypical squamous cells of undetermined significance"
"ASCVD","arteriosclerotic vascular disease"
"ASD","atrial septal defect"
"ASGUS","atypical squamous glandular cells of undetermined significance"
"ASH","arteriosclerotic heart disease"
"ASHD","arteriosclerotic heart disease"
"ASH","alcoholic steatohepatitis"
"ASIS","anterior superior iliac spine"
"ASO","antistreptolysin-O"
"ASOT","antistreptolysin-O titre"
"ASPECTS","Alberta Stroke Program Early CT Score"
"Ass","assessment"
"AST","aspartate transaminase"
"ASX","asymptomatic"
"A-T","ataxia-telangiectasia"
"AT","antithrombin"
"AT","angiotensin"
"AT-III","antithrombin III"
"ATA","antitransglutaminase antibodies"
"ATB","antibiotic"
"ATCC","ATCC"
"ATG","anti-thymocyte globulin"
"ATLS","Advanced trauma life support"
"ATN","acute tubular necrosis"
"ATNR","asymmetrical tonic neck reflex"
"ATP","acute thrombocytopenic purpura"
"ATP","adenosine triphosphate"
"ATP","antitachycardia pacing"
"Atp","atypical"
"ATRA","all-trans retinoic acid"
"ATS","antitetanus serum"
"AUC","area under the curve"
"aur.","ear"
"aur. dextro.","to right ear"
"aur. laev","to left ear"
"aurist.","ear drops"
"AV","arteriovenous"
"AV","atrioventricular"
"AVF","arteriovenous fistula"
"AVM","arteriovenous malformation"
"AVN","avascular necrosis"
"AVN","atrioventricular node"
"AVR","aortic valve replacement"
"A&W","alive and well"
"A/W","alive and well"
"Ax","axillary"
"AXR","abdominal x-ray"
"AYA","adolescents and young adults"
"AZT","azidothymidine"
"Ba","barium"
"BAC","blood alcohol content"
"BAD","Bipolar affective disorder"
"BAL","bronchoalveolar lavage"
"BAL","British anti-Lewisite"
"BAL","blood alcohol level"
"BAO","basic acid output"
"BAT","brown adipose tissue"
"BAV","bicuspid aortic valve"
"BBA","bilateral breast augmentation"
"BBB","blood–brain barrier"
"BBB L","left bundle branch block"
"BBB R","right bundle branch block"
"BBT","basal body temperature"
"BC","bone conduction"
"BC","blood culture"
"BCC","basal cell carcinoma"
"BCC","blind carbon copy"
"BCG","bacille Calmette–Guérin"
"BCP","birth control pill"
"BCP","Blood chemistry profile"
"BCX","blood culture"
"BCx","blood culture"
"BDR","Background Diabetic Retinopathy"
"BBMF","bone break, me fix"
"BD","bipolar disorder"
"BD","twice a day"
"BDD","body dysmorphic disorder"
"BDI","Beck Depression Inventory"
"BE","barium enema"
"BE","base excess"
"BEP","bleomycin, etoposide, and cisplatin"
"BFP","bundle forming pilus"
"BG","blood glucose"
"BGAT","blood glucose awareness training"
"BGL","blood glucose level"
"BIB","brought in by"
"BIBA","brought in by ambulance"
"BID","twice a day"
"bid","twice a day"
"b.i.d.","twice a day"
"Bilat eq","bilaterally equal"
"BiPAP","bilevel positive airway pressure"
"BIS","Bispectral index"
"BiVAD","bilateral ventricular assist device"
"BK","bradykinin"
"BKA","below-the-knee amputation"
"b/l","bilateral"
"BL","Burkitt's lymphoma"
"bl.cult","blood culture"
"bld","blood"
"BLE","Bilateral Lower Extremity"
"BLS","basic life support"
"BM","bone marrow"
"BM","bowel movement"
"BM","breast milk"
"BMBx","Bone marrow biopsy"
"BMC","bone mineral content"
"BMD","bone mineral density"
"BMI","body mass index"
"BMP","basic metabolic panel"
"BMR","basal metabolic rate"
"BMT","bone marrow transplantation"
"BNO","bowel not open"
"BNP","brain natriuretic peptide"
"BO","bowel open"
"B/O","because of"
"BOA","born out of asepsis"
"BOI","born on island"
"BOM","bilateral otitis media"
"BOOP","bronchiolitis obliterans organizing pneumonia"
"BP","blood pressure"
"BP","bipolar disorder"
"BP","British Pharmacopoeia"
"BPAD","bipolar affective disorder"
"BPCA","best pharmaceuticals for children act"
"BPD","biparietal diameter"
"BPD","borderline personality disorder"
"BPD","bronchopulmonary dysplasia"
"BPH","benign prostatic hyperplasia aka benign prostatic hypertrophy"
"BPM","beats per minute"
"BPP","biophysical profile"
"BPPV","benign paroxysmal positional vertigo"
"BR","bedrest"
"BR","bathroom"
"BRA","bilateral renal agenesis"
"BRAT","bananas, rice, applesauce, toast"
"BRATY","bananas, rice, applesauce, toast, yogurt"
"BRB","bright red blood"
"BRBPR","bright red blood per rectum"
"BRCA1","breast cancer 1"
"BRCA2","breast cancer 2"
"BRP","bathroom privileges"
"BRTO","Balloon-Occluded Retrograde Transvenous Obliteration"
"BRVO","Branch retinal vein occlusion"
"BS","breath"
"BS","breath sound"
"BS","bowel sounds on auscultation with stethoscope"
"BS","blood sugar"
"BS x 4 quads","bowel signs in all 4 quadrants"
"BS + all 4 quads","bowel signs in all 4 quadrants"
"BSA","body surface area"
"BSA","bovine serum albumin"
"BSC","bedside commode"
"BSE","bovine spongiform encephalopathy"
"BSE","breast self-examination"
"BSL","blood sugar level"
"BSO","bilateral salpingo-oophorectomy"
"BSP","bromsulphthalein"
"BSU","Bartholin, Skene and urethra"
"BT","bleeding time"
"BT","brachytherapy"
"BTB","breakthrough bleeding"
"BTL","bilateral tubal ligation"
"BTP","breakthrough pain"
"BUN","blood urea nitrogen"
"BV","bacterial vaginosis"
"BVM","bag valve mask"
"BVP","biventricular pacing"
"BVP","bleomycin, vincristine, and cisplatin"
"BW","blood work"
"BW","birth weight"
"Bx","biopsy"
"BZDs","benzodiazepines"
"C","cytosine"
"C","cervical vertebrae"
"C1","atlas – first cervical vertebra of the spine"
"C2","axis – second cervical vertebra of the spine"
"CA","carcinoma"
"CA","cancer"
"Ca","calcium"
"Ca","carcinoma"
"Ca","cancer"
"CAA","coronary artery aneurysm"
"c/b","complicated by"
"CABG","coronary artery bypass graft surgery"
"CABP","coronary artery bypass procedure"
"CAD","coronary artery disease"
"CADASIL","cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy"
"CAG","coronary artery graft"
"CAG","coronary angiography"
"CAGE","cut down, annoyed, guilty, eye opener"
"CAGS","coronary artery graft surgery"
"cAMP","cyclic adenosine monophosphate"
"CAH","chronic active hepatitis"
"CAH","congenital adrenal hyperplasia"
"CALLA","common acute lymphocytic leukemia antigen"
"CAM","cell adhesion molecule"
"CAM","complementary and alternative medicine"
"CAMP","cyclic adenosine monophosphate"
"CAP","community-acquired pneumonia"
"CAPD","continuous ambulatory peritoneal dialysis"
"CAO","conscious, alert, and oriented"
"CaOx","calcium oxalate"
"Caps","capsule"
"CAT","computed axial tomography"
"CT","computed tomography"
"Cath","catheter"
"CBA","cost–benefit analysis"
"CBC","complete blood count"
"CBC/DIFF","complete blood count/differential"
"CBD","common bile duct"
"CBE","clinical breast examination"
"CBF","cerebral blood flow"
"CBS","chronic brain syndrome"
"CC","cubic centimeter"
"CC","chief complaint"
"CC","cardiac catheter"
"CC","carbon copy"
"cc","cubic centimeter"
"cc","chief complaint"
"cc","cardiac catheter"
"cc","carbon copy"
"CCA","clear cell adenocarcinoma"
"CCB","calcium channel blocker"
"CCCU","critical coronary care unit"
"CCE","clubbing, cyanosis, and edema"
"C/C/E","clubbing, cyanosis, and edema"
"CCG","Clinical commissioning group"
"CCF","congestive cardiac failure"
"CCK","cholecystokinin"
"CCK-PZ","cholecystokinin-pancreozymin"
"CCNS","cell cycle–nonspecific"
"CCOC","clear cell odontogenic carcinoma"
"CCOT","calcifying cystic odontogenic tumor"
"CCP","cyclic citrullinated peptide"
"CCR","cardiocerebral resuscitation"
"CCU","coronary care unit"
"CCU","critical care unit"
"CD","Crohn's disease"
"CD","chemical dependency"
"CD","cluster of differentiation"
"CD","controlled delivery"
"CDAD","Clostridium difficile–associated diarrhea"
"CDC","Centers for Disease Control and Prevention"
"CDH","congenital dislocated hip"
"CDI","central diabetes insipidus"
"CDI","Clostridium difficile infection"
"CDI","cool, dry, intact"
"CDMR","caesarean delivery on maternal request"
"CDP","cytosine diphosphate"
"CDR","cutaneous drug reaction"
"CEA","carcinoembryonic antigen"
"CEA","carotid endarterectomy"
"CEA","cost-effectiveness analysis"
"CEIOL","cataract extraction with intraocular lens placement"
"CF","cystic fibrosis"
"CFA","complement-fixing antibody"
"CFA","colonization factor antigen"
"CFIDS","chronic fatigue immune dysfunction syndrome"
"CFR","case fatality rate"
"CFS","chronic fatigue syndrome"
"CFT","complement fixation test"
"CFT","capillary filling time"
"CFTR","cystic fibrosis transmembrane conductance regulator"
"CFU","colony-forming unit"
"CGD","chronic granulomatous disease"
"CGI","Clinical Global Impression"
"cGMP","cyclic guanosine monophosphate"
"CGN","chronic glomerulonephritis"
"CH","congenital hypothyroidism"
"CHD","chronic heart disease"
"CHD","congenital heart defect"
"CHD","coronary heart disease"
"ChE","cholinesterase"
"CHEM-7","a group of blood tests"
"CHEM-20","a group of blood tests"
"CHE","cholinesterase"
"CHF","congestive heart failure"
"CHO","carbohydrate"
"CHOP","cyclophosphamide, doxorubicin, vincristine, prednisone"
"Chol","cholesterol"
"CHS","cannulated hip screw"
"CHT","congenital hypothyroidism"
"CI","confidence interval"
"CI","cardiac index"
"CIB","cibus"
"CICU","cardiac intensive care unit"
"CIDP","chronic inflammatory demyelinating polyneuropathy"
"CIMF","chronic idiopathic myelofibrosis"
"CIN","cervical intraepithelial neoplasia"
"CINV","Chemotherapy-induced nausea and vomiting"
"Circ","circumcision"
"Circ","circulation"
"CIS","carcinoma in situ"
"CIVI","continuous intravenous infusion"
"CIWA","Clinical Institute Withdrawal Assessment for Alcohol"
"CJD","Creutzfeldt–Jakob disease"
"CK","creatine kinase"
"CKD","chronic kidney disease"
"CKMB","MB isoenzyme of creatine kinase"
"Cl","chlorine"
"Cl","clearance"
"CLARE","contact lens acute red eye"
"CLL","chronic lymphocytic leukemia"
"CLN","cervical lymph node"
"CLND","cervical lymph node dissection"
"CLND","complete lymph node dissection"
"CLP","cleft lip and palate"
"CLS","capillary leak syndrome"
"CM","Chirurgiae Magister"
"CM","Master of Surgery"
"CM","Caucasian male"
"CMD","cystic medial degeneration"
"CME","continuing medical education"
"CML","chronic myelogenous leukemia"
"CML","chronic myeloid leukaemia"
"CMML","chronic myelomonocytic leukemia"
"CMO","comfort measures only"
"CMP","complete metabolic profile"
"CMP","cytosine monophosphate"
"CMS","Centers for Medicare and Medicaid Services"
"CMS","chronic mountain sickness"
"CMT","cervical motion tenderness"
"CMV","cytomegalovirus"
"CN","cranial nerves"
"CNS","central nervous system"
"CNS","Clinical nurse specialist"
"CNS","Crigler-Najjar syndrome"
"CNVM","Choroidal Neovascular Membranes"
"C/O","complains of"
"c/o","complains of"
"CO","cardiac output"
"CO","carbon monoxide"
"CO","complains of"
"COAD","chronic obstructive airways disease"
"COCP","combined oral contraceptive pill"
"COH","controlled ovarian hyperstimulation"
"COLD","chronic obstructive lung disease"
"Comp","compound"
"Conj","conjunctiva"
"COP","cryptogenic organizing pneumonitis"
"COPD","chronic obstructive pulmonary disease"
"COX-1","cyclooxygenase 1"
"COX-2","cyclooxygenase 2"
"COX-3","cyclooxygenase 3"
"CP","cerebral palsy"
"CP","chest pain"
"CP","constrictive pericarditis"
"CPAP","continuous positive airway pressure"
"CPC","clinical–pathological conference"
"CPCR","cardiopulmonary-cerebral resuscitation"
"CPD","cephalopelvic disproportion"
"CPE","Clostridium perfringens enterotoxin"
"CPE","cardiogenic pulmonary edema"
"CPE","Carbapenemase producing Enterobacteriaceae"
"CPG","clinical practice guideline"
"CPK","creatine phosphokinase"
"CPKMB","creatine phosphokinase heart"
"CPP","cerebral perfusion pressure"
"CPPD","calcium pyrophosphate"
"CPR","cardiopulmonary resuscitation"
"CPT","Current Procedural Terminology"
"CR","complete remission"
"CR","controlled release"
"Cr","creatinine"
"CRC","colorectal cancer"
"CrCl","creatinine clearance"
"CRD","chronic renal disease"
"CRD","circadian rhythm disorder"
"CRE","carbapenem-resistant Enterobacteriaceae"
"Creat","creatinine"
"CREST","calcinosis, Raynaud esophagus, sclerosis, teleangiectasiae"
"CRF","chronic renal failure"
"CRF","corticotropin-releasing factor"
"CrGN","crescentic glomerulonephritis"
"CRH","corticotropin-releasing hormone"
"CRI","chronic renal insufficiency"
"Crike","Cricothyrotomy"
"CRISPR","clustered regularly interspaced short palindromic repeats"
"Crit","hematocrit"
"CRL","crown-rump length"
"CRNA","certified registered nurse anesthetist"
"CRO","contract research organization"
"CRP","C-reactive protein"
"CRPC","castration-resistant prostate cancer"
"CRPS","complex regional pain syndrome"
"CRRT","continuous renal replacement therapy"
"CRS","congenital rubella syndrome"
"CRSD","circadian rhythm sleep disorder"
"CRT","cardiac resynchronization therapy"
"CRT","chemoradiotherapy"
"CRT","conformal radiotherapy"
"CRT","cathode ray tube"
"CRT","capillary refill time"
"CRT","central retinal thickness"
"CRTx","chemoradiotherapy"
"CS","caesarean section"
"CS","compartment syndrome"
"CS","culture sensitivity"
"CS","Churg-Strauss syndrome"
"C/S","Caesarean section"
"C&S","culture and sensitivity"
"CsA","cyclosporin A"
"CSA","Controlled Substances Act"
"C-section","cesarean section"
"CSF","cerebrospinal fluid"
"CSF","colony-stimulating factor"
"CSME","clinically significant macular edema"
"CSOM","chronic suppurative otitis media"
"CSPC","community specialist palliative care"
"C-spine","cervical spine"
"CSR","cumulative survival rate"
"C-SSRS","Columbia Suicide Severity Rating Scale"
"CSU","catheter specimen of urine"
"CST","contraction stress test"
"CT","computed tomography"
"CT","cervicothoracic"
"CTA","clear to auscultation"
"CTA","computed tomography angiography"
"CTAP","CT during arterial portography"
"CTCAE","Common Terminology Criteria for Adverse Events"
"CTD","connective tissue disease"
"CTE","chronic traumatic encephalopathy"
"CTE","coefficient of thermal expansion"
"CTO","chronic total occlusion"
"CTO","Community Treatment Order"
"CTP","cytosine triphosphate"
"CTP","cytidine triphosphate"
"CTP","Child-Turcotte-Pugh score"
"CTP","clear to percussion"
"CTPA","computed tomographic pulmonary angiography"
"CTPE","CT scan for pulmonary embolii"
"CTR","carpal tunnel release"
"CTS","computed tomography scan"
"CTS","Carpal Tunnel Syndrome"
"CTU","cancer treatment unit"
"CTx","chemotherapy"
"CTX","ceftriaxone"
"CTX","contractions"
"CTX","chemotherapy"
"CTZ","Chemoreceptor trigger zone"
"CUC","chronic ulcerative colitis"
"CV","cardiovascular"
"CVA","cerebrovascular accident"
"CVA","costovertebral angle"
"CVAD","central venous access device"
"CVAT","costovertebral angle tenderness"
"CVC","central venous catheter"
"CVC","chronic venous congestion"
"CVD","cardiovascular disease"
"CVI","cerebrovascular incident"
"CVL","central venous line"
"CVP","central venous pressure"
"CVS","chorionic villus sampling"
"CVS","cardiovascular system"
"CVID","common variable immunodeficiency"
"c/w","consistent with"
"CWP","coal worker's pneumoconiosis"
"Cx","microbiological culture"
"Cx","cervix"
"CXR","chest x-ray"
"D5","5% dextrose"
"D25","25% dextrose injections"
"D4T","stavudine"
"D5W","5% dextrose in water"
"d","day(s)"
"DA","dopamine"
"DAEC","diffusely adherent Escherichia coli"
"DAF","decay accelerating factor"
"DAI","diffuse axonal injury"
"DALY","disability-adjusted life year"
"DAPT","dual anti-platelet therapy"
"DBP","diastolic blood pressure"
"DBS","deep brain stimulation"
"D&C","dilatation and curettage"
"D/C","discharge"
"D/C","discontinue"
"DCBE","double contrast barium enema"
"DCD","donation after cardiac death"
"DCCV","direct current cardioversion"
"DCIS","ductal carcinoma in situ"
"DCM","dilated cardiomyopathy"
"DD","differential diagnosis"
"DDAVP","desmopressin acetate"
"DDC","zalcitabine"
"DDD","daily defined doses"
"DDD","Degenerative disk disease"
"DDH","developmental hip dysplasia"
"DDI","didanosine"
"DDx","differential diagnosis"
"D&E","dilatation and evacuation"
"DES","diethylstilbestrol"
"DES","Drug-Eluting stent"
"DEXA","Dual energy X-ray absorptiometry"
"DH","developmental history"
"DH","Department of Health"
"DHE","dihydroergotamine"
"DHEA-S","dehydroepiandrosterone sulphate"
"DHF","decompensated heart failure"
"DHR","dihydrorhodamine"
"DHT","dihydrotestosterone"
"DHT","Dobhoff Tube"
"DI","diabetes insipidus"
"DIB","dead in bed"
"DIB","difficulty in breathing"
"DIC","disseminated intravascular coagulation"
"DICVP","Diplomat, International College of Veterinary Pharmacy"
"Di-Di","dichromatic diamnionic twins"
"DIL","drug-induced lupus"
"DILI","drug-induced liver injury"
"DiPerTe","diphtheria-pertussis-tetanus"
"Dis","dislocation"
"Disch","discharge"
"DiTe","diphtheria-tetanus"
"DIU","death in utero"
"DJD","degenerative joint disease"
"DKA","diabetic ketoacidosis"
"dl","deciliter"
"dL","deciliter"
"DLB","dementia with Lewy bodies"
"DLCO","diffusing capacity of the lung for carbon monoxide"
"DLE","disseminated lupus erythematosus"
"DLI","donor lymphocyte infusion"
"DM","diabetes mellitus"
"DM","Dermatomyositis"
"DM2","Type two diabetes mellitus"
"DMARD","disease-modifying antirheumatic drug"
"DMD","Duchenne muscular dystrophy"
"DMD","Dentariae Medicinae Doctor"
"DMD","Doctor of Dental Medicine"
"DMPA","depot medroxyprogesterone acetate"
"DMSA","dimercaptosuccinic acid"
"DMT","dimethyltryptamine"
"DNA","deoxyribonucleic acid"
"DNACPR","do not attempt cardiopulmonary resuscitation"
"DNI","do not intubate"
"DNR","do not resuscitate"
"DNAR","do not attempt resuscitation"
"DO","Doctor of Osteopathic Medicine"
"D/O","died of"
"D/O","disorder"
"DOA","dead on arrival"
"DOA","drugs of abuse"
"DOB","difficulty of breathing"
"DOB","Date of birth"
"DOE","dyspnea on exertion"
"DOH","Department of Health"
"DOL","day of life"
"DOS","date of service"
"DOSS","docusate sodium"
"DOSS","dioctyl sodium sulfosuccinate"
"DP","dorsalis pedis"
"DPH","diphenylhydantoin"
"DPL","diagnostic peritoneal lavage"
"DPLD","diffuse parenchymal lung disease"
"DPM","Doctor of Podiatric Medicine"
"DPT","diphtheria-pertussis-tetanus"
"DRE","Digital Rectal Examination"
"DRPLA","Dentatorubral-Pallidoluysian Atrophy"
"DRT","dead right there"
"DS","disease"
"DS","Down syndrome"
"DSA","digital subtraction angiography"
"DSA","Donor specific antibody"
"DSD","dry sterile dressing"
"Dsg","dressing"
"DSM","Diagnostic and Statistical Manual of Mental Disorders"
"dsRNA","double-stranded RNA"
"DT","diphtheria-tetanus"
"DT","delirium tremens"
"D/T","due to"
"DTA","descending thoracic aorta"
"DTaP","diphtheria–tetanus–acellular pertussis"
"DTP","diphtheria-tetanus-pertussis"
"DTR","deep tendon reflex"
"DTs","delirium tremens"
"DU","duodenal ulcer"
"DUB","dysfunctional uterine bleeding"
"DVT","deep vein thrombosis"
"DW","dextrose in water"
"D5W","5% dextrose in water"
"DX","diagnosis"
"Dx","diagnosis"
"dx","diagnosis"
"DZ","disease"
"E","ecstasy"
"E","electrolytes"
"E","Enterococcus"
"E","epinephrine"
"EAC","external acoustic meatus"
"EACA","epsilon-aminocaproic acid"
"EAEC","enteroadhesive Escherichia coli"
"EAF","enteric adherence factor"
"EAM","external auditory meatus"
"EBRT","external beam radiation therapy"
"EBL","estimated blood loss"
"EBM","evidence-based medicine"
"EBM","expressed breast milk"
"EBT","electron beam tomography"
"EBV","Epstein–Barr virus"
"EC","enteric coating"
"ECC","endocervical curettage"
"ECD","endocardial cushion defect"
"ECF","extracellular fluid"
"ECF","enteric cytopathic human orphan"
"ECG","electrocardiogram"
"ECM","extracellular matrix"
