abr,long_form,long_form_raw
ACD,anemia of chronic disease,[[anemia of chronic disease]]
ACDF,anterior cervical discectomy and fusion,[[anterior cervical discectomy and fusion]]
Ace,acetone,[[acetone]]
ACE,angiotensin-converting enzyme,[[angiotensin-converting enzyme]]
ACEI,angiotensin-converting enzyme inhibitor,[[ACE inhibitor|angiotensin-converting enzyme inhibitor]](s)
ACh,acetylcholine,[[acetylcholine]]
AChE,acetylcholine esterase,[[acetylcholine]] esterase
ACL,anterior cruciate ligament,[[anterior cruciate ligament]]
ACLS,advanced cardiac life support,[[advanced cardiac life support]]
ACS,altered conscious state,altered conscious state 
ACS,acute coronary syndrome, [[acute coronary syndrome]] 
ACS,acute chest syndrome, [[acute chest syndrome]]
ACTH,adrenocorticotropic hormone,[[adrenocorticotropic hormone]]
ACP,Advance care planning,[[Advance care planning]]
ACPO,acute colonic pseudo-obstruction,acute colonic pseudo-obstruction
ACU,ambulatory care unit,[[ambulatory care|ambulatory care unit]]
ad.,right ear,right [[ear]] (from [[Latin]] ''auris dexter'')
AD,Alzheimer's disease,[[Alzheimer's disease]] 
AD,acute distress, acute distress 
AD,right ear, right [[ear]] (from [[Latin]] ''auris dexter'') 
AD,as directed, as directed
ADA,adenosine deaminase,[[adenosine deaminase]] 
ADA,American Dental Association, [[American Dental Association]]
ADC,AIDS dementia complex,[[AIDS dementia complex]]
ADCC,antibody-dependent cell-mediated cytotoxicity,[[antibody-dependent cell-mediated cytotoxicity]]
ADD,attention deficit disorder,[[ADHD predominantly inattentive|attention deficit disorder]]
ADH,antidiuretic hormone,[[vasopressin|antidiuretic hormone]]
ADHD,attention deficit hyperactivity disorder,[[attention deficit hyperactivity disorder]]
ADHF,acute decompensated heart failure,acute decompensated [[heart failure]]
ADHR,autosomal dominant hypophosphatemic rickets,[[autosomal dominant]] hypophosphatemic [[rickets]]
ADLs,activities of daily living,[[activities of daily living]]
ad lib,as desired,[[ad lib|as desired]] (from [[Latin]] ''ad libitum'')
adm,admission,[[Patient#Outpatients and inpatients|admission]]
Adn,adnexae,"adnexae (for example, adnexae of the [[uterus]])"
ADP,adenosine diphosphate,[[adenosine diphosphate]]
ad part. dolent,to the painful parts,to the painful parts (from [[Latin]] ''ad partes dolentes'')
ADR,adverse drug reaction,[[adverse drug reaction]]
AEB,as evidenced by (commonly used by nurses),as evidenced by (commonly used by nurses)
AED,automated external defibrillator,[[automated external defibrillator]] 
AED,antiepileptic drug, anti[[Epilepsy#Treatment|epileptic]] drug(s)
AEM,ambulatory electrocardiogram monitoring,[[Holter monitor|ambulatory electrocardiogram monitoring]]
AF,atrial fibrillation,[[atrial fibrillation]] 
AF,atrial flutter, [[atrial flutter]] 
AF,amniotic fluid, [[amniotic fluid]]
AF-AFP,amniotic fluid alpha fetoprotein,amniotic fluid alpha fetoprotein
AFB,acid-fast bacilli,[[acid-fast|acid-fast bacilli]]
AFI,amniotic fluid index,[[amniotic fluid index]]
AFib,atrial fibrillation,[[atrial fibrillation]]
AFL,atrial flutter,[[atrial flutter]]
AFNTR,acute febrile nonhemolytic transfusion reaction,[[blood transfusion#Adverse effects|acute febrile nonhemolytic transfusion reaction]]
AFO,ankle-foot orthosis,[[ankle-foot orthosis]]
AFP,alpha-fetoprotein,[[alpha-fetoprotein]]
AFSOF,"anterior fontanelle soft, open, flat","anterior fontanelle soft, open, flat"
Ag,antigen,[[antigen]]
AGA,anti-gliadin antibodies,[[anti-gliadin antibodies]] 
AGA,appropriate gestational age, appropriate gestational age (see [[birth weight]])
AGC,atypical glandular cells,[[Bethesda System|atypical glandular cells]]
AGES criteria,"age, grade, extent, size (for tumors)","age, grade, extent, size (for tumors)"
AGN,acute glomerulonephritis,acute [[glomerulonephritis]]
AH,auditory hallucinations,[[auditory hallucination]]s
a.h.,every other hour,every other hour (from [[Latin]] ''alternis horis'')
AHD,arteriosclerotic heart disease,[[arteriosclerotic heart disease]]
AHF,antihemophilic factor,[[antihemophilic factor]]
AHG,antihemophilic globulin,[[antihemophilic globulin]]
AHH,aryl hydrocarbon hydroxylase,[[aryl hydrocarbon hydroxylase]]
AHR,airway hyper-reactivity,airway hyper-reactivity
AHT,antihyaluronic acid test,antihyaluronic acid test
AI,artificial insemination,[[artificial insemination]] 
AI,aortic insufficiency, [[aortic insufficiency]]
AICD,automated implantable cardioverter-defibrillator,[[Implantable cardioverter-defibrillator|automated implantable cardioverter-defibrillator]]
AID,artificial insemination by donor,[[artificial insemination#Human artificial insemination|artificial insemination by donor]]
AIDS,acquired immune deficiency syndrome,[[AIDS|acquired immune deficiency syndrome]]
AIH,artificial insemination by husband,[[artificial insemination#In humans|artificial insemination by husband]]
AIHD,artificial insemination by pooled husband and donor semen,[[artificial insemination#In humans|artificial insemination by pooled husband and donor semen]]
AIPD,acute infectious and parasitical diseases,acute infectious and parasitical diseases 
AIPD,autoimmune progesterone dermatitis, autoimmune progesterone [[dermatitis]] 
AIPD,acute inflammatory demyelinating polyneuropathy, [[Guillain-Barré syndrome|acute inflammatory demyelinating polyneuropathy]]
AIIRB,angiotensin II receptor antagonist,[[angiotensin II receptor antagonist]]
AIN,allergic interstitial nephritis,[[allergic interstitial nephritis]]
AIR,anterior interval release,[[anterior interval release]] 
AIR,acute inpatient rehabilitation, [[physical medicine and rehabilitation|acute inpatient rehabilitation]]
AIS,adenocarcinoma in situ,[[adenocarcinoma]] in situ 
AIS,androgen insensitivity syndrome, androgen insensitivity syndrome
AK,acanthamoeba keratitis,acanthamoeba keratitis
aka,also known as,[[list of acronyms: A#AK|also known as]]
AKA,above-knee amputation,[[amputation|above-knee amputation]] 
AKA,also known as, [[list of acronyms: A#AK|also known as]]
ALA,aminolevulinic acid,[[heme|aminolevulinic acid]]
Alc,alcohol,[[alcohol]]
ALCAPA,anomalous left coronary artery from the pulmonary artery,[[anomalous left coronary artery from the pulmonary artery]]
ALF,assisted living facility,[[assisted living facility]]
ALG,antilymphocytic globulin,[[antilymphocytic globulin]]
ALI,acute limb injury,acute limb injury 
ALI,acute lung injury, [[acute respiratory distress syndrome|acute lung injury]]
Alk phos,alkaline phosphatase,[[alkaline phosphatase]] (sometimes abbreviated as ALP)
ALL,acute lymphoblastic leukemia,[[acute lymphoblastic leukemia]] 
ALL,allergies, [[allergies]]
ALP,alkaline phosphatase,[[alkaline phosphatase]] (sometimes abbreviated as Alk phos)
ALPS,autoimmune lymphoproliferative syndrome,[[autoimmune lymphoproliferative syndrome]]
ALS,"amyotrophic lateral sclerosis, also known as 'motor neurone disease', 'Lou Gehrig's disease' or 'Charcot disease","[[amyotrophic lateral sclerosis]], also known as '''motor neurone disease''' ('''MND'''), '''Lou Gehrig's disease''' or '''Charcot disease'' "
ALS,advanced life support, [[advanced life support]]
ALT,alanine transaminase,[[alanine transaminase]]
altern. d.,every other day,every other day (from [[Latin]] ''alterno die'')
AMA,advanced maternal age,[[advanced maternal age]] (often defined as 35 years or greater) 
AMA,against medical advice, [[against medical advice]] 
AMA,antimitochondrial antibody, [[anti-mitochondrial antibody|antimitochondrial antibody]] 
AMA,American Medical Association, [[American Medical Association]]
Amb,ambulate,[[walking|ambulate]]
AMC,arthrogryposis multiplex congenita,[[arthrogryposis|arthrogryposis multiplex congenita]]
AMI,acute mesenteric ischemia,acute mesenteric ischemia 
AMI,acute myocardial infarction, [[Myocardial infarction|acute myocardial infarction]]
AML,acute myeloid leukemia,[[acute myeloid leukemia]]
AMO,advanced medical optics,advanced medical optics
AMP,adenosine monophosphate,[[adenosine monophosphate]]
Amp,ampule,[[ampoule|ampule]] 
Amp,ampere, [[ampere]]
AMPA receptor,alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor of the brain,alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptor of the brain
AMS,acute mountain sickness,[[altitude sickness|acute mountain sickness]] 
AMS,atypical measles syndrome, atypical [[measles]] syndrome 
AMS,altered mental status, [[altered mental status]]
Amt,amount,amount
ANA,antinuclear antibody,[[anti-nuclear antibody|antinuclear antibody]]
ANCA,antineutrophil cytoplasmic antibody,[[anti-neutrophil cytoplasmic antibody|antineutrophil cytoplasmic antibody]]
ANDI,aberrations of normal development and involution,aberrations of normal development and involution (of [[breast]])
ANF,atrial natriuretic factor,[[atrial natriuretic peptide|atrial natriuretic factor]]
ANP,atrial natriuretic peptide,[[atrial natriuretic peptide]]
ANS,autonomic nervous system,[[autonomic nervous system]]
Ant,anterior,[[anatomical terms of location#Anterior and posterior|anterior]]
Anti-,refers to an antibody to the suffixed antigen,refers to an [[antibody]] to the suffixed [[antigen]]
ANTR,asymmetrical tonic neck reflex,[[asymmetrical tonic neck reflex]]
ANUG,acute necrotizing ulcerative gingivitis,[[acute necrotizing ulcerative gingivitis]]
A&O or A/O,aware and oriented or alert and oriented,[[orientation (mental)|aware and oriented or alert and oriented]]
A&Ox3,"alert and oriented, times 3","[[orientation (mental)|alert and oriented, times 3 (to person, place, and time)]]"
A&Ox4,"alert and oriented, times 4","[[orientation (mental)|alert and oriented, times 4 (to person, place, time, and circumstances)]] (often used interchangeably with ''A&Ox3'')"
AODM,adult-onset diabetes mellitus,adult-onset diabetes mellitus (now called [[diabetes mellitus type 2]])
AOM,acute otitis media,acute [[otitis media]]
a.p.,before a meal,before a [[meal]] (from [[Latin]] ''ante prandium'')
AP,alkaline phosphatase,[[alkaline phosphatase]] 
AP,anteroposterior, [[Anatomical terms of location#Anterior and posterior|anteroposterior]] 
AP,angina pectoris, angina pectoris 
AP,action potential, action potential 
AP,angina pectoris, angina pectoris 
AP,area postrema, area postrema
A&P,auscultation and percussion,[[auscultation]] and [[Percussion (medicine)|percussion]] 
A&P,anatomy and physiology, [[anatomy]] and [[physiology]]
A/P,anatomy and physiology,[[anatomy]] and [[physiology]] 
A/P,assessment and plan, [[nursing assessment|assessment]] and plan]]
APACHE II,Acute Physiology and Chronic Health Evaluation II,[[APACHE II|Acute Physiology and Chronic Health Evaluation II]]
APAP,paracetamol,"[[paracetamol]] (aka acetaminophen) (from its chemical name, N-acetyl-para-aminophenol) "
APAP,automatic positive airway pressure, [[positive airway pressure|automatic positive airway pressure]]
APC,atrial premature contraction,[[premature atrial contraction|atrial premature contraction]] 
APC,antigen-presenting cell, [[antigen-presenting cell]] 
APC,activated protein C, activated [[protein C]]
APD,adult polycystic disease,[[polycystic kidney disease|adult polycystic disease]] 
APD,automated peritoneal dialysis, automated peritoneal [[dialysis]]
APKD,adult polycystic kidney disease,[[polycystic kidney disease|adult polycystic kidney disease]]
APECED,autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy,[[autoimmune polyendocrine syndrome|autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy]]
APGAR,"appearance, pulse, grimace, activity, respiration","[[Apgar score|appearance, pulse, grimace, activity, respiration]] (used to assess newborns)"
APH,antepartum haemorrhage,[[antepartum haemorrhage]]
APLS,antiphospholipid syndrome,[[antiphospholipid syndrome]]
APMPPE,acute posterior multifocal placoid pigment epitheliopathy,[[acute posterior multifocal placoid pigment epitheliopathy]]
applic.,applicandus,"applicandus ([[Latin]] meaning ""to be applied"")"
appy,appendectomy,[[appendectomy]]
APP,as per protocol,"as per protocol (e.g., per institutional clinical protocol or per [[protocol (science)|scientific protocol]])"
APR,abdominoperineal resection,[[abdominoperineal resection]]
APS,autoimmune polyendocrine/polyglandular syndrome,[[autoimmune polyendocrine syndrome|autoimmune polyendocrine/polyglandular syndrome]] 
APS,antiphospholipid syndrome, antiphospholipid syndrome
APSAC,anisoylated plasminogen streptokinase activator complex,[[anisoylated plasminogen streptokinase activator complex]]
aPTT,activated partial thromboplastin time,[[partial thromboplastin time|activated partial thromboplastin time]]
aq.,water,[[water]] (from [[Latin]] ''aqua'')
aq. bull.,boiling water,[[boiling water]] (from [[Latin]] ''aqua bulliens'')
aq. calid.,warm or hot water,warm or hot water (from [[Latin]] ''aqua calida'')
aq. dist.,distilled water,[[distilled water]] (from [[Latin]] ''aqua distillata'')
aq. gel.,cold water,cold water (from [[Latin]] ''aqua gelida'')
AR,aortic regurgitation,[[aortic insufficiency|aortic regurgitation]] 
AR,attributable risk, [[attributable risk]]
ARB,angiotensin II receptor antagonist,[[angiotensin II receptor antagonist]]
ARBI,alcohol-related brain injury,alcohol-related brain injury (such as a [[fetal alcohol spectrum disorder]] or [[alcohol-related dementia]])
ARC,AIDS-related complex,[[AIDS]]-related complex
ARD,absolute risk difference,[[absolute risk]] difference 
ARD,alcohol-related dementia, [[alcohol-related dementia]]
ARDS,acute respiratory distress syndrome,[[acute respiratory distress syndrome]]
ARF,acute renal failure,[[acute kidney injury|acute renal failure]]
Arg,arginine,[[arginine]]
ARM,artificial rupture of membranes,[[artificial rupture of membranes]] (also abbreviated as AROM)
ARMD,age-related macular degeneration,[[age-related macular degeneration]]
ARMS,alveolar rhabdomyosarcoma,[[alveolar rhabdomyosarcoma]]
AROM,active range of motion,[[range of motion|active range of motion]] 
AROM,artificial rupture of membranes, [[artificial rupture of membranes]]
ART,antiretroviral therapy,[[antiretroviral drug|antiretroviral therapy]] 
ART,"assuming room temperature (that is, the patient has died)"," assuming room temperature (that is, the patient has died) "
ART,assisted reproductive technology, [[assisted reproductive technology]]
ARVC,arrhythmogenic right ventricular cardiomyopathy,[[arrhythmogenic right ventricular dysplasia|arrhythmogenic right ventricular cardiomyopathy]]
ARVD,arrhythmogenic right ventricular dysplasia,[[arrhythmogenic right ventricular dysplasia]]
AS,aortic stenosis,[[aortic valve stenosis|aortic stenosis]] 
AS,atherosclerosis, [[atherosclerosis]] 
AS,ankylosing spondylitis, [[ankylosing spondylitis]]
ASA,acetylsalicylic acid,acetylsalicylic acid ([[aspirin]]) 
ASA,American Society of Anesthesiologists, [[ASA physical status classification system|American Society of Anesthesiologists (physical status class)]]
ASAP,as soon as possible,as soon as possible
ASB,asymptomatic bacteriuria,[[asymptomatic bacteriuria]]
ASC,ambulatory surgery center,[[ambulatory surgery center]] 
ASC,atypical squamous cells, atypical squamous cells
ASCA,anti–Saccharomyces cerevisiae antibodies,[[anti–Saccharomyces cerevisiae antibody|anti–''Saccharomyces cerevisiae'' antibodies]]
ASC-H,atypical squamous cells—cannot exclude HSIL,[[Bethesda system|atypical squamous cells—cannot exclude HSIL]]
ASCAD,arteriosclerotic coronary artery disease,[[coronary artery disease|arteriosclerotic coronary artery disease]]
ASCUS,atypical squamous cells of undetermined significance,[[Bethesda system|atypical squamous cells of undetermined significance]]
ASC-US,atypical squamous cells of undetermined significance,[[Bethesda system|atypical squamous cells of undetermined significance]]
ASCVD,arteriosclerotic vascular disease,arteriosclerotic vascular disease ([[arteriosclerosis]])
ASD,atrial septal defect,[[atrial septal defect]]
ASGUS,atypical squamous glandular cells of undetermined significance,atypical squamous glandular cells of undetermined significance
ASH,arteriosclerotic heart disease,arteriosclerotic heart disease ([[coronary heart disease]])
ASHD,arteriosclerotic heart disease,arteriosclerotic heart disease ([[coronary heart disease]])
ASH,alcoholic steatohepatitis,alcoholic [[steatohepatitis]]
ASIS,anterior superior iliac spine,[[anterior superior iliac spine]]
ASO,antistreptolysin-O,[[ASO medical|antistreptolysin-O]]
ASOT,antistreptolysin-O titre,[[ASO medical|antistreptolysin-O titre]]
ASPECTS,Alberta Stroke Program Early CT Score,Alberta Stroke Program Early CT Score
Ass,assessment,assessment
AST,aspartate transaminase,[[aspartate transaminase]]
ASX,asymptomatic,[[asymptomatic]]
A-T,ataxia-telangiectasia,[[ataxia-telangiectasia]]
AT,antithrombin,[[antithrombin]] 
AT,angiotensin, [[angiotensin]]
AT-III,antithrombin III,[[Antithrombin|antithrombin III]]
ATA,antitransglutaminase antibodies,[[anti-transglutaminase antibodies|antitransglutaminase antibodies]]
ATB,antibiotic,[[antibiotic]]
ATCC,ATCC,[[ATCC (company)]] (formerly the American Type Culture Collection)
ATG,anti-thymocyte globulin,[[anti-thymocyte globulin]]
ATLS,Advanced trauma life support,[[Advanced trauma life support]]
ATN,acute tubular necrosis,[[acute tubular necrosis]]
ATNR,asymmetrical tonic neck reflex,[[asymmetrical tonic neck reflex]]
ATP,acute thrombocytopenic purpura,acute [[thrombocytopenic purpura]] 
ATP,adenosine triphosphate, [[adenosine triphosphate]] 
ATP,antitachycardia pacing, [[implantable cardioverter-defibrillator|antitachycardia pacing]]
Atp,atypical,atypical
ATRA,all-trans retinoic acid,[[tretinoin|all-''trans'' retinoic acid]]
ATS,"antitetanus serum, that is, antitetanus immunoglobulins","anti[[tetanus]] [[wikt:serum|serum]], that is, antitetanus [[immunoglobulin]]s"
AUC,area under the curve,[[area under the curve]] ([[pharmacology]])
aur.,ear,ear (from [[Latin]] ''auris'')
aur. dextro.,to right ear,to right [[ear]] (from [[Latin]] ''auris dextrae'')
aur. laev,to left ear,to left [[ear]] (from [[Latin]] ''auris laevae'')
aurist.,ear drops,[[ear drop]]s (from [[Latin]] ''auristillae'')
AV,arteriovenous,[[blood vessel|arteriovenous]] 
AV,atrioventricular, [[wikt:atrioventricular|atrioventricular]]
AVF,arteriovenous fistula,[[arteriovenous fistula]]
AVM,arteriovenous malformation,[[arteriovenous malformation]]
AVN,avascular necrosis,[[avascular necrosis]] 
AVN,atrioventricular node, [[atrioventricular node]]
AVR,aortic valve replacement,[[aortic valve replacement]]
A&W,alive and well,alive and well
A/W,alive and well,alive and well
Ax,axillary,[[axilla]]ry
AXR,abdominal x-ray,[[abdominal x-ray]]
AYA,adolescents and young adults,adolescents and young adults
AZT,azidothymidine,[[zidovudine|azidothymidine]]
Ba,barium,[[barium]]
BAC,blood alcohol content,[[blood alcohol content]]
BAD,Bipolar affective disorder,[[Bipolar disorder|Bipolar affective disorder]]
BAL,bronchoalveolar lavage,[[bronchoalveolar lavage]] 
BAL,British anti-Lewisite, [[British anti-Lewisite]] 
BAL,blood alcohol level, [[Blood alcohol content|blood alcohol level]]
BAO,basic acid output,[[basic acid output]]
BAT,brown adipose tissue,[[brown adipose tissue]]
BAV,bicuspid aortic valve,bicuspid aortic valve
BBA,bilateral breast augmentation,bilateral breast augmentation
BBB,blood–brain barrier,[[blood–brain barrier]]
BBB L,left bundle branch block,[[left bundle branch block]]
BBB R,right bundle branch block,[[right bundle branch block]]
BBT,basal body temperature,basal body temperature
BC,bone conduction,[[bone conduction]] 
BC,blood culture, [[blood culture]]
BCC,basal cell carcinoma,[[basal cell carcinoma]] 
BCC,blind carbon copy, [[blind carbon copy]]
BCG,bacille Calmette–Guérin,[[bacille Calmette–Guérin]] (a [[tuberculosis]] vaccination)
BCP,birth control pill,[[Combined oral contraceptive pill|birth control pill]]
BCP,Blood chemistry profile,Blood chemistry profile
BCX,blood culture,[[blood culture]]
BCx,blood culture,[[blood culture]]
BDR,Background Diabetic Retinopathy,Background Diabetic [[Diabetic retinopathy|Retinopathy]]
BBMF,"""bone break, me fix""","""bone break, me fix"" (orthopedic [[Informed consent|consent form]])"
BD,bipolar disorder,[[bipolar disorder]] 
BD,twice a day (from Latin ''bis in die''), twice a day (from Latin ''bis in die'')
BDD,body dysmorphic disorder,[[body dysmorphic disorder]]
BDI,Beck Depression Inventory,[[Beck Depression Inventory]]
BE,barium enema,[[Lower gastrointestinal series|barium enema]] 
BE,base excess, [[base excess]]
BEP,"bleomycin, etoposide, and cisplatin (chemotherapy regimen)","bleomycin, etoposide, and cisplatin (chemotherapy regimen)"
BFP,bundle forming pilus,bundle forming pilus
BG,blood glucose,[[blood glucose]]
BGAT,blood glucose awareness training,blood glucose awareness training (to help patients with [[diabetic hypoglycemia]])
BGL,blood glucose level,[[Blood sugar|blood glucose level]]
BIB,brought in by,brought in by
BIBA,brought in by ambulance,brought in by ambulance
BID,twice a day,twice a day (from [[Latin]] ''bis in die'')
bid,twice a day,twice a day (from [[Latin]] ''bis in die'')
b.i.d.,twice a day,twice a day (from [[Latin]] ''bis in die'')
Bilat eq,bilaterally equal,bilaterally equal
BiPAP,bilevel positive airway pressure,bilevel [[positive airway pressure]]
BIS,Bispectral index,[[Bispectral index]]
BiVAD,bilateral ventricular assist device,bilateral [[ventricular assist device]] (left and right)
BK,bradykinin,[[bradykinin]]
BKA,below-the-knee amputation,[[below-the-knee amputation]]
b/l,bilateral,bilateral
BL,Burkitt's lymphoma,[[Burkitt's lymphoma]]
bl.cult,blood culture,[[blood culture]]
bld,blood,[[blood]]
BLE,Bilateral Lower Extremity (in/on both legs).,Bilateral Lower Extremity (in/on both legs).
BLS,basic life support,[[basic life support]]
BM,bone marrow,[[bone marrow]] 
BM,bowel movement, [[bowel movement]] 
BM,breast milk, [[breast milk]]
BMBx,Bone marrow biopsy,[[Bone marrow examination|Bone marrow biopsy]]
BMC,bone mineral content,bone mineral content
BMD,bone mineral density,[[bone mineral density]] (also termed ''bone mass measurement'')
BMI,body mass index,[[body mass index]]
BMP,basic metabolic panel,[[basic metabolic panel]]
BMR,basal metabolic rate,[[basal metabolic rate]]
BMT,bone marrow transplantation,[[bone marrow transplantation]]
BNO,bowel not open,bowel not open
BNP,brain natriuretic peptide,[[brain natriuretic peptide]]
BO,bowel open,bowel open
B/O,because of,because of
BOA,born out of asepsis,born out of [[asepsis]]
BOI,"born on island (i.e., a local patient)","born on island (i.e., a local patient)"
BOM,bilateral otitis media,bilateral [[otitis media]]
BOOP,bronchiolitis obliterans organizing pneumonia,[[bronchiolitis obliterans organizing pneumonia]]
BP,blood pressure,[[blood pressure]] 
BP,bipolar disorder, [[bipolar disorder]] 
BP,British Pharmacopoeia, [[British Pharmacopoeia]]
BPAD,bipolar affective disorder,[[Bipolar disorder|bipolar affective disorder]]
BPCA,best pharmaceuticals for children act,best pharmaceuticals for children act
BPD,biparietal diameter,[[Ultrasonography#Scotland|biparietal diameter]] 
BPD,borderline personality disorder,[[borderline personality disorder]] 
BPD,bronchopulmonary dysplasia, bronchopulmonary dysplasia
BPH,benign prostatic hyperplasia aka benign prostatic hypertrophy,[[benign prostatic hyperplasia]] aka benign prostatic hypertrophy
BPM,beats per minute,[[beats per minute]]
BPP,biophysical profile,biophysical profile
BPPV,benign paroxysmal positional vertigo,[[benign paroxysmal positional vertigo]]
BR,bedrest,[[bedrest]] 
BR,bathroom, [[bathroom]]
BRA,bilateral renal agenesis,bilateral [[renal agenesis]]
BRAT,"The BRAT diet: bananas, rice, applesauce, toast","The [[BRAT diet]]: bananas, rice, applesauce, toast (helps digestion in some GI disorders)"
BRATY,"another version of the BRAT diet: bananas, rice, applesauce, toast, yogurt","another version of the [[BRAT diet]]: bananas, rice, applesauce, toast, yogurt (helps digestion in some GI disorders)"
BRB,bright red blood,"bright red blood (color is important as an indicator of source, for example in [[gastrointestinal bleeding]])"
BRBPR,bright red blood per rectum,[[Hematochezia|bright red blood per rectum]]
BRCA1 (gene),breast cancer 1,[[BRCA1|breast cancer 1]] (a human gene and its protein)
BRCA1 (protein),breast cancer 1,[[BRCA1|breast cancer 1]] (a human gene and its protein)
BRCA2 (gene),breast cancer 2,[[BRCA2|breast cancer 2]] (a human gene and its protein)
BRCA2 (protein),breast cancer 2,[[BRCA2|breast cancer 2]] (a human gene and its protein)
BRP,bathroom privileges,[[bathroom privileges]]
BRTO,Balloon-Occluded Retrograde Transvenous Obliteration,Balloon-Occluded Retrograde Transvenous Obliteration
BRVO,Branch retinal vein occlusion,Branch retinal vein occlusion
BS,breath,breath 
BS,breath sound, breath sound 
