GroupID|RecordID|SF|SFUI|NormSF|LF|LFUI|NormLF|Source|SFEUI|LFEUI|Type|PrefSF|Score|Count|Frequency|UMLS.CUI
|R017265|CCA|S012598|cca|choriocarcinoma|L057187|choriocarcinoma|UMLS|E0202159|E0016765|abbreviation|||||
|R017266|CCA|S012598|cca|chorio carcinoma|L057176|choriocarcinoma|UMLS|E0202159|E0016765|abbreviation|||||
|R017267|CCA|S012598|cca|chorio-carcinoma|L057180|choriocarcinoma|UMLS|E0202159|E0016765|abbreviation|||||
|R018010|GA|S026957|ga|glucoamylase|L082034|glucoamylase|UMLS|E0202412|E0301642|abbreviation|||||
|R019849|PSP|S056836|psp|postsynaptic potential|L132529|postsynaptic potential|UMLS|E0202961|E0210124|acronym|||||
|R020018|RD|S059977|rd|registered dietician|L140359|registered dietician|UMLS|E0202980|E0210157|acronym|||||
|R020019|RD|S059977|rd|registered dietitian|L140360|registered dietician|UMLS|E0202980|E0210157|acronym|||||
|R020044|REP|S060139|rep|relative potency|L140624|relative potency|UMLS|E0202983|E0688599|abbreviation|||||
|R020053|RN|S060604|rn|Registered Nurse|L028738|Registered Nurse|UMLS|E0202985|E0314675|acronym|||||
|R020054|RN|S060604|rn|registered nurse|L140364|Registered Nurse|UMLS|E0202985|E0314675|acronym|||||
|R020091|RVH|S061364|rvh|right ventricular hypertrophy|L142896|right ventricular hypertrophy|UMLS|E0202991|E0210189|acronym|||||
|R020262|SD|S063842|sd|standard deviation|L150741|standard deviation|UMLS|E0203010|E0210278|acronym|||||
|R020263|SD|S063842|sd|standard-deviation|L150833|standard deviation|UMLS|E0203010|E0210278|acronym|||||
|R020310|SD|S063842|sd|Sprague-Dawley|L031594|Sprague Dawley|UMLS|E0203011|E0671005|acronym|||||
|R020527|SL|S064712|sl|spin-lock|L149904|spinlock|UMLS|E0203025||acronym|||||
|R020530|SL|S064712|sl|surface Laplacian|L153539|surface Laplacian|UMLS|E0203025||acronym|||||
|R020582|SMC|S064930|smc|somatomedin C|L149231|somatomedin C|UMLS|E0203031|E0056703|acronym|||||
|R020583|SMC|S064930|smc|somatomedine C|L149237|somatomedin C|UMLS|E0203031|E0056703|acronym|||||
|R020584|SMC|S064930|smc|somatomedin-C|L149234|somatomedin C|UMLS|E0203031|E0056703|acronym|||||
|R020585|SMC|S064930|smc|somatomedine-C|L149238|somatomedin C|UMLS|E0203031|E0056703|acronym|||||
|R020629|SPH|S065516|sph|sphingosine|L149816|sphingosine|UMLS|E0203035|E0057109|abbreviation|||||
|R020630|SPH|S065516|sph|sphingomyelin|L149808|sphingomyelin|UMLS|E0203035|E0068236|abbreviation|||||
|R020631|SPH|S065516|sph|sphyngomyelin|L149839|sphingomyelin|UMLS|E0203035|E0068236|abbreviation|||||
|R020661|SQ|S065665|sq|squalene|L150487|squalene|UMLS|E0203040|E0220622|abbreviation|||||
|R020837|TED|S069714|ted|thromboembolic disease|L156789|thromboembolic disease|UMLS|E0203057|E0210311|acronym|||||
|R021058|VR|S075482|vr|ventral root|L166195|ventral root|UMLS|E0203079|E0314758|acronym|||||
|R021080|Y|S077049|y|yield|L169373|yield|UMLS|E0203083|E0065872|abbreviation|||||
|R021081|Y|S077049|y|yield coefficient|L169374|yield coefficient|UMLS|E0203083|E0722072|abbreviation|||||
|R021082|Y|S077049|y|yeast|L169281|yeast|UMLS|E0203083|E0065842|abbreviation|||||
|R021083|Y|S077049|y|year|L169257|year|UMLS|E0203083|E0065837|abbreviation|||||
|R021123|BI|S009181|bi|Billroth I|L007065|Billroth I|UMLS|E0203094|E0209759|acronym|||||
|R021124|BI|S009181|bi|Bilroth-I|L007073||UMLS|E0203094|E0209759|acronym|||||
|R021358|PPD|S056271|ppd|purified protein derivative|L136786||UMLS|E0203140|E0051234|acronym|||||
|R021465|VD|S074829|vd|venereal disease|L165996|venereal disease|UMLS|E0203159|E0064229|acronym|||||
|R021492|VD|S074829|vd|volume of dead space|L167794||UMLS|E0203163||acronym|||||
|R021493|VD|S074829|vd|deadspace volume|L064810|deadspace volume|UMLS|E0203163|E0720170|acronym|||||
|R021494|VD|S074829|vd|dead space volume|L064801|deadspace volume|UMLS|E0203163|E0720170|acronym|||||
|R021495|VD|S074829|vd|dead-space volume|L064807|deadspace volume|UMLS|E0203163|E0720170|acronym|||||
|R021496|VD|S074829|vd|diastolic velocity|L066673|diastolic velocity|UMLS|E0203163|E0720163|acronym|||||
|R021497|VD|S074829|vd|volume of distribution|L167795||UMLS|E0203163||acronym|||||
|R021498|VD|S074829|vd|distribution volume|L068833|distribution volume|UMLS|E0203163|E0720158|acronym|||||
|R021562|W|S075922|w|west|L168424|West|UMLS|E0203175|E0220635|abbreviation|||||
|R021570|CEL|S013350|cel|Celsius|L008969|Celsius|UMLS|E0203179|E0207291|abbreviation|||||
|R021571|Cel|S016571|cel|Celsius|L008969|Celsius|UMLS|E0203179|E0207291|abbreviation|||||
|R021572|Cels|S016581|cels|Celsius|L008969|Celsius|UMLS|E0203179|E0207291|abbreviation|||||
|R021573|Cel.|S016573|cel|Celsius|L008969|Celsius|UMLS|E0203179|E0207291|abbreviation|||||
|R021685|DP|S019702|dp|directione propria|L068409||UMLS|E0203287||acronym|||||
|R021724|EM|S022276|em|electronmicroscopy|L071454|electronmicroscopy|UMLS|E0203297|E0024753|acronym|||||
|R021725|EM|S022276|em|electron microscopy|L071279|electronmicroscopy|UMLS|E0203297|E0024753|acronym|||||
|R021726|EM|S022276|em|electron-microscopy|L071370|electronmicroscopy|UMLS|E0203297|E0024753|acronym|||||
|R021732|EM|S022276|em|electronmicroscope|L071453|electronmicroscope|UMLS|E0203297|E0209843|acronym|||||
|R021733|EM|S022276|em|electron microscope|L071272|electronmicroscope|UMLS|E0203297|E0209843|acronym|||||
|R021734|EM|S022276|em|electron-microscope|L071368|electronmicroscope|UMLS|E0203297|E0209843|acronym|||||
|R021753|EM|S022276|em|emission|L071820|emission|UMLS|E0203297|E0024959|abbreviation|||||
|R021870|Fe|S025982|fe|female|L076867|female|UMLS|E0203342|E0027552|abbreviation|||||
|R021871|fe|S086438|fe|female|L076867|female|UMLS|E0203342|E0027552|abbreviation|||||
|R021872|fe.|S086440|fe|female|L076867|female|UMLS|E0203342|E0027552|abbreviation|||||
|R021907|inv.|S089650|inv|invalid|L098598|invalid|UMLS|E0203350|E0035671|abbreviation|||||
|R021908|inv.|S089650|inv|inverse|L098675|inverse|UMLS|E0203350|E0035697|abbreviation|||||
|R022106|SLP|S064825|slp|synaptotagmin-like protein|L154125||UMLS|E0203461|E0714046|acronym|||||
|R022107|SLP|S064825|slp|sex-limited protein|L145936||UMLS|E0203461|E0315097|acronym|||||
|R022112|Vd|S075698|vd|void|L167610|void|UMLS|E0203516|E0064846|abbreviation|||||
|R022113|vd.|S103041|vd|void|L167610|void|UMLS|E0203516|E0064846|abbreviation|||||
|R022563|WA|S075989|wa|White American|L036205|White American|UMLS|E0207861|E0747093|acronym|||||
|R022564|WA|S075989|wa|white American|L168531|White American|UMLS|E0207861|E0747093|acronym|||||
|R022816|LO|S040964|lo|low|L104667|low|UMLS|E0208345|E0038105|abbreviation|||||
|R022817|lo|S090638|lo|low|L104667|low|UMLS|E0208345|E0038105|abbreviation|||||
|R022818|lo.|S090641|lo|low|L104667|low|UMLS|E0208345|E0038105|abbreviation|||||
|R022819|LO|S040964|lo|low|L104667|low|UMLS|E0208346|E0038107|abbreviation|||||
|R022820|lo|S090638|lo|low|L104667|low|UMLS|E0208346|E0038107|abbreviation|||||
|R022821|lo.|S090641|lo|low|L104667|low|UMLS|E0208346|E0038107|abbreviation|||||
|R022917|MI|S044371|mi|myocardial infarction|L114883|myocardial infarction|UMLS|E0208360|E0041655|acronym|||||
|R023080|OG|S051095|og|orange green|L122079||UMLS|E0208403||acronym|||||
|R023185|PAC|S053212|pac|Portacath|L027267|Portacath|UMLS|E0208411|E0557620|abbreviation|||||
|R023186|PAC|S053212|pac|Port-A-Cath|L027265||UMLS|E0208411|E0557620|abbreviation|||||
|R023187|PAC|S053212|pac|Port-a-Cath|L027266||UMLS|E0208411|E0557620|abbreviation|||||
|R023205|Pur|S058647|pur|purple|L136843|purple|UMLS|E0208455|E0051252|abbreviation|||||
|R023681|AMP|S004902|amp|amputation|L042298|amputation|UMLS|E0210582|E0008687|abbreviation|||||
|R023682|AMP|S004902|amp|ampul|L042294|ampul|UMLS|E0210582|E0008679|abbreviation|||||
|R023683|AMP|S004902|amp|ampule|L042295|ampul|UMLS|E0210582|E0008679|abbreviation|||||
|R023684|AMP|S004902|amp|ampoule|L042292|ampul|UMLS|E0210582|E0008679|abbreviation|||||
|R024001|STS|S066298|sts|serologic test for syphilis|L145274||UMLS|E0215984||acronym|||||
|R024226|C|S010788|c|Caucasian|L008906|Caucasian|UMLS|E0220592|E0001463|abbreviation|||||
|R024227|C|S010788|c|caucasian|L054996|Caucasian|UMLS|E0220592|E0001463|abbreviation|||||
|R024457|R|S059077|r|right|L142711|right|UMLS|E0220612|E0053604|abbreviation|||||
|R024712|postMI|S096478|postmi|postmyocardial infarction|L132397|postmyocardial infarction|UMLS|E0226300|E0226301|acronym|||||
|R024713|postMI|S096478|postmi|post-myocardial infarction|L131909||UMLS|E0226300|E0226301|acronym|||||
|R024714|post-MI|S096443|post_mi|postmyocardial infarction|L132397|postmyocardial infarction|UMLS|E0226300|E0226301|acronym|||||
|R024715|post-MI|S096443|post_mi|post-myocardial infarction|L131909||UMLS|E0226300|E0226301|acronym|||||
|R027834|PRB|S056452|prb|Prosthetics Research Board|L027628|Prosthetics Research Board|UMLS|E0319620|E0319621|abbreviation|||||
|R027876|SPL|S065563|spl|splanchnic|L150109|splanchnic|UMLS|E0319678|E0057265|abbreviation|||||
|R028844|AHR|S004360|ahr|aromatic hydrocarbon receptor|L046346|aromatic hydrocarbon receptor|UMLS|E0321362|E0755490|acronym|||||
|R028845|AHR|S004360|ahr|arylhydrocarbon receptor|L046703|arylhydrocarbon receptor|UMLS|E0321362|E0321361|acronym|||||
|R028846|AHR|S004360|ahr|aryl hydrocarbon receptor|L046671|arylhydrocarbon receptor|UMLS|E0321362|E0321361|acronym|||||
|R028847|AHR|S004360|ahr|aryl-hydrocarbon receptor|L046690|arylhydrocarbon receptor|UMLS|E0321362|E0321361|acronym|||||
|R029048|RVLM|S061371|rvlm|rostro-ventrolateral medulla|L143263||UMLS|E0321548|E0637506|acronym|||||
|R029053|rVLM|S098087|rvlm|rostro-ventrolateral medulla|L143263||UMLS|E0321548|E0637506|acronym|||||
|R029127|TFR|S069895|tfr|transferrin receptor|L159547|transferrin receptor|UMLS|E0321602|E0580977|abbreviation|||||
|R029833|CNM|S014502|cnm|certified nurse-midwife|L055987||UMLS|E0345765|E0016072|acronym|||||
|R031115|CHIT|S013733|chit|chitosan|L056691|chitosan|UMLS|E0362067|E0016490|abbreviation|||||
|R031116|CHIT|S013733|chit|chitinase|L056683|chitinase|UMLS|E0362067|E0016488|abbreviation|||||
|R032363|stat|S100822|stat|statim|L151022||UMLS|E0408990||abbreviation|||||
|R034408|md|S091790|md|median|L108452|median|UMLS|E0418002|E0039234|abbreviation|||||
|R034447|MD|S043745|md|Medical Doctor|L021560|Medical Doctor|UMLS|E0418004|E0004083|acronym|||||
|R034462|MD|S043745|md|manic depressive|L107169|manic depressive|UMLS|E0418005|E0201607|acronym|||||
|R034463|MD|S043745|md|manic-depressive|L107174|manic depressive|UMLS|E0418005|E0201607|acronym|||||
|R034674|EPI|S022571|epi|Expanded Programme of Immunization|L013730||UMLS|E0418118|E0750783|acronym|||||
|R034933|PX|S057353|px|peroxidase|L126734|peroxidase|UMLS|E0418210|E0046889|abbreviation|||||
|R034937|PX|S057353|px|piroxicam|L129035|piroxicam|UMLS|E0418210|E0048061|abbreviation|||||
|R034938|PX|S057353|px|pyroxicam|L137044|piroxicam|UMLS|E0418210|E0048061|abbreviation|||||
|R034939|PX|S057353|px|pancreatectomy|L123898|pancreatectomy|UMLS|E0418210|E0045203|abbreviation|||||
|R034940|PX|S057353|px|pinealectomy|L128989|pinealectomy|UMLS|E0418210|E0067954|abbreviation|||||
|R035225|PCC|S053789|pcc|premature chromosome condensation|L133369|premature chromosome condensation|UMLS|E0418377|E0418376|acronym|||||
|R035453|RG|S060233|rg|radius of gyration|L137989||UMLS|E0418509||acronym|||||
|R035667|NR|S049268|nr|neutral red|L117110|neutral red|UMLS|E0418568|E0515362|acronym|||||
|R035781|SSB|S065899|ssb|single strand break|L147141|single strand break|UMLS|E0418614|E0418615|acronym|||||
|R035782|SSB|S065899|ssb|single-strand break|L147298|single strand break|UMLS|E0418614|E0418615|acronym|||||
|R036785|HK|S031557|hk|hand to knee|L085052||UMLS|E0419475|E0419482|acronym|||||
|R036786|HK|S031557|hk|hand-to-knee|L085071||UMLS|E0419475|E0419482|acronym|||||
|R036787|HK|S031557|hk|heel to knee|L085737||UMLS|E0419475|E0419480|acronym|||||
|R036788|HK|S031557|hk|heel-to-knee|L085741||UMLS|E0419475|E0419480|acronym|||||
|R037234|LBW|S039993|lbw|low birthweight|L104695|low birthweight|UMLS|E0419833|E0419835|acronym|||||
|R037235|LBW|S039993|lbw|low birth weight|L104690|low birthweight|UMLS|E0419833|E0419835|acronym|||||
|R037237|LBW|S039993|lbw|low birth-weight|L104693|low birthweight|UMLS|E0419833|E0419835|acronym|||||
|R037332|NED|S048011|ned|no evidence of disease|L117852||UMLS|E0419913||acronym|||||
|R037654|SPT|S065626|spt|station pull-through|L151026||UMLS|E0420138|E0420134|acronym|||||
|R038174|aft|S078306|aft|afternoon|L040331|afternoon|UMLS|E0420580|E0007718|abbreviation|||||
|R039001|dd|S084670|dd|de die|L064758||UMLS|E0425529||acronym|||||
|R039451|dw|S085387|dw|dry weight|L069885|dry weight|UMLS|E0427055||abbreviation|||||
|R039452|dw|S085387|dw|dwarf|L070102|dwarf|UMLS|E0427055|E0515490|abbreviation|||||
|R039701|Sac. erythraea|S066602|sac erythraea|Saccharopolyspora erythraea|L029877|Saccharopolyspora erythraea|UMLS|E0427433|E0427431|abbreviation|||||
|R039813|Fz|S026388|fz|frontal midline|L079743|frontal midline|UMLS|E0428297||abbreviation|||||
|R040218|Hy|S034098|hy|hypothenar|L092248|hypothenar|UMLS|E0429001|E0033108|abbreviation|||||
|R040947|IV|S037123|iv|intravenous|L098442|intravenous|UMLS|E0431922|E0035589|acronym|||||
|R040948|IV|S037123|iv|intra venous|L097531|intravenous|UMLS|E0431922|E0035589|acronym|||||
|R040949|IV|S037123|iv|intra-venous|L097840|intravenous|UMLS|E0431922|E0035589|acronym|||||
|R040950|IV|S037123|iv|invitro|L098722|invitro|UMLS|E0431923|E0035775|acronym|||||
|R040951|IV|S037123|iv|in vitro|L093696||UMLS|E0431923|E0035775|acronym|||||
|R040952|IV|S037123|iv|invivo|L098723|invivo|UMLS|E0431923|E0035785|acronym|||||
|R040953|IV|S037123|iv|in vivo|L093734||UMLS|E0431923|E0035785|acronym|||||
|R040954|IV|S037123|iv|in-vivo|L093809||UMLS|E0431923|E0035785|acronym|||||
|R041845|ITE|S037043|ite|in-the-ear|L093774|EAR|UMLS|E0435502||acronym|||||
|R041846|ITE|S037043|ite|in the ear|L093694|EAR|UMLS|E0435502||acronym|||||
|R041994|mult|S092688|mult|multiple|L113876|multiple|UMLS|E0436035|E0041326|abbreviation|||||
|R042343|p.r.n.|S094573|prn|pro re nata|L134157|pro re nata|UMLS|E0436722|E0436721|acronym|||||
|R042344|PRN|S056578|prn|pro re nata|L134157|pro re nata|UMLS|E0436723|E0050689|acronym|||||
|R042345|prn|S096885|prn|pro re nata|L134157|pro re nata|UMLS|E0436723|E0050689|acronym|||||
|R042427|RCM|S059941|rcm|Royal College of Midwives|L029389||UMLS|E0436897|E0005197|acronym|||||
|R042465|RMA|S060535|rma|right mentoanterior|L142813|right mentoanterior|UMLS|E0437027|E0437026|acronym|||||
|R042475|RMT|S060596|rmt|right mentotransverse|L142815|right mentotransverse|UMLS|E0437038|E0437032|acronym|||||
|R042505|Sa|S066582|sa|saline|L143572|saline|UMLS|E0437112|E0054183|abbreviation|||||
|R042803|ST|S066048|st|subtotal|L152546|subtotal|UMLS|E0437705|E0058732|acronym|||||
|R043038|AC|S003443|ac|adrenocorticoid|L039921|adrenocorticoid|UMLS|E0438409|E0007498|acronym|||||
|R043056|AC|S003443|ac|anticoagulant|L044796|anticoagulant|UMLS|E0438409|E0009459|acronym|||||
|R043057|AC|S003443|ac|anti-coagulant|L043744||UMLS|E0438409|E0009459|acronym|||||
|R043058|AC|S003443|ac|anticomplement|L044810|anticomplement|UMLS|E0438409|E0009798|acronym|||||
|R043059|AC|S003443|ac|anti-complement|L043751||UMLS|E0438409|E0009798|acronym|||||
|R043338|liq|S090579|liq|liquid|L103681|liquid|UMLS|E0439510|E0037762|abbreviation|||||
|R043339|liq.|S090580|liq|liquid|L103681|liquid|UMLS|E0439510|E0037762|abbreviation|||||
|R043668|PV|S057214|pv|Plasmodium vivax|L026991|Plasmodium vivax|UMLS|E0440746|E0440727|acronym|||||
|R043678|PV|S057214|pv|phosvitin|L128512|phosvitin|UMLS|E0440746|E0047525|abbreviation|||||
|R043690|PV|S057214|pv|postvasectomy|L132592|postvasectomy|UMLS|E0440753|E0440748|acronym|||||
|R043691|PV|S057214|pv|post-vasectomy|L132045||UMLS|E0440753|E0440748|acronym|||||
|R043692|PV|S057214|pv|postvoiding|L132599|postvoiding|UMLS|E0440753|E0440749|acronym|||||
|R043693|PV|S057214|pv|post-voiding|L132052||UMLS|E0440753|E0440749|acronym|||||
|R043694|PV|S057214|pv|postvaccination|L132589|postvaccination|UMLS|E0440753|E0417656|acronym|||||
|R043695|PV|S057214|pv|post-vaccination|L132042||UMLS|E0440753|E0417656|acronym|||||
|R044123|BG|S009074|bg|brilliant green|L052156|brilliant green|UMLS|E0442493|E0515357|acronym|||||
|R045221|ssp.|S100756|ssp|subspecies|L152460|subspecies|UMLS|E0446675|E0058680|abbreviation|||||
|R045222|ssp.|S100756|ssp|sub-species|L152154||UMLS|E0446675|E0058680|abbreviation|||||
|R046425|H. mediterranei|S029817|h mediterranei|Haloferax mediterranei|L016410|Haloferax mediterranei|UMLS|E0452596|E0336883|abbreviation|||||
|R046763|ELB|S022199|elb|elbow|L070893|elbow|UMLS|E0456117|E0024661|abbreviation|||||
|R047457|MFP|S044171|mfp|mifepristone|L111230|mifepristone|UMLS|E0459779|E0401203|abbreviation|||||
|R048537|LIS|S040726|lis|locked-in syndrome|L104197||UMLS|E0475456|E0212655|acronym|||||
|R049222|NIC|S048464|nic|nicotine|L117468|nicotine|UMLS|E0482025|E0042616|abbreviation|||||
|R049223|NIC|S048464|nic|nicardipine|L117295|nicardipine|UMLS|E0482025|E0401383|abbreviation|||||
|R049224|NIC|S048464|nic|nicotinamide|L117369|nicotinamide|UMLS|E0482025|E0042613|abbreviation|||||
|R049225|NIC|S048464|nic|nicorandil|L117364|nicorandil|UMLS|E0482025|E0042611|abbreviation|||||
|R049226|NIC|S048464|nic|nicotinic acid|L117484|nicotinic acid|UMLS|E0482025|E0042618|abbreviation|||||
|R049399|PLG|S055667|plg|plasminogen|L129500|plasminogen|UMLS|E0482683|E0048224|abbreviation|||||
|R049451|Psy|S058536|psy|phytoene synthase|L128838|phytoene synthase|UMLS|E0482938|E0482937|acronym|||||
|R049942|PAS|S053476|pas|Periodic Acid Schiff|L026387|Periodic Acid Schiff|UMLS|E0484801|E0220659|acronym|||||
|R049943|PAS|S053476|pas|periodic acid Schiff|L126309|Periodic Acid Schiff|UMLS|E0484801|E0220659|acronym|||||
|R049944|PAS|S053476|pas|periodic acid-Schiff|L126320|Periodic Acid Schiff|UMLS|E0484801|E0220659|acronym|||||
|R050147|NMIA|S048827|nmia|nude mouse isotope assay|L120379|nude mouse isotope assay|UMLS|E0500071|E0500070|acronym|||||
|R050148|NMIA|S048827|nmia|nude mouse-isotope assay|L120380|nude mouse isotope assay|UMLS|E0500071|E0500070|acronym|||||
|R050324|CSA|S015307|csa|cyclosporin A|L063680|cyclosporin A|UMLS|E0500204|E0020356|acronym|||||
|R050325|CSA|S015307|csa|cyclosporine A|L063687|cyclosporin A|UMLS|E0500204|E0020356|acronym|||||
|R050326|CSA|S015307|csa|cyclosporin-A|L063685|cyclosporin A|UMLS|E0500204|E0020356|acronym|||||
|R050327|CSA|S015307|csa|cyclosporine-A|L063691|cyclosporin A|UMLS|E0500204|E0020356|acronym|||||
|R050559|DNBP|S019513|dnbp|di-n-butyl phthalate|L066320||UMLS|E0500556||acronym|||||
|R050661|HIPAA|S031338|hipaa|Health Insurance Portability and Accountability Act|L016593||UMLS|E0500573|E0447732|acronym|||||
|R050741|GCM|S027371|gcm|glial cells missing|L081830||UMLS|E0500682||acronym|||||
|R050893|FTIR|S025546|ftir|Fourier transform infrared spectroscopy|L014636|Fourier transform infrared spectroscopy|UMLS|E0500731|E0500729|acronym|||||
|R051524|ADCA|S003926|adca|adenocarcinoma|L039334|adenocarcinoma|UMLS|E0503233|E0007287|abbreviation|||||
|R051525|ADCA|S003926|adca|adeno carcinoma|L039312|adenocarcinoma|UMLS|E0503233|E0007287|abbreviation|||||
|R051526|ADCA|S003926|adca|adeno-carcinoma|L039326|adenocarcinoma|UMLS|E0503233|E0007287|abbreviation|||||
|R052053|EPSDT|S022624|epsdt|early and periodic screening diagnosis and treatment|L070341||UMLS|E0504605||acronym|||||
|R052186|VAD|S074683|vad|vascular dementia|L165670|vascular dementia|UMLS|E0504745|E0064070|abbreviation|||||
|R052458|NAR|S047599|nar|nitrate reductase|L117564|nitrate reductase|UMLS|E0505259|E0201839|abbreviation|||||
|R053847|MPG|S045151|mpg|methyl green pyronine|L110059|methyl green pyronin|UMLS|E0507682|E0507681|acronym|||||
|R053849|MPG|S045151|mpg|methyl-green pyronine|L110206|methyl green pyronin|UMLS|E0507682|E0507681|acronym|||||
|R056066|CA|S011995|ca|Caucasian American|L008907|Caucasian American|UMLS|E0515272|E0750420|acronym|||||
|R056067|CA|S011995|ca|Caucasian-American|L008912|Caucasian American|UMLS|E0515272|E0750420|acronym|||||
|R056081|CC|S012564|cc|convexoconcave|L061507|convexoconcave|UMLS|E0515359|E0444562|acronym|||||
|R056082|CC|S012564|cc|convexo-concave|L061506||UMLS|E0515359|E0444562|acronym|||||
|R056090|DEAE|S018634|deae|diethylaminoethyl|L067010|diethylaminoethyl|UMLS|E0515365|E0314788|acronym|||||
|R056235|NA|S047310|na|Native American|L024326|Native American|UMLS|E0515761|E0228795|acronym|||||
