GroupID|EntryID|SF|SFUI|NormSF|NSFUI|PrefSF|LF|LFUI|NormLF|PrefLF|Source|SFEUI|LFEUI|Type|Score|Count|Frequency|UMLS.CUI
|E003496|DAG|S018151|dag|N018735||diacyl-glycerol|L066427|diacylglycerol||UMLS|E0001823|E0022270|abbreviation||||
|E003794|DM|S019252|dm|N020123||dermatomyositis|L065967|dermatomyositis||UMLS|E0001870|E0021943|abbreviation||||
|E003795|DM|S019252|dm|N020123||dermato-myositis|L065955|||UMLS|E0001870|E0021943|abbreviation||||
|E005010|FMLP|S025057|fmlp|N025775||formyl methionyl leucyl phenylalanine|L079150|formylmethionylleucylphenylalanine||UMLS|E0002468||acronym||||
|E005022|fMLP|S086276|fmlp|N025775||formyl methionyl leucyl phenylalanine|L079150|formylmethionylleucylphenylalanine||UMLS|E0002468||acronym||||
|E005941|HPB-ALL|S032190|hpb_all|N032831||human peripheral blood-acute lymphocytic leukemia|L090781|||UMLS|E0002920||acronym||||
|E005942|HPB-ALL|S032190|hpb_all|N032831||human peripheral blood-acute lymphoblastic leukemia|L090780|||UMLS|E0002920||acronym||||
|E009449|OP|S051388|op|N050571||ophthalmology|L121742|ophthalmology||UMLS|E0004580|E0043955|abbreviation||||
|E009450|OP|S051388|op|N050571||operation|L121713|operation||UMLS|E0004580|E0043918|abbreviation||||
|E009724|PC|S053723|pc|N053077||capillary pressure|L053651|capillary pressure||UMLS|E0004647|E0015020|abbreviation||||
|E012250|Sm|S067116|sm|N064873||samarium|L143671|samarium||UMLS|E0005430|E0054265|abbreviation||||
|E013499|TAT|S069082|tat|N068360||toxin-antitoxin|L158812|||UMLS|E0005828|E0061565|acronym||||
|E014134|ad lib|S078206|ad lib|N003693||ad libitum|L039200|ad libitum||UMLS|E0007597|E0581327|abbreviation||||
|E014135|ad-lib|S078210|ad_lib|N003741||ad libitum|L039200|ad libitum||UMLS|E0007597|E0581327|abbreviation||||
|E014715|CAMP|S012203|camp|N013499||cyclic adenosinemonophosphate|L063318|cyclic adenosinemonophosphate||UMLS|E0014561|E0200860|acronym||||
|E014716|CAMP|S012203|camp|N013499||cyclic adenosine monophosphate|L063294|cyclic adenosinemonophosphate||UMLS|E0014561|E0200860|acronym||||
|E014717|CAMP|S012203|camp|N013499||cyclic adenosine-monophosphate|L063317|cyclic adenosinemonophosphate||UMLS|E0014561|E0200860|acronym||||
|E015643|ANF|S005024|anf|N005550||anti-nuclear factor|L044334|||UMLS|E0070861|E0724229|acronym||||
|E015694|ASP|S005970|asp|N008315||aspartic acid|L046837|aspartic acid||UMLS|E0070864|E0010757|abbreviation||||
|E015695|ASP|S005970|asp|N008315||aspartate|L046812|aspartate||UMLS|E0070864|E0010743|abbreviation||||
|E015696|ASP|S005970|asp|N008315||aspirin|L046874|aspirin||UMLS|E0070864|E0010810|abbreviation||||
|E017176|CB|S012398|cb|N013825||carbenicillin|L053745|carbenicillin||UMLS|E0202149|E0015126|abbreviation||||
|E017205|CBC|S012462|cbc|N013882||complete blood count|L060061|complete blood count||UMLS|E0202154|E0018162|acronym||||
|E017206|CBC|S012462|cbc|N013882||complete blood cell count|L060060|complete blood cell count||UMLS|E0202154|E0756115|acronym||||
|E017207|CBC|S012462|cbc|N013882||complete blood-cell count|L060064|complete blood cell count||UMLS|E0202154|E0756115|acronym||||
|E017265|CCA|S012598|cca|N014021||choriocarcinoma|L057187|choriocarcinoma||UMLS|E0202159|E0016765|abbreviation||||
|E017266|CCA|S012598|cca|N014021||chorio carcinoma|L057176|choriocarcinoma||UMLS|E0202159|E0016765|abbreviation||||
|E017267|CCA|S012598|cca|N014021||chorio-carcinoma|L057180|choriocarcinoma||UMLS|E0202159|E0016765|abbreviation||||
|E018010|GA|S026957|ga|N027131||glucoamylase|L082034|glucoamylase||UMLS|E0202412|E0301642|abbreviation||||
|E019849|PSP|S056836|psp|N057392||postsynaptic potential|L132529|postsynaptic potential||UMLS|E0202961|E0210124|acronym||||
|E020018|RD|S059977|rd|N059460||registered dietician|L140359|registered dietician||UMLS|E0202980|E0210157|acronym||||
|E020019|RD|S059977|rd|N059460||registered dietitian|L140360|registered dietician||UMLS|E0202980|E0210157|acronym||||
|E020044|REP|S060139|rep|N059718||relative potency|L140624|relative potency||UMLS|E0202983|E0688599|abbreviation||||
|E020053|RN|S060604|rn|N060819||Registered Nurse|L028738|Registered Nurse||UMLS|E0202985|E0314675|acronym||||
|E020054|RN|S060604|rn|N060819||registered nurse|L140364|Registered Nurse||UMLS|E0202985|E0314675|acronym||||
|E020091|RVH|S061364|rvh|N061662||right ventricular hypertrophy|L142896|right ventricular hypertrophy||UMLS|E0202991|E0210189|acronym||||
|E020262|SD|S063842|sd|N063552||standard deviation|L150741|standard deviation||UMLS|E0203010|E0210278|acronym||||
|E020263|SD|S063842|sd|N063552||standard-deviation|L150833|standard deviation||UMLS|E0203010|E0210278|acronym||||
|E020310|SD|S063842|sd|N063552||Sprague-Dawley|L031594|Sprague Dawley||UMLS|E0203011|E0671005|acronym||||
|E020527|SL|S064712|sl|N064711||spin-lock|L149904|spinlock||UMLS|E0203025||acronym||||
|E020530|SL|S064712|sl|N064711||surface Laplacian|L153539|surface Laplacian||UMLS|E0203025||acronym||||
|E020582|SMC|S064930|smc|N064958||somatomedin C|L149231|somatomedin C||UMLS|E0203031|E0056703|acronym||||
|E020583|SMC|S064930|smc|N064958||somatomedine C|L149237|somatomedin C||UMLS|E0203031|E0056703|acronym||||
|E020584|SMC|S064930|smc|N064958||somatomedin-C|L149234|somatomedin C||UMLS|E0203031|E0056703|acronym||||
|E020585|SMC|S064930|smc|N064958||somatomedine-C|L149238|somatomedin C||UMLS|E0203031|E0056703|acronym||||
|E020629|SPH|S065516|sph|N065641||sphingosine|L149816|sphingosine||UMLS|E0203035|E0057109|abbreviation||||
|E020630|SPH|S065516|sph|N065641||sphingomyelin|L149808|sphingomyelin||UMLS|E0203035|E0068236|abbreviation||||
|E020631|SPH|S065516|sph|N065641||sphyngomyelin|L149839|sphingomyelin||UMLS|E0203035|E0068236|abbreviation||||
|E020661|SQ|S065665|sq|N065853||squalene|L150487|squalene||UMLS|E0203040|E0220622|abbreviation||||
|E020837|TED|S069714|ted|N069094||thromboembolic disease|L156789|thromboembolic disease||UMLS|E0203057|E0210311|acronym||||
|E021058|VR|S075482|vr|N074388||ventral root|L166195|ventral root||UMLS|E0203079|E0314758|acronym||||
|E021080|Y|S077049|y|N075581||yield|L169373|yield||UMLS|E0203083|E0065872|abbreviation||||
|E021081|Y|S077049|y|N075581||yield coefficient|L169374|yield coefficient||UMLS|E0203083|E0722072|abbreviation||||
|E021082|Y|S077049|y|N075581||yeast|L169281|yeast||UMLS|E0203083|E0065842|abbreviation||||
|E021083|Y|S077049|y|N075581||year|L169257|year||UMLS|E0203083|E0065837|abbreviation||||
|E021123|BI|S009181|bi|N010635||Billroth I|L007065|Billroth I||UMLS|E0203094|E0209759|acronym||||
|E021124|BI|S009181|bi|N010635||Bilroth-I|L007073|||UMLS|E0203094|E0209759|acronym||||
|E021358|PPD|S056271|ppd|N056315||purified protein derivative|L136786|||UMLS|E0203140|E0051234|acronym||||
|E021465|VD|S074829|vd|N073615||venereal disease|L165996|venereal disease||UMLS|E0203159|E0064229|acronym||||
|E021492|VD|S074829|vd|N073615||volume of dead space|L167794|||UMLS|E0203163||acronym||||
|E021493|VD|S074829|vd|N073615||deadspace volume|L064810|deadspace volume||UMLS|E0203163|E0720170|acronym||||
|E021494|VD|S074829|vd|N073615||dead space volume|L064801|deadspace volume||UMLS|E0203163|E0720170|acronym||||
|E021495|VD|S074829|vd|N073615||dead-space volume|L064807|deadspace volume||UMLS|E0203163|E0720170|acronym||||
|E021496|VD|S074829|vd|N073615||diastolic velocity|L066673|diastolic velocity||UMLS|E0203163|E0720163|acronym||||
|E021497|VD|S074829|vd|N073615||volume of distribution|L167795|||UMLS|E0203163||acronym||||
|E021498|VD|S074829|vd|N073615||distribution volume|L068833|distribution volume||UMLS|E0203163|E0720158|acronym||||
|E021562|W|S075922|w|N074564||west|L168424|West||UMLS|E0203175|E0220635|abbreviation||||
|E021570|CEL|S013350|cel|N014792||Celsius|L008969|Celsius||UMLS|E0203179|E0207291|abbreviation||||
|E021571|Cel|S016571|cel|N014792||Celsius|L008969|Celsius||UMLS|E0203179|E0207291|abbreviation||||
|E021572|Cels|S016581|cels|N014823||Celsius|L008969|Celsius||UMLS|E0203179|E0207291|abbreviation||||
|E021573|Cel.|S016573|cel|N014792||Celsius|L008969|Celsius||UMLS|E0203179|E0207291|abbreviation||||
|E021685|DP|S019702|dp|N020596||directione propria|L068409|||UMLS|E0203287||acronym||||
|E021724|EM|S022276|em|N022890||electronmicroscopy|L071454|electronmicroscopy||UMLS|E0203297|E0024753|acronym||||
|E021725|EM|S022276|em|N022890||electron microscopy|L071279|electronmicroscopy||UMLS|E0203297|E0024753|acronym||||
|E021726|EM|S022276|em|N022890||electron-microscopy|L071370|electronmicroscopy||UMLS|E0203297|E0024753|acronym||||
|E021732|EM|S022276|em|N022890||electronmicroscope|L071453|electronmicroscope||UMLS|E0203297|E0209843|acronym||||
|E021733|EM|S022276|em|N022890||electron microscope|L071272|electronmicroscope||UMLS|E0203297|E0209843|acronym||||
|E021734|EM|S022276|em|N022890||electron-microscope|L071368|electronmicroscope||UMLS|E0203297|E0209843|acronym||||
|E021753|EM|S022276|em|N022890||emission|L071820|emission||UMLS|E0203297|E0024959|abbreviation||||
|E021870|Fe|S025982|fe|N025107||female|L076867|female||UMLS|E0203342|E0027552|abbreviation||||
|E021871|fe|S086438|fe|N025107||female|L076867|female||UMLS|E0203342|E0027552|abbreviation||||
|E021872|fe.|S086440|fe|N025107||female|L076867|female||UMLS|E0203342|E0027552|abbreviation||||
|E021907|inv.|S089650|inv|N036699||invalid|L098598|invalid||UMLS|E0203350|E0035671|abbreviation||||
|E021908|inv.|S089650|inv|N036699||inverse|L098675|inverse||UMLS|E0203350|E0035697|abbreviation||||
|E022106|SLP|S064825|slp|N064828||synaptotagmin-like protein|L154125|||UMLS|E0203461|E0714046|acronym||||
|E022107|SLP|S064825|slp|N064828||sex-limited protein|L145936|||UMLS|E0203461|E0315097|acronym||||
|E022112|Vd|S075698|vd|N073615||void|L167610|void||UMLS|E0203516|E0064846|abbreviation||||
|E022113|vd.|S103041|vd|N073615||void|L167610|void||UMLS|E0203516|E0064846|abbreviation||||
|E022563|WA|S075989|wa|N074624||White American|L036205|White American||UMLS|E0207861|E0747093|acronym||||
|E022564|WA|S075989|wa|N074624||white American|L168531|White American||UMLS|E0207861|E0747093|acronym||||
|E022816|LO|S040964|lo|N040596||low|L104667|low||UMLS|E0208345|E0038105|abbreviation||||
|E022817|lo|S090638|lo|N040596||low|L104667|low||UMLS|E0208345|E0038105|abbreviation||||
|E022818|lo.|S090641|lo|N040596||low|L104667|low||UMLS|E0208345|E0038105|abbreviation||||
|E022819|LO|S040964|lo|N040596||low|L104667|low||UMLS|E0208346|E0038107|abbreviation||||
|E022820|lo|S090638|lo|N040596||low|L104667|low||UMLS|E0208346|E0038107|abbreviation||||
|E022821|lo.|S090641|lo|N040596||low|L104667|low||UMLS|E0208346|E0038107|abbreviation||||
|E022917|MI|S044371|mi|N044139||myocardial infarction|L114883|myocardial infarction||UMLS|E0208360|E0041655|acronym||||
|E023080|OG|S051095|og|N050219||orange green|L122079|||UMLS|E0208403||acronym||||
|E023185|PAC|S053212|pac|N052497||Portacath|L027267|Portacath||UMLS|E0208411|E0557620|abbreviation||||
|E023186|PAC|S053212|pac|N052497||Port-A-Cath|L027265|||UMLS|E0208411|E0557620|abbreviation||||
|E023187|PAC|S053212|pac|N052497||Port-a-Cath|L027266|||UMLS|E0208411|E0557620|abbreviation||||
|E023205|Pur|S058647|pur|N057834||purple|L136843|purple||UMLS|E0208455|E0051252|abbreviation||||
|E023681|AMP|S004902|amp|N005372||amputation|L042298|amputation||UMLS|E0210582|E0008687|abbreviation||||
|E023682|AMP|S004902|amp|N005372||ampul|L042294|ampul||UMLS|E0210582|E0008679|abbreviation||||
|E023683|AMP|S004902|amp|N005372||ampule|L042295|ampul||UMLS|E0210582|E0008679|abbreviation||||
|E023684|AMP|S004902|amp|N005372||ampoule|L042292|ampul||UMLS|E0210582|E0008679|abbreviation||||
|E024001|STS|S066298|sts|N066760||serologic test for syphilis|L145274|||UMLS|E0215984||acronym||||
|E024226|C|S010788|c|N011876||Caucasian|L008906|Caucasian||UMLS|E0220592|E0001463|abbreviation||||
|E024227|C|S010788|c|N011876||caucasian|L054996|Caucasian||UMLS|E0220592|E0001463|abbreviation||||
|E024457|R|S059077|r|N058426||right|L142711|right||UMLS|E0220612|E0053604|abbreviation||||
|E024712|postMI|S096478|postmi|N056163||postmyocardial infarction|L132397|postmyocardial infarction||UMLS|E0226300|E0226301|acronym||||
|E024713|postMI|S096478|postmi|N056163||post-myocardial infarction|L131909|||UMLS|E0226300|E0226301|acronym||||
|E024714|post-MI|S096443|post_mi|N056135||postmyocardial infarction|L132397|postmyocardial infarction||UMLS|E0226300|E0226301|acronym||||
|E024715|post-MI|S096443|post_mi|N056135||post-myocardial infarction|L131909|||UMLS|E0226300|E0226301|acronym||||
|E027834|PRB|S056452|prb|N056508||Prosthetics Research Board|L027628|Prosthetics Research Board||UMLS|E0319620|E0319621|abbreviation||||
|E027876|SPL|S065563|spl|N065704||splanchnic|L150109|splanchnic||UMLS|E0319678|E0057265|abbreviation||||
|E028844|AHR|S004360|ahr|N004478||aromatic hydrocarbon receptor|L046346|aromatic hydrocarbon receptor||UMLS|E0321362|E0755490|acronym||||
|E028845|AHR|S004360|ahr|N004478||arylhydrocarbon receptor|L046703|arylhydrocarbon receptor||UMLS|E0321362|E0321361|acronym||||
|E028846|AHR|S004360|ahr|N004478||aryl hydrocarbon receptor|L046671|arylhydrocarbon receptor||UMLS|E0321362|E0321361|acronym||||
|E028847|AHR|S004360|ahr|N004478||aryl-hydrocarbon receptor|L046690|arylhydrocarbon receptor||UMLS|E0321362|E0321361|acronym||||
|E029048|RVLM|S061371|rvlm|N061671||rostro-ventrolateral medulla|L143263|||UMLS|E0321548|E0637506|acronym||||
|E029053|rVLM|S098087|rvlm|N061671||rostro-ventrolateral medulla|L143263|||UMLS|E0321548|E0637506|acronym||||
|E029127|TFR|S069895|tfr|N069329||transferrin receptor|L159547|transferrin receptor||UMLS|E0321602|E0580977|abbreviation||||
|E029833|CNM|S014502|cnm|N016191||certified nurse-midwife|L055987|||UMLS|E0345765|E0016072|acronym||||
|E031115|CHIT|S013733|chit|N015291||chitosan|L056691|chitosan||UMLS|E0362067|E0016490|abbreviation||||
|E031116|CHIT|S013733|chit|N015291||chitinase|L056683|chitinase||UMLS|E0362067|E0016488|abbreviation||||
|E032363|stat|S100822|stat|N066433||statim|L151022|||UMLS|E0408990||abbreviation||||
|E034408|md|S091790|md|N043153||median|L108452|median||UMLS|E0418002|E0039234|abbreviation||||
|E034447|MD|S043745|md|N043153||Medical Doctor|L021560|Medical Doctor||UMLS|E0418004|E0004083|acronym||||
|E034462|MD|S043745|md|N043153||manic depressive|L107169|manic depressive||UMLS|E0418005|E0201607|acronym||||
|E034463|MD|S043745|md|N043153||manic-depressive|L107174|manic depressive||UMLS|E0418005|E0201607|acronym||||
|E034674|EPI|S022571|epi|N023272||Expanded Programme of Immunization|L013730|||UMLS|E0418118|E0750783|acronym||||
|E034933|PX|S057353|px|N058002||peroxidase|L126734|peroxidase||UMLS|E0418210|E0046889|abbreviation||||
|E034937|PX|S057353|px|N058002||piroxicam|L129035|piroxicam||UMLS|E0418210|E0048061|abbreviation||||
|E034938|PX|S057353|px|N058002||pyroxicam|L137044|piroxicam||UMLS|E0418210|E0048061|abbreviation||||
|E034939|PX|S057353|px|N058002||pancreatectomy|L123898|pancreatectomy||UMLS|E0418210|E0045203|abbreviation||||
|E034940|PX|S057353|px|N058002||pinealectomy|L128989|pinealectomy||UMLS|E0418210|E0067954|abbreviation||||
|E035225|PCC|S053789|pcc|N053146||premature chromosome condensation|L133369|premature chromosome condensation||UMLS|E0418377|E0418376|acronym||||
|E035453|RG|S060233|rg|N059850||radius of gyration|L137989|||UMLS|E0418509||acronym||||
|E035667|NR|S049268|nr|N049129||neutral red|L117110|neutral red||UMLS|E0418568|E0515362|acronym||||
|E035781|SSB|S065899|ssb|N066104||single strand break|L147141|single strand break||UMLS|E0418614|E0418615|acronym||||
|E035782|SSB|S065899|ssb|N066104||single-strand break|L147298|single strand break||UMLS|E0418614|E0418615|acronym||||
|E036785|HK|S031557|hk|N032127||hand to knee|L085052|||UMLS|E0419475|E0419482|acronym||||
|E036786|HK|S031557|hk|N032127||hand-to-knee|L085071|||UMLS|E0419475|E0419482|acronym||||
|E036787|HK|S031557|hk|N032127||heel to knee|L085737|||UMLS|E0419475|E0419480|acronym||||
|E036788|HK|S031557|hk|N032127||heel-to-knee|L085741|||UMLS|E0419475|E0419480|acronym||||
|E037234|LBW|S039993|lbw|N039544||low birthweight|L104695|low birthweight||UMLS|E0419833|E0419835|acronym||||
|E037235|LBW|S039993|lbw|N039544||low birth weight|L104690|low birthweight||UMLS|E0419833|E0419835|acronym||||
|E037237|LBW|S039993|lbw|N039544||low birth-weight|L104693|low birthweight||UMLS|E0419833|E0419835|acronym||||
|E037332|NED|S048011|ned|N047607||no evidence of disease|L117852|||UMLS|E0419913||acronym||||
|E037654|SPT|S065626|spt|N065825||station pull-through|L151026|||UMLS|E0420138|E0420134|acronym||||
|E038174|aft|S078306|aft|N004298||afternoon|L040331|afternoon||UMLS|E0420580|E0007718|abbreviation||||
|E039001|dd|S084670|dd|N019160||de die|L064758|||UMLS|E0425529||acronym||||
|E039451|dw|S085387|dw|N021150||dry weight|L069885|dry weight||UMLS|E0427055||abbreviation||||
|E039452|dw|S085387|dw|N021150||dwarf|L070102|dwarf||UMLS|E0427055|E0515490|abbreviation||||
|E039701|Sac. erythraea|S066602|sac erythraea|N062699||Saccharopolyspora erythraea|L029877|Saccharopolyspora erythraea||UMLS|E0427433|E0427431|abbreviation||||
|E039813|Fz|S026388|fz|N026572||frontal midline|L079743|frontal midline||UMLS|E0428297||abbreviation||||
|E040218|Hy|S034098|hy|N033876||hypothenar|L092248|hypothenar||UMLS|E0429001|E0033108|abbreviation||||
|E040947|IV|S037123|iv|N037315||intravenous|L098442|intravenous||UMLS|E0431922|E0035589|acronym||||
|E040948|IV|S037123|iv|N037315||intra venous|L097531|intravenous||UMLS|E0431922|E0035589|acronym||||
|E040949|IV|S037123|iv|N037315||intra-venous|L097840|intravenous||UMLS|E0431922|E0035589|acronym||||
|E040950|IV|S037123|iv|N037315||invitro|L098722|invitro||UMLS|E0431923|E0035775|acronym||||
|E040951|IV|S037123|iv|N037315||in vitro|L093696|||UMLS|E0431923|E0035775|acronym||||
|E040952|IV|S037123|iv|N037315||invivo|L098723|invivo||UMLS|E0431923|E0035785|acronym||||
|E040953|IV|S037123|iv|N037315||in vivo|L093734|||UMLS|E0431923|E0035785|acronym||||
|E040954|IV|S037123|iv|N037315||in-vivo|L093809|||UMLS|E0431923|E0035785|acronym||||
|E041845|ITE|S037043|ite|N037239||in-the-ear|L093774|EAR||UMLS|E0435502||acronym||||
|E041846|ITE|S037043|ite|N037239||in the ear|L093694|EAR||UMLS|E0435502||acronym||||
|E041994|mult|S092688|mult|N045910||multiple|L113876|multiple||UMLS|E0436035|E0041326|abbreviation||||
|E042343|p.r.n.|S094573|prn|N056900||pro re nata|L134157|pro re nata||UMLS|E0436722|E0436721|acronym||||
|E042344|PRN|S056578|prn|N056900||pro re nata|L134157|pro re nata||UMLS|E0436723|E0050689|acronym||||
|E042345|prn|S096885|prn|N056900||pro re nata|L134157|pro re nata||UMLS|E0436723|E0050689|acronym||||
|E042427|RCM|S059941|rcm|N059415||Royal College of Midwives|L029389|||UMLS|E0436897|E0005197|acronym||||
|E042465|RMA|S060535|rma|N060699||right mentoanterior|L142813|right mentoanterior||UMLS|E0437027|E0437026|acronym||||
|E042475|RMT|S060596|rmt|N060791||right mentotransverse|L142815|right mentotransverse||UMLS|E0437038|E0437032|acronym||||
|E042505|Sa|S066582|sa|N062649||saline|L143572|saline||UMLS|E0437112|E0054183|abbreviation||||
|E042803|ST|S066048|st|N066266||subtotal|L152546|subtotal||UMLS|E0437705|E0058732|acronym||||
|E043038|AC|S003443|ac|N003212||adrenocorticoid|L039921|adrenocorticoid||UMLS|E0438409|E0007498|acronym||||
|E043056|AC|S003443|ac|N003212||anticoagulant|L044796|anticoagulant||UMLS|E0438409|E0009459|acronym||||
|E043057|AC|S003443|ac|N003212||anti-coagulant|L043744|||UMLS|E0438409|E0009459|acronym||||
|E043058|AC|S003443|ac|N003212||anticomplement|L044810|anticomplement||UMLS|E0438409|E0009798|acronym||||
|E043059|AC|S003443|ac|N003212||anti-complement|L043751|||UMLS|E0438409|E0009798|acronym||||
|E043338|liq|S090579|liq|N040342||liquid|L103681|liquid||UMLS|E0439510|E0037762|abbreviation||||
|E043339|liq.|S090580|liq|N040342||liquid|L103681|liquid||UMLS|E0439510|E0037762|abbreviation||||
|E043668|PV|S057214|pv|N057859||Plasmodium vivax|L026991|Plasmodium vivax||UMLS|E0440746|E0440727|acronym||||
|E043678|PV|S057214|pv|N057859||phosvitin|L128512|phosvitin||UMLS|E0440746|E0047525|abbreviation||||
|E043690|PV|S057214|pv|N057859||postvasectomy|L132592|postvasectomy||UMLS|E0440753|E0440748|acronym||||
|E043691|PV|S057214|pv|N057859||post-vasectomy|L132045|||UMLS|E0440753|E0440748|acronym||||
|E043692|PV|S057214|pv|N057859||postvoiding|L132599|postvoiding||UMLS|E0440753|E0440749|acronym||||
|E043693|PV|S057214|pv|N057859||post-voiding|L132052|||UMLS|E0440753|E0440749|acronym||||
|E043694|PV|S057214|pv|N057859||postvaccination|L132589|postvaccination||UMLS|E0440753|E0417656|acronym||||
|E043695|PV|S057214|pv|N057859||post-vaccination|L132042|||UMLS|E0440753|E0417656|acronym||||
|E044123|BG|S009074|bg|N010512||brilliant green|L052156|brilliant green||UMLS|E0442493|E0515357|acronym||||
|E045221|ssp.|S100756|ssp|N066190||subspecies|L152460|subspecies||UMLS|E0446675|E0058680|abbreviation||||
|E045222|ssp.|S100756|ssp|N066190||sub-species|L152154|||UMLS|E0446675|E0058680|abbreviation||||
|E046425|H. mediterranei|S029817|h mediterranei|N029556||Haloferax mediterranei|L016410|Haloferax mediterranei||UMLS|E0452596|E0336883|abbreviation||||
|E046763|ELB|S022199|elb|N022810||elbow|L070893|elbow||UMLS|E0456117|E0024661|abbreviation||||
|E047457|MFP|S044171|mfp|N043839||mifepristone|L111230|mifepristone||UMLS|E0459779|E0401203|abbreviation||||
|E048537|LIS|S040726|lis|N040346||locked-in syndrome|L104197|||UMLS|E0475456|E0212655|acronym||||
|E049222|NIC|S048464|nic|N048144||nicotine|L117468|nicotine||UMLS|E0482025|E0042616|abbreviation||||
|E049223|NIC|S048464|nic|N048144||nicardipine|L117295|nicardipine||UMLS|E0482025|E0401383|abbreviation||||
|E049224|NIC|S048464|nic|N048144||nicotinamide|L117369|nicotinamide||UMLS|E0482025|E0042613|abbreviation||||
|E049225|NIC|S048464|nic|N048144||nicorandil|L117364|nicorandil||UMLS|E0482025|E0042611|abbreviation||||
|E049226|NIC|S048464|nic|N048144||nicotinic acid|L117484|nicotinic acid||UMLS|E0482025|E0042618|abbreviation||||
|E049399|PLG|S055667|plg|N055399||plasminogen|L129500|plasminogen||UMLS|E0482683|E0048224|abbreviation||||
|E049451|Psy|S058536|psy|N057445||phytoene synthase|L128838|phytoene synthase||UMLS|E0482938|E0482937|acronym||||
|E049942|PAS|S053476|pas|N052832||Periodic Acid Schiff|L026387|Periodic Acid Schiff||UMLS|E0484801|E0220659|acronym||||
|E049943|PAS|S053476|pas|N052832||periodic acid Schiff|L126309|Periodic Acid Schiff||UMLS|E0484801|E0220659|acronym||||
|E049944|PAS|S053476|pas|N052832||periodic acid-Schiff|L126320|Periodic Acid Schiff||UMLS|E0484801|E0220659|acronym||||
|E050147|NMIA|S048827|nmia|N048544||nude mouse isotope assay|L120379|nude mouse isotope assay||UMLS|E0500071|E0500070|acronym||||
|E050148|NMIA|S048827|nmia|N048544||nude mouse-isotope assay|L120380|nude mouse isotope assay||UMLS|E0500071|E0500070|acronym||||
|E050324|CSA|S015307|csa|N017288||cyclosporin A|L063680|cyclosporin A||UMLS|E0500204|E0020356|acronym||||
|E050325|CSA|S015307|csa|N017288||cyclosporine A|L063687|cyclosporin A||UMLS|E0500204|E0020356|acronym||||
|E050326|CSA|S015307|csa|N017288||cyclosporin-A|L063685|cyclosporin A||UMLS|E0500204|E0020356|acronym||||
|E050327|CSA|S015307|csa|N017288||cyclosporine-A|L063691|cyclosporin A||UMLS|E0500204|E0020356|acronym||||
|E050559|DNBP|S019513|dnbp|N020391||di-n-butyl phthalate|L066320|||UMLS|E0500556||acronym||||
|E050661|HIPAA|S031338|hipaa|N031911||Health Insurance Portability and Accountability Act|L016593|||UMLS|E0500573|E0447732|acronym||||
|E050741|GCM|S027371|gcm|N027645||glial cells missing|L081830|||UMLS|E0500682||acronym||||
|E050893|FTIR|S025546|ftir|N026376||Fourier transform infrared spectroscopy|L014636|Fourier transform infrared spectroscopy||UMLS|E0500731|E0500729|acronym||||
