LF1|LF2|Synonym
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloproteinase with thrombospondin motifs-16|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-13|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-5|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-6|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-19|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-16|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif-12|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motif|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloprotease with thrombospondin motifs-15|Y
a disintegrin and metalloprotease with thrombospondin motifs-1|a disintegrin and metalloproteinase with thrombospondin motifs-18|Y
inter-ventricular delay|interventricular delay|Y
fibromuscular hyperplasia|fibro-muscular hyperplasia|Y
anti-mitochondrial antibody-M2|anti-mitochondrial antibody-2|Y
anticanine immunoglobulin G|anti-canine immunoglobulin G|Y
cluster of differentiation 13|cluster of differentiation 103|Y
cluster of differentiation 13|cluster of differentiation 3|Y
cluster of differentiation 13|cluster of differentiation 163|Y
cluster of differentiation 13|cluster of differentiation 133|Y
linear mixed-effects modeling|linear mixed-effects modelling|Y
2'3'-dideoxycytidine|2',3'-dideoxycytidine|Y
myelo-ablative conditioning|myeloablative conditioning|Y
nonalcoholic liver disease|non-alcoholic liver disease|Y
A disintegrin and metalloprotease 28|A disintegrin and metalloprotease 8|Y
1-beta-D-arabiofuranosylcytosine|1-beta-D-arabinofuranosylcytosine|Y
F-18 fluoro-deoxy-glucose|F-18 fluoro-deoxyglucose|Y
eukaryotic translation elongation factor 1-α|eukaryotic translation elongation factor 1 α|Y
eukaryotic translation elongation factor 1-α|eukaryotic translation elongation factor 1α|Y
eukaryotic translation elongation factor 1-α|eukaryotic translation elongation factor 1α1|Y
estrogen-progestin therapy|oestrogen-progestin therapy|Y
cemento-ossifying fibroma|cementoossifying fibroma|Y
ultraperformance liquid chromatography/electrospray ionization tandem mass spectrometry|ultra-performance liquid chromatography/electrospray ionisation tandem mass spectrometry|Y
ultraperformance liquid chromatography/electrospray ionization tandem mass spectrometry|ultraperformance liquid chromatography-electrospray ionisation tandem mass spectrometry|Y
ultraperformance liquid chromatography/electrospray ionization tandem mass spectrometry|ultra performance liquid chromatography-electrospray ionization tandem mass spectrometry|Y
ultraperformance liquid chromatography/electrospray ionization tandem mass spectrometry|ultra performance liquid chromatography/electrospray ionization tandem mass spectrometry|Y
ultraperformance liquid chromatography/electrospray ionization tandem mass spectrometry|ultraperformance liquid chromatography/electrospray ionisation tandem mass spectrometry|Y
ultraperformance liquid chromatography/electrospray ionization tandem mass spectrometry|ultra-performance liquid chromatography/electrospray ionization tandem mass spectrometry|Y
ultraperformance liquid chromatography/electrospray ionization tandem mass spectrometry|ultraperformance liquid chromatography-electrospray ionization tandem mass spectrometry|Y
ultraperformance liquid chromatography/electrospray ionization tandem mass spectrometry|ultra performance liquid chromatography/electrospray ionisation tandem mass spectrometry|Y
ultraperformance liquid chromatography/electrospray ionization tandem mass spectrometry|ultra-performance liquid chromatography-electrospray ionization tandem mass spectrometry|Y
partial least square|partial least squares|Y
ammonia mono-oxygenase α-subunit|ammonia monooxygenase α-subunit|Y
interleukin-2 receptor α subunit|interleukine-2 receptor α subunit|Y
radio-contrast-induced nephropathy|radiocontrast-induced nephropathy|Y
intra-stromal corneal ring|intrastromal corneal ring|Y
BCL-2-associated X protein|BCL2-associated X protein|Y
non-lipodystrophic patient|nonlipodystrophic patient|Y
4,4'-diisothiocyanostilbene-2,2'-disulfonate|4,4'-diisothiocyanatostilbene-2,2'-disulfonate|Y
Special Supplemental Nutrition Program for Women, Infants, and Children|Special Supplemental Nutrition Program for Women, Infants and Children|Y
ultrasound-guided fine-needle aspiration|ultrasound-guided fine needle aspiration|Y
ultrasound-guided fine-needle aspiration|ultrasound guided fine-needle aspiration|Y
Durham Veterans Administration Medical Center|Durham Veterans' Administration Medical Center|Y
Durham Veterans Administration Medical Center|Durham Veteran's Administration Medical Center|Y
anti-interleukin-5 monoclonal antibody|anti-interleukin-15 monoclonal antibody|Y
oxygen-limited autotrophic nitrification-denitrification|oxygen-limited autotrophic nitrification/denitrification|Y
γ-amino-butyric acid type B receptor|γ-aminobutyric acid type B receptor|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed developmentally downregulated 1|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed, developmentally down-regulated 9|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed, developmentally downregulated 8|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed developmentally down-regulated 4|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed developmentally downregulated 8|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed, developmentally downregulated 1|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed developmentally downregulated 9|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell-expressed, developmentally downregulated 4|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed, developmentally down-regulated 2|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed, developmentally down-regulated 8|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell-expressed developmentally downregulated 4|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed, developmentally downregulated 5|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed, developmentally downregulated 9|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed developmentally downregulated 4|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed developmentally downregulated 5|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed developmentally downregulated 2|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed, developmentally downregulated 2|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed, developmentally down-regulated 4|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed, developmentally down-regulated 1|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell-expressed, developmentally down-regulated 4|Y
neural precursor cell expressed, developmentally downregulated 4|neural precursor cell expressed, developmentally down-regulated 5|Y
dual-colour chromogenic in situ hybridisation|dual-colour chromogenic in situ hybridization|Y
dual-colour chromogenic in situ hybridisation|dual-colour chromogenic in-situ hybridisation|Y
dual-colour chromogenic in situ hybridisation|dual-color chromogenic in situ hybridisation|Y
thyrotropin-stimulating hormone stimulation test|thyrotropin stimulating hormone stimulation test|Y
neuro-developmental impairment|neurodevelopmental impairment|Y
non-iron deficiency anemia|noniron deficiency anemia|Y
non-iron deficiency anemia|non-iron deficiency anaemia|Y
bcl-2 associated X protein|bcl2 associated X protein|Y
American Society of Anaesthesiologists Status III|American Society of Anesthesiologists Status II|Y
American Society of Anaesthesiologists Status III|American Society of Anesthesiologists Status III|Y
American Society of Anaesthesiologists Status III|American Society of Anaesthesiologists Status I|Y
American Society of Anaesthesiologists Status III|American Society of Anaesthesiologists status III|Y
American Society of Anaesthesiologists Status III|American Society of Anaesthesiologists Status II|Y
X-linked lymphoproliferative disease|X-linked lympho-proliferative disease|Y
non-high density lipoprotein cholesterol|non-high-density lipoprotein cholesterol|Y
ras-related GTP-binding protein 27B|ras-related GTP-binding protein 27|Y
ras-related GTP-binding protein 27B|ras-related GTP-binding protein 2B|Y
methyl malonyl-coenzyme A epimerase|methylmalonyl-coenzyme A epimerase|Y
tail-less complex polypeptide 1 ring complex|tail-less complex polypeptide-1 ring complex|Y
tail-less complex polypeptide 1 ring complex|tailless complex polypeptide 1 ring complex|Y
thallium 201 single photon emission computed tomography|thallium-201 single photon emission computed tomography|Y
thallium 201 single photon emission computed tomography|thallium 201 single-photon emission computed tomography|Y
ras-related GTP-binding protein 2|ras-related GTP-binding protein 24|Y
ras-related GTP-binding protein 2|ras-related GTP-binding protein 25|Y
ras-related GTP-binding protein 2|ras-related GTP-binding protein 21|Y
ras-related GTP-binding protein 2|ras-related GTP-binding protein 23|Y
ras-related GTP-binding protein 2|ras-related GTP-binding protein 32|Y
ras-related GTP-binding protein 2|ras-related GTP-binding protein 2A|Y
ras-related GTP-binding protein 2|ras-related GTP-binding protein 27|Y
ras-related GTP-binding protein 2|ras-related GTP-binding protein 2B|Y
ras-related GTP-binding protein 2|ras-related GTP-binding protein 22|Y
oro-caecal transit time|oro-cecal transit time|Y
dopamine beta mono-oxygenase|dopamine beta monooxygenase|Y
peroxisome proliferator-activated receptor gamma co-activator-1 alpha|peroxisome proliferator-activated receptor-gamma co-activator-1alpha|Y
peroxisome proliferator-activated receptor gamma co-activator-1 alpha|peroxisome proliferator-activated receptor gamma co-activator 1alpha|Y
peroxisome proliferator-activated receptor gamma co-activator-1 alpha|peroxisome proliferator-activated receptor-gamma coactivator-1 alpha|Y
peroxisome proliferator-activated receptor gamma co-activator-1 alpha|peroxisome proliferator-activated receptor gamma coactivator-1alpha|Y
peroxisome proliferator-activated receptor gamma co-activator-1 alpha|peroxisome proliferator-activated receptor gamma coactivator-1 alpha|Y
peroxisome proliferator-activated receptor gamma co-activator-1 alpha|peroxisome proliferator-activated receptor-gamma co-activator-1 alpha|Y
peroxisome proliferator-activated receptor gamma co-activator-1 alpha|peroxisome proliferator-activated receptor gamma coactivator 1 alpha|Y
peroxisome proliferator-activated receptor gamma co-activator-1 alpha|peroxisome proliferator-activated receptor gamma co-activator-1alpha|Y
peroxisome proliferator-activated receptor gamma co-activator-1 alpha|peroxisome proliferator-activated receptor gamma co-activator 1 alpha|Y
peroxisome proliferator-activated receptor gamma co-activator-1 alpha|peroxisome-proliferator-activated receptor gamma coactivator-1 alpha|Y
peptidyl-glycine alpha-amidating mono-oxygenase|peptidyl glycine alpha-amidating mono-oxygenase|Y
peptidyl-glycine alpha-amidating mono-oxygenase|peptidylglycine alpha-amidating monooxygenase|Y
peptidyl-glycine alpha-amidating mono-oxygenase|peptidylglycine alpha-amidating mono-oxygenase|Y
peptidyl-glycine alpha-amidating mono-oxygenase|peptidyl-glycine-alpha-amidating mono-oxygenase|Y
peptidyl-glycine alpha-amidating mono-oxygenase|peptidyl-glycine alpha-amidating monooxygenase|Y
hydroxyindole-O-methyl transferase|hydroxyindole-O-methyltransferase|Y
crossed radio immunoelectrophoresis|crossed radioimmunoelectrophoresis|Y
conductorlike polarisable continuum model|conductor-like polarisable continuum model|Y
local intraarterial thrombolysis|local intra-arterial thrombolysis|Y
antiIL-1 alpha monoclonal antibody|antiIL-1alpha monoclonal antibody|Y
antiIL-1 alpha monoclonal antibody|anti-IL-1 alpha monoclonal antibody|Y
immuno-peroxidase assay|immunoperoxidase assay|Y
light harvesting chlorophyll a/b-binding protein II|light harvesting chlorophyll a/b-binding protein-II|Y
light harvesting chlorophyll a/b-binding protein II|light harvesting chlorophyll a/b-binding protein I|Y
light harvesting chlorophyll a/b-binding protein II|light harvesting chlorophyll a/b binding protein II|Y
light harvesting chlorophyll a/b-binding protein II|light-harvesting chlorophyll a/b-binding protein II|Y
sedimentation co-efficient|sedimentation coefficient|Y
intra-mammary infection|intramammary infection|Y
anti-deoxyribonuclease B|antideoxyribonuclease B|Y
programed cell death|programmed cell death|Y
Durham Veterans' Administration Medical Center|Durham Veteran's Administration Medical Center|Y
Fcgamma receptor IIIb|Fcgamma receptor III|Y
multi-planar reformation image|multiplanar reformation image|Y
structural maintenance of chromosomes 1-like 2|structural maintenance of chromosomes 1-like 1|Y
maximal mid-expiratory flow rate|maximal midexpiratory flow rate|Y
ethoxylated bisphenol A dimethacrylate|ethoxylated bis-phenol A dimethacrylate|Y
granulocyte-colony stimulating factor|granulocytecolony stimulating factor|Y
allergic bronchopulmonary aspergillosis|allergic broncho-pulmonary aspergillosis|Y
infrared multiphoton dissociation spectroscopy|infrared multi-photon dissociation spectroscopy|Y
anti-insulin-like growth factor receptor type 1 monoclonal antibody|anti-insulin-like growth factor receptor type I monoclonal antibody|Y
stretch-activated ion channels|stretch-activated ion channel|Y
anti-mucin 1 antibody|anti-mucin1 antibody|Y
corticotropin-like intermediate lobe peptide|corticotrophin-like intermediate lobe peptide|Y
corticotropin-like intermediate lobe peptide|corticotropin-like intermediate-lobe peptide|Y
granulocyte macrophage-colony-stimulating factor receptor alpha chain|granulocyte-macrophage-colony-stimulating factor receptor alpha chain|Y
granulocyte macrophage-colony-stimulating factor receptor alpha chain|granulocyte macrophage-colony-stimulating factor receptor alpha-chain|Y
transthoracic echocardiogram|trans-thoracic echocardiogram|Y
transthoracic echocardiogram|trans thoracic echocardiogram|Y
prekallikrein activator|pre-kallikrein activator|Y
small interfering RNA|small interfering RNAs|Y
Enterococcus faecalis HH22|Enterococcus faecalis HH-22|Y
recombinant human platelet derived growth factor B chain|recombinant human platelet-derived growth factor B chain|Y
murine γ herpesvirus 68|murine γherpesvirus 68|Y
phospholipase C-gamma-1|phospholipase Cgamma-1|Y
alanine aminopeptidase|alanine amino-peptidase|Y
interaural level difference|inter-aural level difference|Y
Salmonella choleraesuis subspecies bongori|Salmonella cholerae-suis subspecies bongori|Y
molecular adsorbents recirculating system|molecular adsorbent recirculating system|Y
secondary anti-phospholipid syndrome|secondary anti-phospholipide syndrome|Y
secondary anti-phospholipid syndrome|secondary antiphospholipid syndrome|Y
para-nitrosophenetol|para-nitrosophenetole|Y
chicken luteinizing hormone-releasing hormone II|chicken luteinizing hormone-releasing hormone-II|Y
chicken luteinizing hormone-releasing hormone II|chicken luteinizing hormone-releasing hormone I|Y
chicken luteinizing hormone-releasing hormone II|chicken luteinising hormone-releasing hormone II|Y
chicken luteinizing hormone-releasing hormone II|chicken luteinizing hormone releasing hormone II|Y
pentylene tetrazole-kindled|pentylene tetrazol-kindled|Y
pentylene tetrazole-kindled|pentylenetetrazole-kindled|Y
p-nitrophenylphosphatase|p-nitrophenyl-phosphatase|Y
p-nitrophenylphosphatase|p-nitrophenyl phosphatase|Y
human cationic amino acid transporter 2|human cationic amino acid transporter 2A|Y
human cationic amino acid transporter 2|human cationic amino acid transporter 2B|Y
5,5-dimethylpyrroline-N-oxide|5,5-dimethyl-pyrroline-N-oxide|Y
trans-thoracic needle biopsy|transthoracic needle biopsy|Y
good laboratory practices|good laboratory practice|Y
latent transforming growth factor-beta binding protein-3|latent transforming growth factor-beta binding protein-4|Y
latent transforming growth factor-beta binding protein-3|latent transforming growth factor-beta binding protein|Y
latent transforming growth factor-beta binding protein-3|latent transforming growth factor-beta binding protein 3|Y
latent transforming growth factor-beta binding protein-3|latent transforming growth factor beta binding protein-3|Y
latent transforming growth factor-beta binding protein-3|latent transforming growth factor-beta binding protein-2|Y
latent transforming growth factor-beta binding protein-3|latent transforming growth factor-beta binding protein-1|Y
p21-activated kinase interacting exchange factor|p21-activated kinase-interacting exchange factor|Y
atrioventricular conduction|atrio-ventricular conduction|Y
anti-cytomegalovirus immunoglobulin M|anticytomegalovirus immunoglobulin M|Y
nonmelanoma skin carcinoma|non-melanoma skin carcinoma|Y
laryngo-tracheal reconstruction|laryngotracheal reconstruction|Y
bromo-palmitoyl coenzyme A|bromopalmitoyl coenzyme A|Y
endoplasmic reticulum-associated protein degradation|endoplasmic reticulum associated protein degradation|Y
endoplasmic reticulum-associated protein degradation|endoplasmic-reticulum-associated protein degradation|Y
[D-Ala2,D-Leu5]-enkephalin|[D-Ala2,D-Leu5]enkephalin|Y
spinocerebellar tract|spino-cerebellar tract|Y
mitogen-activated protein kinase-activated protein kinase 3|mitogen-activated protein kinase-activated protein kinase|Y
mitogen-activated protein kinase-activated protein kinase 3|mitogen-activated protein kinase-activated protein kinase-3|Y
mitogen-activated protein kinase-activated protein kinase 3|mitogen-activated protein kinase-activated protein kinase 2|Y
mitogen-activated protein kinase-activated protein kinase 3|mitogen-activated protein kinase activated protein kinase 3|Y
mitogen-activated protein kinase-activated protein kinase 3|mitogen-activated protein kinase-activated protein kinase 1|Y
mitogen-activated protein kinase-activated protein kinase 3|mitogen-activated protein kinase-activated protein kinase 5|Y
mitogen-activated protein kinase-activated protein kinase 3|mitogen activated protein kinase-activated protein kinase 3|Y
anti-interleukin-3 monoclonal antibody|anti-interleukin-13 monoclonal antibody|Y
antidouble stranded DNA|anti-double stranded DNA|Y
benzoyl-phenylalanyl-alanyl-proline|benzoylphenylalanyl-alanyl-proline|Y
pulmonary intra-vascular macrophage|pulmonary intravascular macrophage|Y
bi-directional reflectance distribution function|bidirectional reflectance distribution function|Y
free tri-iodothyronine|free triiodothyronine|Y
minichromosome maintenance 2|mini-chromosome maintenance 2|Y
mixed lymphocyte tumor cell culture|mixed lymphocyte tumor cell cultures|Y
chronic non-spherocytic hemolytic anemia|chronic nonspherocytic hemolytic anemia|Y
chronic non-spherocytic hemolytic anemia|chronic non-spherocytic haemolytic anaemia|Y
chronic non-spherocytic hemolytic anemia|chronic non spherocytic hemolytic anemia|Y
American Society of Anesthesiologists Grade 4|American Society of Anesthesiologists Grade|Y
American Society of Anesthesiologists Grade 4|American Society of Anesthesiologists Grade 5|Y
American Society of Anesthesiologists Grade 4|American Society of Anesthesiologists grade 4|Y
American Society of Anesthesiologists Grade 4|American Society of Anesthesiologists Grade 2|Y
American Society of Anesthesiologists Grade 4|American Society of Anesthesiologists Grade V|Y
American Society of Anesthesiologists Grade 4|American Society of Anaesthesiologists Grade 4|Y
American Society of Anesthesiologists Grade 4|American Society of Anesthesiologists Grade 3|Y
American Society of Anesthesiologists Grade 4|American Society of Anesthesiologists Grade I|Y
American Society of Anesthesiologists Grade 4|American Society of Anesthesiologists Grade 1|Y
metaphenylenediamine|meta-phenylenediamine|Y
cervical intraepithelial neoplasia grade 3|cervical intraepithelial neoplasia grade 2|Y
spleno-gonadal fusion|splenogonadal fusion|Y
cerebello-pontine angle lesion|cerebellopontine angle lesion|Y
anti-prion protein monoclonal antibody|antiprion protein monoclonal antibody|Y
intermetatarsal angle|inter-metatarsal angle|Y
linearized multi-stage model|linearized multistage model|Y
pre-replicative complex|prereplicative complex|Y
BCL2 homology domain 3|BCL-2 homology domain 3|Y
anti-IL2R alpha monoclonal antibody|anti-IL 2R alpha monoclonal antibody|Y
anti-IL2R alpha monoclonal antibody|anti-IL-2R alpha monoclonal antibody|Y
total anti-oxidant status|total antioxidant status|Y
platelet micro-particle|platelet microparticle|Y
mucosa associated lymphoid tissue type lymphoma|mucosa-associated lymphoid tissue type lymphoma|Y
mucosa associated lymphoid tissue type lymphoma|mucosa associated lymphoid tissue-type lymphoma|Y
endothelial-monocyte-activating polypeptide 2|endothelial monocyte-activating polypeptide 2|Y
endothelial-monocyte-activating polypeptide 2|endothelial-monocyte-activating polypeptide|Y
endothelial-monocyte-activating polypeptide 2|endothelial-monocyte-activating polypeptide-2|Y
endothelial-monocyte-activating polypeptide 2|endothelial-monocyte-activating polypeptide I|Y
guanine adenine thymine adenine-binding protein|guanine adenine thymine adenine-binding protein 3|Y
guanine adenine thymine adenine-binding protein|guanine adenine thymine adenine-binding protein 4|Y
guanine adenine thymine adenine-binding protein|guanine adenine thymine adenine-binding protein 1|Y
inhibitor of apoptosis proteins|inhibitor of apoptosis protein|Y
chromatin accessibility complex-14|chromatin accessibility complex-1|Y
interleukine-6 receptor alpha-chain|interleukin-6 receptor alpha-chain|Y
systemic lupus erythematosus|systemic lupus erythmatosus|Y
systemic lupus erythematosus|systemic lupus erythematous|Y
poly (styrene sulfonate)|poly(styrene sulfonate)|Y
post-transplantation lympho-proliferative disease|posttransplantation lymphoproliferative disease|Y
post-transplantation lympho-proliferative disease|post-transplantation lymphoproliferative disease|Y
post-transplantation lympho-proliferative disease|posttransplantation lympho-proliferative disease|Y
polymorphonuclear leucocyte|polymorpho-nuclear leucocyte|Y
polymorphonuclear leucocyte|poly-morphonuclear leucocyte|Y
flavin containing mono-oxygenase 4|flavin containing monooxygenase 4|Y
anti-cytotoxic T-lymphocyte antigen-4 monoclonal antibody|anticytotoxic T-lymphocyte antigen-4 monoclonal antibody|Y
anti-cytotoxic T-lymphocyte antigen-4 monoclonal antibody|anti-cytotoxic T-lymphocyte antigen 4 monoclonal antibody|Y
macrophage inflammatory protein-3β|macrophage inflammatory protein-3 β|Y
heparin induced thrombocytopaenia|heparin induced thrombo-cytopaenia|Y
heparin induced thrombocytopaenia|heparin induced thrombocytopenia|Y
nuclear corepressor 2|nuclear co-repressor 2|Y
reaction center light-harvesting complex 1|reaction center light-harvesting complex I|Y
reaction center light-harvesting complex 1|reaction center-light-harvesting complex 1|Y
reaction center light-harvesting complex 1|reaction centre light-harvesting complex 1|Y
C. difficile associated disease|C difficile associated disease|Y
mitogen activated protein kinase activated protein kinase-5|mitogen activated protein kinase activated protein kinase 5|Y
mitogen activated protein kinase activated protein kinase-5|mitogen-activated protein kinase activated protein kinase-5|Y
mitogen activated protein kinase activated protein kinase-5|mitogen activated protein kinase activated protein kinase-1|Y
mitogen activated protein kinase activated protein kinase-5|mitogen activated protein kinase-activated protein kinase-5|Y
mitogen activated protein kinase activated protein kinase-5|mitogen activated protein kinase activated protein kinase-3|Y
