LF1|LF2|Synonym
interleukin 1 receptor 1|interleukin 7 receptor α|
multidrug resistance|small multidrug resistance|
β site amyloid precursor protein-cleaving enzyme|beta-site amyloid precursor protein cleaving enzyme|
extracellular signal regulated kinase 2|mitogen extracellular signal regulated kinase 1|
peroxisome proliferator-activated receptor-γ 1|peroxisome proliferator-activated receptor γ coactivator 1|
clinical activity index|colitis activity index|
myeloproliferative neoplasm|myeloproliferative syndrome|
receptor-like protein tyrosine phosphatase-mu|receptor-like protein tyrosine phosphatase-ψ|
interleukine-2 receptor α|interleukin 15 receptor|
pro-matrix metalloproteinase|matrix metalloproteinase 9|
human adenovirus type 2|human adenovirus type B|
beta amyloid precursor protein-cleaving enzyme 1|β site amyloid precursor protein-cleaving enzyme 1|
cluster of differentiation antigen 26|cluster of differentiation antigen 98|
metabotropic glutamate receptor subtype 5|metabotropic glutamate receptor type 2|
interleukine-4 receptor α chain|interleukine-5 receptor α|
T box transcription factor 3|transcription factor μE3|
synaptosomal associated protein-25 kDa|Synaptosome-associated protein of 25 kDa|
interleukin 5 receptor α-chain|interleukine 13 receptor α 2 chain|
American Society of Anaesthesiologists Status III|American Society of Anaesthesiologists Grade IV|
polygalacturonic acid|galacturonic acid|
surface-enhanced laser desorption/ionisation time of flight|surface-enhanced laser desorption ionization|
Small for gestational age|large for gestational age|
highest occupied molecular orbital|highest occupied molecular orbital level|
mitogen-activated protein kinase-activated protein kinase 2|mitogen activated protein kinase activated protein kinase-2|
S100beta protein|S100β protein|
glycosylphosphatidylinositol-linked|glycosyl-phosphatidyl inositol-anchored|
TBP associated factor 8|TBP associated factor-2|
nontypable|non-typeable|
neural-precursor-cell-expressed developmentally downregulated 2|neuronal precursor cell-expressed developmentally downregulated 4-2|
brain-stem-evoked response|auditory brain-stem evoked response|
posterior wall myocardial infarction|nonanterior myocardial infarction|
cluster of differentiation antigen 79a|cluster of differentiation antigen 40 ligand|
pegylated recombinant human megakaryocyte growth and development factor|recombinant human megakaryocyte growth and development factor|
transforming growth factor-beta 1|transforming growth factor type e|
spinocerebellar ataxia type 19|spinocerebellar ataxia type 22|
Clinical Global Impressions severity scale|Clinical Global Impressions-Severity of Illness scale|
anti-B-cell leukemia/lymphoma-2|B-cell leukemia/lymphoma 2|
human adenovirus type 7|human adenovirus serotype 28|
glycophosphatidyl-inositol linked|glycophosphatidyl inositol-linked|
receptor-like protein tyrosine phosphatase-psi|receptor protein-tyrosine phosphatase ψ|
anti-β(2)-glycoprotein I antibody|anti-β-2-glycoprotein 1 antibody|
human adenovirus serotype 32|human adenovirus type 28|
Thermoluminescence dosemeters|thermoluminescent dosimetry|
a disintegrin and metalloprotease-10|A disintegrin and metalloprotease 12-S|
oestrogen receptor-regulated|estrogen receptor related|
beta-2-µglobulin|β-2-µglobulin|
peroxisome proliferator-activated receptor-γ 1|peroxisome proliferator-activated receptor γ co-activator-1α|
beta site amyloid precursor protein-cleaving enzyme-2|beta-site amyloid precursor protein cleaving enzyme|
interleukin-5 receptor α|interleukin 4 receptor|
tibial muscular dystrophy|congenital muscular dystrophy|
interleukin-12 receptor β2 chain|interleukine-13 receptor α 2 chain|
American Society of Anaesthesiology status 5|American Society of Anaesthesiology physical status 5|
interleukine 5 receptor α chain|interleukine 7 receptor α-chain|
American Society of Anaesthesiologists Grade III|American Society of Anesthesiology Grade II|
receptor protein-tyrosine phosphatase-ψ|receptor-like protein-tyrosine phosphatase alpha|
human adenovirus serotype 32|human adenovirus serotype F|
cluster of differentiation 154|soluble cluster of differentiation 25|
A disintegrin and metalloproteinase-22|A disintegrin and metalloproteinase 7|
interleukin-6 receptor-α|interleukin 9 receptor|
diethylene triamine penta-acetic acid|diethylenetriamine pentaacetate|
5-hydroxytryptamine 1D|5-Hydroxytryptamine|
ubiquitin-conjugating enzyme 18|ubiquitin-conjugating enzymes|
Plesiomonas shigelloides|Aeromonas shigelloides|
coronary computed tomography angiography|3-dimensional computed tomography angiography|
Functional Assessment of Cancer Therapy-General|Functional Assessment of Cancer Therapy|
anti-IL 7 monoclonal antibody|anti-TCR-αβ monoclonal antibody|
protein kinase G1alpha|protein kinase G1β|
polymerase δ|polymerase|
human adenovirus serotype 34|human adenovirus type 49|
beta-site APP cleaving enzyme 2|beta-APP-cleaving enzyme-2|
A disintegrin and metalloproteinase-10|a disintegrin and metalloproteinase-28|
hyperapobetalipoproteinemia|hyperlipoproteinemia|
Cryptococcus curvatus|Cryptococcus aquaticus|
American Society of Anaesthesiology status 3|American Society of Anesthesiology status 5|
transforming growth factor β1|transforming growth factor-beta3|
nuclear factor kB|nuclear factor κ B p65|
assigned protection factor|skin protection factor|
β-site APP-cleaving enzyme 1|β site APP-cleaving enzyme 1|
TATA-binding protein-related factor-2|TATA-binding protein associated factor-10|
motor evoked potential|motor potential|
sex-determining region Y-box 5|sex determining region Y-box 9|
thermally induced phase separation|thermally-induced phase separation|
fan-beam dual x-ray absorptiometry|fan-beam dual X-ray absorptiometry|
interleukin 6 receptor|interleukin-3 receptor-α|
American Society of Anaesthesiology Class 5|American Society of Anesthesiology Grade 5|
fructose monophosphate|fructose-1-phosphate|
augmented correlation consistent polarised valence triple zeta|augmented correlation-consistent polarised valence triple-zeta basis set|
American Society of Anesthesiologists class II|American Society of Anaesthesiology Grade 5|
human adenovirus type 4|human adenovirus serotype 45|
H3 receptor|B2 receptor|
ras-related GTP-binding protein 35|ras-related GTP-binding protein 2A|
American Society of Anaesthesiologists class V|American Society of Anaesthesiology Class 4|
insulin-like growth factor-2|insulin-like factor-3|
prostaglandin type E|prostaglandin E1|
sex-determining region Y box-2|sex-determining region Y, box 10|
mu opioid receptor|δ-opioid receptor|
human transforming growth factor alpha|human transforming growth factor β 2|
β amyloid precursor protein cleaving enzyme-1|beta site amyloid precursor protein cleaving enzyme 1|
mitogen-activated protein kinase kinase-1|Big mitogen-activated protein kinase 1|
American Society of Anesthesiology class 1|American Society of Anesthesiologists status I|
reciniferatoxin|reciniferatoxin amide|
interleukin-1beta converting enzyme inhibitor|interleukin-1β-converting enzyme inhibitor|
protein kinase M-ζ|protein kinase G-1 α|
interleukin 4 receptor alpha subunit|interleukin-13 receptor α 2 subunit|
mitogen-activated protein kinase-activated protein kinase|mitogen-activated protein kinase activated protein kinase-1|
senescence-accelerated mouse|Senescence-accelerated mice|
excretory-secretory|excretory and secretory|
intraoperative sonography|intraoperative echocardiography|
radioscapholunate|scapholunate|
pediatric intensive care unit|surgical intensive care unit|
excitatory amino acid transporter|cationic amino acid transporter 3|
interleukine 3 receptor α chain|interleukin-2 receptor α-chain|
alpha-methyltestosterone|7alpha-methyl-19-nortestosterone|
antihemophilic factor C|anti-haemophilic factor|
modified Children's Hospital of Eastern Ontario Pain Scale|Children's Hospital of Eastern Ontario Pain Scale|
Denaturing high performance liquid chromatography|size exclusion high performance liquid chromatography|
transcription factor IIIA|transcription factor E3|
interleukine 13 receptor α2 chain|interleukine-3 receptor alpha|
interleukin-15 receptor α|interleukin 4 receptor|
TATA-binding protein-associated factor 17|TATA-binding protein associated factor-9|
rabbit immunoglobulin G|bovine immunoglobulin G|
vinblastine, bleomycin, cisplatin|vinblastine, bleomycin and cisplatin|
human adenovirus 45|human adenovirus 46|
cluster of differentiation antigen 71|cluster of differentiation antigen 81|
fluorescein 5-isothiocyanate|fluoresceinisothiocyanate|
in vitro fertilized|in-vitro-fertilised|
A disintegrin and metalloprotease-22|A disintegrin and metalloprotease-23|
type 1 InsP3 receptor|type 1 InsP(3) receptor|
matrix assisted laser desorption ionisation time-of-flight mass spectrometry|laser desorption/ionization time of flight mass spectrometry|
interleukine-3 receptor alpha subunit|interleukine-4 receptor-α subunit|
ischemia reperfusion injury|ischemic reperfusion injury|
regional ejection fraction|global ejection fraction|
protein kinase inhibitor beta|proteinase inhibitor 6|
transforming growth factor-β protein|transforming growth factor-β receptor 1|
NIMA-related kinase-1|NIMA-related kinase-2|
α2-macroglobulin|β-2-microglobulin|
dioleoylphosphatidyl-choline|dielaidoyl-phosphatidylcholine|
hepatitis B e antibody|anti-hepatitis B core antibody|
Mycobacterium bovis|Mycobacterium bovis BCG|
methyl cytosine-phosphate-guanosine binding domain 2|methyl cytidine-phosphate-guanosine binding protein 1|
wholebody magnetic resonance imaging|angiomagnetic resonance imaging|
hexahydro-sila-diphenidol|fluoro-hexahydro-sila-diphenidol|
granulocyte/macrophage colony stimulating factor|human granulocyte macrophage-colony stimulating factor|
cis-Diamminedichloroplatinum II|Cis-diamminedichloroplatinum II|
Michigan Alcoholism Screening Test|Michigan Alcohol Screening Test|
TATA-binding protein-associated factor 4|TATA-binding protein associated factor-2|
acylamino acid-releasing enzyme|acylamino acid releasing enzyme|
American Society of Anesthesiology status I|American Society of Anesthesiology grade III|
cardiac computed tomography angiography|cardiac computed tomography|
dihydrolipoamide succinyltransferase|Dihydrolipoamide acyltransferase|
pregnancy-associated glycoprotein|early pregnancy associated protein|
G protein gamma subunit-like domain|G protein γ-subunit-like domain|
TATA-binding protein-associated factor within TFIID|TATA-binding protein-associated factor-7|
receptor protein tyrosine phosphatase μ|receptor protein-tyrosine phosphatase-κ|
growth-associated protein B50|ζ-associated protein 70|
acid sensing ion channel 1|acid-sensing ion channel-2|
insulin-like growth factor-II mRNA binding protein 2|insulin-like growth factor-II messenger RNA binding protein-2|
American Society of Anaesthesiology Class V|American Society of Anesthesiology physical status|
mitogen-activated protein kinase protein|mitogen-activated protein kinase activated protein kinase|
a disintegrin and metalloproteinase-12|A disintegrin and metalloproteinase 22|
glycophosphatidylinositol anchored|glycosyl phosphatidyl inositol-anchored protein|
1,1,2-trichloroethylene|1,1,1-trichloroethane|
American Society of Anesthesiologists class IV|American Society of Anesthesiology Grade IV|
American Society of Anaesthesiology grade 5|American Society of Anesthesiology grade|
toll/interleukin-1 receptor domain-containing adapter-inducing interferon β|Toll/interleukin-1 receptor domain-containing adapter-inducing interferon-beta|
human adenovirus serotype 33|human adenovirus serotype 37|
counterimmunoelectrophoresis|counter-current immuno-electrophoresis|
American Society of Anaesthesiologists Status I|American Society of Anesthesiologists Status 1|
non-steroidal anti-inflammatory drug-induced|non-steroidal antiinflammatory agent|
porcine gastrin releasing peptide|progastrin releasing peptide|
human adenovirus type 39|human adenovirus serotype 28|
A disintegrin and metalloproteinase 7|A disintegrin and metalloprotease-6|
insulin-like growth factor-I level|serum insulinlike growth factor 1 level|
TATA-binding protein-associated factor 12|TATA-binding protein-associated factor 6|
American Society of Anaesthesiologists grade 1|American Society of Anesthesiologists Class IV|
Tinnitus retraining therapy|tinnitus retraining therapy|
IκB-kinase complex|I-κB kinase complex|
American Society of Anesthesiology Grade III|American Society of Anesthesiology class IV|
Atlanta Veteran's Affairs Medical Center|Bronx Veteran's Affairs Medical Center|
ribosomal protein gene|ribosomal protein L8|
organic carbon|inorganic carbon|
transforming growth factor β2|human transforming growth factor-β3|
yo-yo intermittent recovery test level 2|Yo-Yo intermittent recovery test level 1|
receptor protein-tyrosine phosphatase δ|receptor protein tyrosine phosphatase alpha|
5-hydroxytryptamine1|[14C]5-hydroxytryptamine|
A disintegrin and metalloproteinase 7|A disintegrin and metalloprotease 11|
auditory steady state response|steady state response|
A disintegrin and metalloprotease 3|A disintegrin and metalloprotease-9|
Kruppel-like factor-13|krüppel-like factor-15|
receptor-type protein-tyrosine phosphatase β|receptor-like protein tyrosine phosphatase-κ|
ubiquitin fusion degradation protein 1|ubiquitin fusion degradation protein 3|
matrix assisted laser desorption/ionization time of flight|matrix assisted laser desorption/ionization time of flight mass spectrometry|
A disintegrin and metalloprotease 5|A disintegrin and metalloprotease 7|
Brg-1-associated factor|TBP-associated factor-15|
interleukin 5 receptor-α chain|interleukine-3 receptor α chain|
generalized linear mixed models|generalized linear modeling|
leucocyte ascorbic acid|reduced ascorbic acid|
Clinical Global Impressions Severity Scale|Clinical Global Impression of Severity|
inhibinlike material|insulin like material|
American Society of Anaesthesiologists physical status V|American Society of Anesthesiologists class 3|
TBP-associated factor 12|TBP associated factor-2|
American Society of Anaesthesiology Grade V|American Society of Anaesthesiologists status IV|
shiga-like toxin I|Shigalike toxin|
apolipoprotein C-2|apolipoprotein AI|
estrogen receptor beta knockout|estrogen receptor knockout|
phospho-extracellular-signal-regulated kinase|extracellular signal-regulated kinase-1/2|
fluoro-deoxy-glucose scan|fluordeoxyglucose|
L-alpha-distearoylphosphatidylethanolamine-polyethylene glycol 2000|dipalmitoylphosphatidylethanolamine-poly(ethylene)glycol-2000|
src homology-2 domain-containing protein tyrosine phosphatase|Src homology 2 domain containing protein tyrosine phosphatase-2|
extracellular-signal regulated kinase-1|mitogen extracellular signal-regulated kinase 1|
D1 dopamine receptor|dopamine D4 receptor|
membrane-associated RING-CH-1|membrane-associated RING-CH V|
multiplex fluorescence in situ hybridization|immunofluorescence in situ hybridisation|
thiol protease inhibitor|α-1 protease inhibitor|
spino-cerebellar ataxia 2|spino-cerebellar ataxia 3|
insulinlike growth factor-binding protein 2|insulin-like growth factor-II messenger RNA binding protein 3|
receptor protein tyrosine phosphatase-β|protein tyrosine phosphatase S|
P21-activated kinase 1|AMP-activated kinase|
quantitative structure-affinity relationship study|quantitative structure activity relationship|
American Society of Anesthesiologists class III|American Society of Anaesthesiologists Class 4|
crosspolarization/magic angle spinning|cross-polarization/magic-angle spinning NMR|
Mycobacterium tuberculosis|Mycobacterium paratuberculosis|
interleukin-2 receptor α chain|interleukine 2 receptor α|
branched chain alpha-ketoacid dehydrogenase|branched-chain alpha-keto acid dehydrogenase|
American Society of Anesthesiologists physical status 5|American Society of Anesthesiologists Class IV|
recombinant hemoglobin Kempsey|recombinant hemoglobin|
bisphenol B|bisphenol F|
anti-phospho-extracellular signal-regulated kinase|phosphorylated extracellular signal regulated kinase 2|
American Society of Anaesthesiology Class IV|American Society of Anesthesiologists Grade 2|
gonadotrophin releasing hormone|lamprey gonadotropin releasing hormone-I|
insulin-like growth factor-II messenger RNA-binding protein|insulin-like growth factor II mRNA binding protein|
Src homology domain 2|homology domain|
peroxisome proliferator activated receptor γ-2|peroxisome proliferator-activated receptor γ co-activator 1 α|
physiological and operative severity score for enumeration of mortality and morbidity|physiological and operative severity score for enumeration of mortality and morbidity, oesophagogastric model|
surface enhanced laser desorption/ionization|surface-enhanced laser desorption-ionization|
C-C chemokine receptor 3|C-C chemokine receptor type 3|
neural precursor cell expressed developmentally downregulated 1|neural-precursor-cell-expressed developmentally downregulated 8|
right sacroanterior position|right sacroposterior position|
guanosine 5'-3-O-(thio)triphosphate|guanosin 5'-O-(2-thiodiphosphate)|
TATA-binding protein associated factor 1|TATA-binding protein-associated factor-1|
peroxisome proliferator-activated receptor-γ 2|peroxisome proliferator-activated receptor γ co-activator 1α|
surface-assisted laser desorption ionisation-mass spectrometry|matrix assisted laser desorption-ionization mass spectrometry|
American Society of Anaesthesiologists grade I|American Society of Anaesthesiologists status 1|
protein kinase G|protein kinase II|
interleukine-13 receptor alpha1 subunit|interleukine-13 receptor alpha 1|
naturalistic decision making|naturalistic decision-making|
with-no-lysine kinase|with-no-lysine kinase-1|
continuous venovenous hemodialysis|continuous venovenous hemo-diafiltration|
benzo(a)pyrene-diol-epoxide-DNA adduct level|benzo[a]pyrene diol-epoxide DNA adduct level|
a disintegrin and metalloproteinase-12|a disintegrin and metalloprotease 29|
human adenovirus 16|human adenovirus 34|
adenovirus type 3|human adenovirus type 23|
American Society of Anesthesiologists status 3|American Society of Anaesthesiology status III|
interleukine-13 receptor α 2-chain|interleukine-5 receptor-α chain|
nonstructural protein 1|nonstructural protein 5B|
cross polarisation magic-angle spinning nuclear magnetic resonance spectroscopy|high-resolution magic angle spinning nuclear magnetic resonance spectroscopy|
peroxisome-proliferator-activated receptor beta|peroxisome proliferator-activated receptor-γ 1|
thyrotropin releasing hormone receptor 1|type 2 corticotrophin releasing hormone receptor|
cervical vertebra 4|cervical vertebra 3|
adisintegrin and metalloprotease|A disintegrin and metalloproteinase-12|
beta-adenosinetriphosphate|H(+)-adenosinetriphosphatase|
enzyme-linked immuno-adsorbent assay|enzyme-linked-immunosorbent-assay|
oxidized nicotinamide adenine dinucleotide|reduced nicotinamide adenine dinucleotide|
American Society of Anaesthesiology Class 4|American Society of Anesthesiologists Class IV|
cluster of differentiation antigen 37|cluster of differentiation antigen 98|
granulocyte-colony stimulating factor|granulocyte-colony-stimulating factor|
human adenovirus type 21|human adenovirus type 31|
L-triiodothyronine|tetraiodothyronine|
defective interfering particles|defective interfering|
indoleamine-2,3-dioxygenase|indoleamine 2,3-dioxygenase 2|
epidermal thymocyte-activating factor|epidermal thymocyte activating factor|
1st thoracic vertebra|9th thoracic vertebra|
C-C chemokine ligand-3|C-X-C chemokine ligand 8|
ras-related GTP-binding protein 8B|ras-related GTP-binding protein 33B|
human adenovirus 16|human adenovirus type A|
Kruppel-like factor 9|Krüppel-like factor-12|
beta site amyloid precursor protein-cleaving enzyme-2|beta-amyloid precursor protein cleaving enzyme|
interleukine 13 receptor α 2-chain|interleukin 3 receptor alpha|
Shiga-like toxin-1|Shiga-like toxin-I|
American Society of Anaesthesiology status 5|American Society of Anesthesiology Grade 5|
American Society of Anaesthesiologists class 2|American Society of Anaesthesiology class 2|
ras-related GTP-binding protein 24|ras-related GTP binding protein 7|
midcavity forceps|mid-cavity forceps|
response element|Wnt-responsive element|
IL-5 receptor α-chain|IL3 receptor α chain|
digital imaging and communications in medicine standard|digital imaging and communication in medicine|
beta site amyloid precursor protein-cleaving enzyme 1|β amyloid precursor protein cleaving enzyme 1|
mean aortic pressure|mean artery pressure|
polychromatic erythrocyte|normo-chromatic erythrocyte|
American Society of Anaesthesiologists Status I|American Society of Anesthesiologists class 2|
American Medical Association|American Pancreatic Association|
guanosine 5'-triphosphate|6-thioguanosine 5'-diphosphate|
anti-toll-like receptor 3 monoclonal antibody|anti-T-cell receptor-α β monoclonal antibody|
hypersensitivity test|hyper-sensitivity reaction|
interleukin-4 receptor-alpha chain|interleukin-15 receptor-alpha|
a disintegrin and metalloprotease 22|a disintegrin and metalloproteinase-5|
non-structural-1|nonstructural 5A|
mental nerve|renal nerve|
corticotrophin-releasing hormone receptor-1|type-2 corticotropin-releasing-hormone receptor|
hydroxytryptamine|5-hydroxytryptamine 1D|
interleukine 11 receptor α-chain|interleukin-6 receptor alpha-chain|
TNF receptor-associated factor-2|TNF receptor associated factor 1|
outflow volume|ultralow volume|
human transforming growth factor-β 1|human transforming growth factor-β|
university of california, berkeley|University of California, Berkeley|
anti-TCR α β monoclonal antibody|anti-Cyn d 1 monoclonal antibody|
ST elevation acute myocardial infarction|acute ST elevation myocardial infarction|
macrophage inflammatory protein 1alpha|macrophage inflammatory protein 1|
interleukine 3 receptor α chain|interleukine 7 receptor α subunit|
human transforming growth factor beta2|human transforming growth factor β(1)|
corticotrophin-releasing-hormone receptor 2|thyrotrophin-releasing hormone receptor-1|
Bacillus thuringiensis subspecies kyushuensis|Bacillus thuringiensis subspecies kenyae|
prostaglandin Bx|prostaglandin I(2)|
American Society of Anaesthesiology Grade V|American Society of Anesthesiology class 5|
pseudohypoaldosteronism type 1|pseudo-hypoaldosteronism type II|
receptor protein-tyrosine phosphatase ζ|protein tyrosine phosphatase μ|
interleukine-7 receptor α subunit|interleukin-13 receptor α 1-subunit|
American Society of Anaesthesiology Class 3|American Society of Anesthesiology score|
TATA-binding protein associated factor 15|TATA-binding protein-associated factor-12|
thoracic vertebra 4|12th thoracic vertebra|
poly(octamethylene oxide)|polyoctamethylene oxide|
intracellular free calcium concentration|extracellular calcium concentration|
tumour necrosis factor receptor associated factor 1|tumor necrosis factor receptor-associated protein 1|
tumour necrosis factor receptor-associated factor-6|tumor necrosis factor receptor-associated factor 1|
chromogenic in situ hybridisation|chromosomal in situ hybridization|
IL-1 receptor-associated kinase|receptor-associated kinase-1|
American Society of Anaesthesiology Class 1|American Society of Anaesthesiology Grade II|
anteromedial|ventromedial|
American Society of Anesthesiologists physical status IV|American Society of Anesthesiologists status III|
squamous cell carcinoma-9|oral squamous cell carcinoma|
early asthmatic response|dual asthmatic response|
multi-colour fluorescence in situ hybridisation|multiplex fluorescence in situ hybridisation|
polymerase ζ|polymerase γ|
signal transducer and activator of transcription-3 protein|signal transducer and activator of transcription 2|
vaginal intraepithelial neoplasia|vaginal intraepithelial neoplasia 2|
Kruppel-like factor 9|krueppel-like factor-6|
Src homology 2-containing protein tyrosine phosphatase-1|Src homology 2 domain-containing protein-tyrosine phosphatase|
American Society of Anesthesiologists physical status I|American Society of Anesthesiologists Physical Status classification|
alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate-type glutamate receptor|alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid-type glutamate receptor|
Acid-sensing ion channels|acid sensing ion channel-2b|
recombinant human interleukin 1 α|recombinant human interleukin-1β|
receptor protein-tyrosine phosphatase ζ|receptor-type protein tyrosine phosphatase β|
single pulse transcranial magnetic stimulation|repetitive transcranial magnetic stimulation|
DC-specific ICAM-3-grabbing non-integrin|DC-specific ICAM 3 grabbing non-integrin|
American Society of Anaesthesiologists status 1|American Society of Anesthesiologists class 1|
light harvesting chlorophyll a/b-binding protein|light-harvesting chlorophyll a/b-binding protein II|
methyl cytosine-phosphate-guanosine binding domain 5|methyl cytidine-phosphate-guanosine binding domain 1|
receptor-like protein tyrosine phosphatase kappa|receptor-like protein tyrosine phosphatase ζ|
CSF1 receptor|G-CSF receptor|
transforming growth factor beta2|transforming growth factor-β receptor I|
utero-tubal junction|uterotubal junction|
interleukine 13 receptor-α2 subunit|interleukin-4 receptor α subunit|
clinical global impressions-improvement of illness scale|clinical global impressions improvement scale|
interleukin 1beta|interleukin 17A|
American Society of Anesthesiology Class 1|American Society of Anesthesiologists Status III|
artificial tubule fluid|artificial tubular fluid|
sodium lactate|sodium acetate|
proliferating cell nuclear antigens|proliferation cell nuclear antigen|
American Orthopedic Foot and Ankle Society|American Orthopedic Foot and Ankle Society hallux score|
tumor necrosis factor production|tumor necrosis factor beta production|
ribosomal protein S2|ribosomal protein L18|
cholinacetyltransferase|choline-O-acetyltransferase|
American Society of Anaesthesiologists Grade 2|American Society of Anesthesiologists Class 4|
cytosine triphosphatase|guanosine triphosphatase|
interleukin-18 receptor-alpha|interleukin 4 receptor alpha|
human adenovirus E|human adenovirus C|
crosspolarisation magic-angle spinning nuclear magnetic resonance spectroscopy|cross polarization/magic-angle-spinning nuclear magnetic resonance|
reaction centre light-harvesting complex I|reaction centre-light harvesting complex 1|
T-cell receptor α/β|T cell receptor|
transforming growth factor beta 4|transforming growth factor beta1|
American Society of Anesthesiology grade IV|American Society of Anesthesiologists Status 4|
enteroinvasive Escherichia coli|enteroadhesive Escherichia coli|
toll-interleukin-1 receptor domain-containing adaptor inducing IFN-beta|toll/interleukin-1 receptor domain-containing adapter-inducing interferon β|
3-hydroxy-3-methylglutaryl coenzyme A reductase|hydroxy-methylglutaryl coenzyme A reductase inhibitor|
beta-amyloid precursor protein-cleaving enzyme-1|beta site amyloid precursor protein cleaving enzyme-2|
IL-4 receptor alpha chain|IL-18 receptor α chain|
anterior byssus retractor muscle|anterior byssal retractor muscle|
tropomyosin receptor kinase|tropomyosin receptor kinase B|
poly(adenosine diphosphate-ribosyl)ation|adenosine diphosphate-ribosylate|
corticotrophin-releasing hormone receptor 2|type-2 corticotrophin-releasing hormone receptor|
Toll-like receptor-4|toll-like receptor-5|
cross-polarisation/magic-angle-spinning nuclear magnetic resonance|cross polarization magic-angle spinning nuclear magnetic resonance spectroscopy|
nontranscribed spacer|internal transcribed spacer|
anti-interleukin-1alpha antibody|anti-interleukin 18 antibody|
