LF1|LF2|Synonym
retinoic acid receptor-related orphan receptor gamma-T|retinoic-acid-receptor-related orphan receptor gammat|
cross polarization magic angle spinning nuclear magnetic resonance spectroscopy|crosspolarisation magic angle spinning nuclear magnetic resonance spectroscopy|
anti-beta-2-glycoprotein I antibody|anti-β 2-glycoprotein I antibody|
IL13 receptor α2 chain|IL-13 receptor alpha2-chain|
collagen type 1α1|collagen type I α I|
anti-T-cell receptor-alpha/beta monoclonal antibody|anti-T cell receptor-alpha beta monoclonal antibody|
neurofibromatosis type 1|neurofibromatosis type 1 gene|
antiIL-4 receptor antibody|anti-IL-4 receptor antibody|
anti-beta (2)-glycoprotein-I antibody|anti-β-2-glycoprotein-I antibody|
2,3,4,7,8-pentachlorodibenzofuran|pentachlorodibenzofuran|
galactorrhoea-amenorrhea hyperprolactinæmia syndrome|galactorrhœa amenorrhœa hyperprolactinæmia syndrome|
beta amyloid precursor protein cleaving enzyme-1|beta site amyloid precursor protein-cleaving enzyme-1|
receptor-like protein-tyrosine phosphatase-kappa|receptor-like protein tyrosine phosphatase-kappa|
tetraethylammonium chloride|tetraethylammonium bromide|
verocytotoxigenic Escherichia coli|verocytotoxin-producing Escherichia coli|
α 1-anti-trypsin|alpha 1-anti-trypsin|
minimum alveolar anesthetic concentration|minimum anesthetic concentration|
beta-site amyloid precursor protein cleaving enzyme 2|beta site amyloid precursor protein-cleaving enzyme-2|
anti-T cell receptor alpha/beta antibody|anti-T-cell receptor αβ antibody|
American Society of Anaesthesiology Grade 4|American Society of Anaesthesiology Class 4|
X-linked hyper-immunoglobulin-M syndrome|X-linked hyper-immunoglobulin M syndrome|
multifluor fluorescence in-situ hybridization|multicolor fluorescence in situ hybridization|
toll-interleukin 1 receptor domain-containing adapter-inducing interferon-beta|toll/interleukin-1 receptor domain-containing adapter-inducing interferon-β|
type IIa sodium phosphate cotransporter|type IIa sodium-phosphate co-transporter|
latent transforming growth factor beta binding protein-1|latent transforming growth factor beta-binding protein-1|
peroxisome proliferator activated receptor gamma 2|peroxisome proliferator-activated receptor-γ 2|
Rho-guanine nucleotide dissociation inhibitor 1|ρ-guanine nucleotide dissociation inhibitor-1|
transactive response DNA-binding protein 43|transactivation response DNA-binding protein-43|
interleukine 13 receptor-α 2 subunit|interleukine 13 receptor α2 subunit|
peroxisome proliferator activated receptor-gamma2|peroxisome proliferator activated receptor gamma-2|
human growth hormone gene|human growth hormone|
estrogen receptor β knock out mouse|oestrogen receptor β knockout mouse|
volume-weighted CT dose index|volume CT dose index|
anti-β2-glycoprotein 1 antibody|anti-β-2-glycoprotein-I antibody|
anti-β 2-glycoprotein-I antibody|anti-β 2 glycoprotein 1 antibody|
T cell receptor-γδ-positive|T-cell receptor γ δ-positive|
anti-IL10 receptor mAb|anti-IL 10 receptor mAb|
thromboxan A(2)|thromboxane A(2)|
anti-beta-2 glycoprotein-I antibody|anti-β-2-glycoprotein 1 antibody|
inhibitor-κB-alpha|inhibitor-κBalpha|
anti-interleukin-12 neutralising antibody|antiinterleukin 12 neutralizing antibody|
interleukin 7 receptor alpha chain|interleukin-7 receptor α chain|
β-2 glycoprotein-1|β-2 glycoprotein-I|
pulsed dye-laser|pulsed dye laser|
Epstein-Barr virus encoded RNA 1|Epstein-Barr virus-encoded RNA 1|
branched-chain α-keto acid dehydrogenase|branched chain α-keto acid dehydrogenase complex|
sulphobutyl ether β-cyclodextrin|sulfobutylether-β-cyclodextrin|
anti-beta2-glycoprotein I antibodies|anti-β-2-glycoprotein 1 antibody|
Capillary electrophoresis with laser-induced fluorescence|Capillary electrophoresis with laser-induced fluorescence detection|
interleukine 13 receptor α2-chain|interleukine-13 receptor α 2-chain|
anti-human T cell lymphotropic virus-1 antibody|anti-human T-cell lymphotrophic virus I antibody|
anti-β-2-glycoprotein I antibody|anti-beta(2) glycoprotein-I antibody|
anti-β 2-glycoprotein-I antibody|anti-beta-2-glycoprotein-1 antibody|
poly(ADP)-ribose synthetase|poly (ADP ribose) synthetase|
human chorionic gonadotropin-β|human chorionic gonadotropin β-subunit|
anti-T-cell receptor alpha/beta monoclonal antibody|anti-T cell receptor α β monoclonal antibody|
interleukine-13 receptor alpha1|interleukine-13 receptor α-1 chain|
Toll-interleukin 1 receptor domain-containing adapter-inducing interferon beta|toll-interleukin1 receptor domain-containing adapter-inducing interferon-beta|
heat shock protein 27|heatshock protein|
α foetoprotein|α feto-protein|
American Society of Anesthesiology status 1|American Society of Anesthesiologists Status I|
American Society of Anaesthesiology status 1|American Society of Anaesthesiologists Status 1|
corticotropin-releasing hormone receptor type 2|corticotropin-releasing-hormone receptor 2|
anti-β(2) glycoprotein I antibody|anti-beta-2 glycoprotein-1 antibody|
transient receptor potential vanilloid receptor 5|transient receptor potential vanilloid 5|
interleukine 13 receptor α 2 subunit|interleukine-13 receptor-α 2 subunit|
aminoterminal pro-B-type natriuretic peptide|aminoterminal pro-brain-type natriuretic peptide|
β-glycerophosphate|β glycerophosphate|
interleukin 13 receptor α2 chain|interleukine 13 receptor α2 subunit|
ribonucleo-protein|ribo-nucleoprotein|
anti-beta-2 glycoprotein-1 antibody|anti-β2-glycoprotein-I antibody|
sry-box containing gene 9|Sry box containing gene 9|
receptor interacting protein-2|receptor interacting protein 2|
p38α mitogen-activated protein kinase|p38 alpha mitogen-activated protein kinase|
Rous associated virus type-0|Rous associated virus type 0|
interleukine-2 receptor α|interleukin 2 receptor-α|
interleukin-13 receptor α 2-chain|interleukin-13 receptor α2 chain|
transforming growth factor beta receptor type II|transforming growth factor β receptor-II|
receptor protein tyrosine phosphatase gamma|receptor protein tyrosine phosphatase γ|
tumour necrosis factor-α|tumor necrosis factor alpha|
Toll-interleukin1 receptor domain-containing adapter inducing interferon β|toll/interleukin 1 receptor domain-containing adapter-inducing interferon-β|
interleukin 7 receptor α subunit|interleukin 7 receptor α-chain|
chicken luteinising hormone releasing hormone II|chicken luteinising hormone-releasing hormone-II|
guanylyl cyclase activating protein 2|guanylate cyclase activating protein 2|
luteinizing hormone-releasing hormone analog|luteinizing hormone-releasing hormone analogue|
terminal deoxynucleotidyl transferase-mediated dUTP-biotin nick-end labeling|terminal deoxynucleotidyl transferase-mediated dUTP-biotin nick end-labeling|
phosphatidylserine|phosphatidyl-L-serine|
transforming growth factor beta 1|transforming growth factor-β 1|
tumour-necrosis-factor-α|tumor-necrosis factor-α|
anti-beta2 glycoprotein-1 antibody|anti-β2-glycoprotein-1 antibody|
anti-β(2)-glycoprotein I antibody|anti-beta2 glycoprotein 1 antibody|
interleukine-2 receptor γ-chain|interleukin-2 receptor common γ chain|
interleukin 13 receptor alpha2 subunit|interleukin 13 receptor α 2 subunit|
galactorrhœa amenorrhea hyperprolactinemia syndrome|galactorrhœa amenorrhœa hyperprolactinemia syndrome|
acute ST elevation myocardial infarction|acute ST-elevation myocardial infarction|
T cell receptor gamma delta-positive|T cell receptor γ δ-positive|
toll/interleukin1 receptor domain-containing adapter-inducing interferon beta|Toll-interleukin1 receptor domain-containing adapter inducing interferon beta|
anti-β-2-glycoprotein-I antibody|anti-β2 glycoprotein 1 antibody|
Toll-interleukin1 receptor domain-containing adapter-inducing interferon β|toll/interleukin1 receptor domain-containing adapter-inducing interferon-β|
β(2)glycoprotein I|β(2) glycoprotein-I|
peroxisome proliferator-activated receptor γ-1|peroxisome proliferator activated receptor gamma1|
interleukin 3 receptor alpha|interleukin-3 receptor α chain|
Src homology region 2 domain-containing phosphatase-1|Src homology region 2 domain-containing phosphatase 1|
recombinant human transforming growth factor-β 1|recombinant human transforming growth factor beta1|
alpha-methylacyl-coenzyme A racemase|α-methyl acyl-coenzyme-A racemase|
full-field|full-fed|
collagen 5 α 1|collagen V α 1|
anti-β(2) glycoprotein-I antibody|anti-β-2 glycoprotein I antibody|
recombinant murine α interferon|recombinant murine interferon alpha|
anti-beta(2) glycoprotein I antibody|anti-β-2-glycoprotein I antibody|
Shiga-like toxin-I|Shiga-like toxin-1|
anti-T-cell receptor α/β monoclonal antibody|anti-T-cell receptor alpha beta monoclonal antibody|
anti-β 2-glycoprotein-I antibody|anti-beta 2 glycoprotein I antibody|
peroxisome-proliferator-activated receptor-γ coactivator-1 α|peroxisome proliferator-activated receptor gamma coactivator 1alpha|
toll-interleukin 1 receptor domain-containing adapter-inducing interferon beta|toll/interleukin-1 receptor domain-containing adapter-inducing interferon β|
transforming growth factor-β receptor type II|transforming growth factor β receptor type II|
T-cell-receptor gamma delta-positive|T-cell-receptor-gamma delta-positive|
catechol-O-methyltransferase|catechol o methyltransferase|
high performance liquid chromatographic|high-performance liquid chromatograph|
interleukine 2 receptor α-chain|interleukine 2 receptor-α|
American Society of Anaesthesiology physical status I|American Society of Anesthesiologists Status 1|
crosspolarisation magic angle spinning nuclear magnetic resonance spectroscopy|crosspolarization magic-angle-spinning nuclear magnetic resonance spectroscopy|
interleukin-11 receptor α-chain|interleukin 11 receptor α chain|
fluorine-18-labeled fluorodeoxyglucose|fluorine 18-labelled fluoro-deoxy-glucose|
"diadenosine 5',5""'-P1,P4-tetraphosphate"|diadenosine 5',5'''-P1,P4-tetraphosphate|
sulfobutyl ether β-cyclodextrin|sulphobutyl ether beta-cyclodextrin|
estrogen receptor alpha knockout|oestrogen receptor α knock-out|
secretory phospholipase A(2)-IIa|secretory phospholipase A(2) IIA|
interleukine 13 receptor α 2-chain|interleukine-13 receptor α 2-chain|
beta amyloid precursor protein cleaving enzyme|beta amyloid precursor protein-cleaving enzyme|
protein-tyrosine phosphatase μ|protein tyrosine phosphatase mu|
deoxy-cylindrospermopsin|deoxycylindrospermopsin|
phospholipase Cdelta(1)|phospholipase C-δ(1)|
Src homology 2-containing protein tyrosine phosphatase-1|Src homology 2 domain-containing protein tyrosine phosphatase-1|
anti-β 2 glycoprotein I antibody|anti-β (2)-glycoprotein-I antibody|
inhibitor κB beta|inhibitor-κ B-beta|
gamma-glutamylcysteine synthetase|gammaglutamylcysteine synthetase|
GTP-binding protein γ subunit|GTP binding protein γ-subunit|
anti-beta-2-glycoprotein-I antibody|anti-β-2-glycoprotein I antibody|
interleukine 4 receptor-α subunit|interleukin 4 receptor-α|
cost-related nonadherence|cost-related medication non-adherence|
locoregional recurrence|loco-regional recurrence rate|
IL-2 receptor alpha-chain|IL2 receptor alpha chain|
ρ-guanine nucleotide dissociation inhibitor-1|ρ-guanine nucleotide dissociation inhibitor 1|
anti-β 2 glycoprotein I antibody|anti-beta 2-glycoprotein I antibody|
tri-n-butyltin|tri-butyltin|
gas chromatography-negative ion chemical ionisation mass spectrometry|gas chromatography/negative ion chemical ionization-mass spectrometry|
anti-beta-2-glycoprotein-I antibody|anti-beta(2)-glycoprotein 1 antibody|
interleukine 3 receptor α chain|interleukine-3 receptor α-chain|
American Society of Anaesthesiologists grade II|American Society of Anaesthesiologists Grade II|
anti-beta-2-glycoprotein 1 antibody|anti-beta2 glycoprotein 1 antibody|
insulin dependent diabetes mellitus|insulin dependent diabetes|
peroxisome proliferator-activated receptor gamma co-activator-1alpha|peroxisome proliferator-activated receptor-γ co-activator 1α|
proteinase activated receptor-1|proteinase-activated receptor-1|
toll-interleukin1 receptor domain-containing adapter-inducing interferon-β|toll-interleukin 1 receptor domain-containing adapter-inducing interferon β|
T-cell receptor gamma delta-positive|T-cell-receptor-gamma delta-positive|
anti-beta (2)-glycoprotein-I antibody|anti-β(2)-glycoprotein 1 antibody|
phospholipase Cbeta4|phospholipase C β 4|
receptor-like protein tyrosine phosphatase-zeta|receptor protein-tyrosine phosphatase ζ|
American Society of Anesthesiology Class 2|American Society of Anesthesiology Grade 2|
Campylobacter-like Organism|campylobacter-like organisms|
microscopic agglutination|microagglutination|
positive airway pressure|peak airway pressure|
beta APP cleaving enzyme-1|β site APP cleaving enzyme|
Toll-interleukin1 receptor domain-containing adapter inducing interferon beta|Toll/interleukin1 receptor domain-containing adapter-inducing interferon-β|
Waldenströms macroglobulinaemia|Waldenström macroglobulinemia|
Toll-interleukin-1 receptor domain-containing adapter-inducing interferon β|Toll/interleukin-1 receptor domain-containing adapter-inducing interferon-beta|
anti-β 2 glycoprotein I antibody|anti-beta(2)-glycoprotein 1 antibody|
β(2)-glycoprotein-I|β(2)-glycoprotein I|
American Society of Anaesthesiologists physical status 4|American Society of Anesthesiology physical status IV|
IL-5 receptor alpha|IL-5 receptor-alpha|
3β-hydroxysteroid-dehydrogenase deficiency|3β-hydroxy steroid dehydrogenase deficiency|
β2-glycoprotein 1|β2-glycoprotein-I|
anti-β 2 glycoprotein-I antibody|anti-beta 2-glycoprotein I antibody|
interleukine-4 receptor-alpha chain|interleukine-4 receptor-α chain|
oestrogen receptor-β knockout|estrogen receptor-β knockout|
anti-β(2)-glycoprotein I antibody|anti-beta 2-glycoprotein I antibody|
American Society of Anesthesiology grade 1|American Society of Anesthesiologists grade I|
IL13 receptor alpha2|IL-13 receptor alpha2-chain|
β-site APP cleaving enzyme 1|beta-site APP cleaving enzyme 1|
toll/interleukin1 receptor domain-containing adapter-inducing interferon beta|toll-interleukin-1 receptor domain-containing adapter-inducing interferon-beta|
25-hydroxy-vitamin D3|25-hydroxy vitamin D3|
thyroid stimulating hormone|thyrotropic stimulating hormone|
toll-interleukin1 receptor domain-containing adapter inducing interferon β|Toll/interleukin1 receptor domain-containing adapter-inducing interferon β|
β 2-glycoprotein-I|β2-glycoprotein-I|
gamma-amino butyric acid-B receptor|γ-amino butyric acid-B receptor|
transforming growth factor-beta|transforming growth factor-beta 1|
toll/interleukin-1 receptor domain-containing adapter-inducing interferon β|Toll-interleukin1 receptor domain-containing adapter inducing interferon β|
germinal centre B-cell-like diffuse large B-cell lymphoma|germinal centre B cell-like diffuse large B-cell lymphoma|
krüppel-like factor-10|Krüppel-like factor 10|
interleukin-2 receptor α-subunit|interleukin-2 receptor α chain|
peroxisome-proliferator-activated receptor-γ coactivator-1α|peroxisome proliferator-activated receptor-γ co-activator-1 α|
interleukine 2 receptor α|interleukine-2 receptor α-subunit|
interleukin-13 receptor-α2 subunit|interleukin-13 receptor α2 subunit|
interleukin-13 receptor α1|interleukine-13 receptor α-1 chain|
transforming growth factor-alpha-Pseudomonas exotoxin-40|transforming growth factor alpha-Pseudomonas exotoxin 40|
peroxisome proliferator-activated receptor-γ coactivator 1α|peroxisome proliferator-activated receptor gamma coactivator 1alpha|
mGlu7 receptor|mGlu(7) receptor|
transforming growth factor-β(1)|transforming growth factor-β-1|
American Society of Anaesthesiologists class 2|American Society of Anesthesiologists class II|
excision repair cross-complementing-group 2|excision repair cross-complementing 2|
insulin-like growth factor II messenger RNA-binding protein 1|insulin-like growth factor-II messenger RNA binding protein 1|
anti-β 2 glycoprotein I antibody|anti-beta 2 glycoprotein-I antibody|
T cell receptor gamma delta-positive|T-cell-receptor gammadelta-positive|
interleukine-13 receptor α2 chain|interleukine-13 receptor α2-chain|
anti-beta(2) glycoprotein I antibody|anti-β2-glycoprotein-1 antibody|
peroxisome proliferator-activated receptor-γ coactivator-1α|peroxisome-proliferator-activated receptor-gamma co-activator 1alpha|
American Society of Anaesthesiologists grade II|American Society of Anaesthesiology Class 2|
crosspolarisation magic angle spinning nuclear magnetic resonance spectroscopy|crosspolarisation magic-angle-spinning nuclear magnetic resonance spectroscopy|
insulin-like growth factor II messenger RNA binding protein 3|insulin-like growth factor-II messenger RNA binding protein 3|
α-naphthylisothiocyanate|α-naphthyl isothiocyanate|
multi-fluor fluorescence in-situ hybridisation|multiplex fluorescence in-situ hybridization|
American Society of Anaesthesiology status V|American Society of Anesthesiologists grade V|
technetium-99m diethylenetriamine penta-acetic acid|technetium-99m diethylenetriaminepentaacetic acid|
oestrogen receptor-α knock out|oestrogen receptor-α knockout|
casein kinase 2alpha|casein kinase 2 α|
anti-β2 glycoprotein I antibody|anti-beta 2 glycoprotein 1 antibody|
toll-interleukin 1 receptor domain-containing adapter-inducing interferon-β|toll-interleukin1 receptor domain-containing adapter inducing interferon β|
deep infiltrating endometriosis|infiltrating endometriosis|
β-site amyloid precursor protein cleaving enzyme|beta-site amyloid precursor protein-cleaving enzyme 1|
cross polarisation/magic angle spinning nuclear magnetic resonance|cross polarization/magic angle spinning nuclear magnetic resonance|
anti-human T-cell lymphotrophic virus-1 antibody|anti-human T-cell lymphotrophic virus 1 antibody|
phospholipase-C β1|phospholipase Cβ(1)|
β amyloid precursor protein-cleaving enzyme-1|beta-amyloid precursor protein-cleaving enzyme 1|
latent transforming growth factor-beta binding protein-1|latent transforming growth factor β binding protein 1|
American Society of Anaesthesiologists Status II|American Society of Anaesthesiologists Status 2|
beta site amyloid precursor protein-cleaving enzyme-2|beta-amyloid precursor protein cleaving enzyme 2|
insulin-like growth factor II mRNA-binding protein 3|insulin-like growth factor-II messenger RNA-binding protein 3|
Na-K-2Cl co-transporter 1|Na-K-Cl co-transporter 1|
anti-beta-2 glycoprotein-1 antibody|anti-beta(2)-glycoprotein 1 antibody|
prostaglandin F1-α|prostaglandin F1α|
Src homology 2 domain containing protein tyrosine phosphatase|src homology 2 domain-containing protein-tyrosine phosphatase|
cross-polarization/magic angle spinning nuclear magnetic resonance spectroscopy|crosspolarisation/magic angle spinning nuclear magnetic resonance spectroscopy|
receptor-like protein tyrosine phosphatase-ζ|receptor protein tyrosine phosphatase zeta|
American Society of Anesthesiologists Class III|American Society of Anesthesiologists Status III|
corticotrophin releasing hormone receptor-1|corticotrophin-releasing hormone receptor 1|
antiIL-1alpha monoclonal antibody|anti-IL1 alpha monoclonal antibody|
cannabinoid receptor type 2|cannabinoid receptor 2|
health-care-associated pneumonia|healthcare associated pneumonia|
bullous pemphigoid antigen|bullous pemphigoid antigen 180|
T cell receptor γδ-positive|T cell receptor γ δ-positive|
anti-beta (2)-glycoprotein I antibody|anti-beta 2 glycoprotein 1 antibody|
cross polarisation/magic-angle-spinning nuclear magnetic resonance spectroscopy|cross-polarisation magic-angle spinning nuclear magnetic resonance spectroscopy|
promyelocytic leukemia/retinoic acid receptor-alpha|promyelocytic leukaemia/retinoic acid receptor alpha|
transforming growth factor-β-1|transforming growth factor-beta(1)|
phospholipase Cβ(1)|phospholipase C β 1|
neuro-muscular blocking|neuro-muscular block|
interleukin1 β|interleukin-1 β|
pre-beta1-high density lipoprotein|prebeta1-high-density lipoprotein|
anti-beta(2) glycoprotein I antibody|anti-beta(2)-glycoprotein-I antibody|
6-benzylaminopurine|benzylaminopurine|
intra-periaqueductal gray|intra-periaqueductal grey|
peroxisome-proliferator-activated receptor-γ coactivator 1 α|peroxisome proliferator-activated receptor γ coactivator-1 α|
anti-beta-2-glycoprotein-1 antibody|anti-β 2 glycoprotein-I antibody|
phospholipase C β3|phospholipase C-β 3|
anti-β 2 glycoprotein I antibody|anti-beta(2)-glycoprotein 1 antibody|
granulocyte-macrophage-colony-stimulating factor receptor α-chain|granulocyte-macrophage-colony-stimulating factor receptor α chain|
American Society of Anaesthesiologists Grade 3|American Society of Anaesthesiologists status III|
American Society of Anesthesiology physical status II|American Society of Anaesthesiology class II|
cornu ammonis 1|cornu ammonis region 1|
corticotropin-releasing factor 1 receptor|corticotropin-releasing factor-1 receptor|
insulin-like growth factor-II mRNA-binding protein 2|insulin-like growth factor-II mRNA binding protein-2|
Toll/interleukin 1 receptor domain-containing adapter-inducing interferon β|toll-interleukin-1 receptor domain-containing adapter-inducing interferon beta|
β(2)-glycoprotein-I|β(2)glycoprotein-I|
transforming growth factor-β receptor I|transforming growth factor β receptor 1|
β-amyloid1-40|β-amyloid 40|
anti-beta (2)-glycoprotein-I antibody|anti-beta(2)-glycoprotein 1 antibody|
beta2 adrenergic receptor|β2 adrenergic receptor|
ER α knockout mouse|ER α knockout|
anti-β-2-glycoprotein I antibody|anti-beta-2 glycoprotein-I antibody|
anti-β(2) glycoprotein I antibody|anti-β2 glycoprotein-I antibody|
anti-β (2)-glycoprotein I antibody|anti-β(2)-glycoprotein-I antibody|
interleukin 3 receptor alpha chain|interleukin 3 receptor α chain|
anti-β2 glycoprotein-1 antibody|anti-β2 glycoprotein 1 antibody|
type II transforming growth factor-β receptor|transforming growth factor-β type II receptor|
TBP-associated factor 6|TBP-associated factor-6|
poly(epsilon-caprolactone)|poly epsilon-caprolactone|
human transforming growth factor β1|human transforming growth factor-β 1|
7-Dehydrocholesterol|7-dehydrocholesterol|
American Society of Anaesthesiologists Class V|American Society of Anaesthesiologists grade 5|
cross-polarization/magic angle spinning nuclear magnetic resonance spectroscopy|cross polarization magic angle spinning nuclear magnetic resonance spectroscopy|
anti-beta(2)-glycoprotein 1 antibody|anti-beta2-glycoprotein-1 antibody|
anti-insulin-like growth factor-I antibody|anti-insulin-like growth factor 1 antibody|
anti-β-2-glycoprotein-1 antibody|anti-β 2 glycoprotein 1 antibody|
American Society of Anesthesiology Grade 4|American Society of Anesthesiologists status IV|
recombinant murine interferon-γ|recombinant murine interferon γ|
American Society of Anesthesiology class V|American Society of Anaesthesiologists class V|
amyloid beta40|amyloid-beta 1-40|
homozygous alpha 1-protease inhibitor deficiency|homozygous α-1 proteinase inhibitor deficiency|
amyloid β-protein precursor|amyloid protein precursor|
American Society of Anesthesiologists class 5|American Society of Anesthesiology Class V|
IL-13 receptor α1|IL-13 receptor alpha 1|
long-segment Barrett's oesophagus|long segment Barrett's oesophagus|
Fas-associated death domain-like interleukin-1 β converting enzyme inhibitory protein|Fas-associated death domain-like interleukin-1beta converting enzyme-inhibitory protein|
gamma-aminobutyric acid-B receptor|γ-amino butyric acid-B receptor|
American Society of Anesthesiologists Status II|American Society of Anaesthesiology Grade II|
oestrogen receptor α knock out|oestrogen receptor-α knockout|
peroxisome-proliferator-activated receptor gamma coactivator 1 alpha|peroxisome-proliferator-activated receptor-gamma co-activator 1alpha|
cross polarization/magic-angle-spinning nuclear magnetic resonance spectroscopy|cross polarisation magic-angle spinning nuclear magnetic resonance spectroscopy|
recombinant human tumour necrosis factor α|recombinant human tumour necrosis factor-α|
receptor-like protein tyrosine phosphatase psi|receptor protein tyrosine phosphatase psi|
estrogen receptor α knock-out|oestrogen receptor-α knockout mouse|
[35S]t-butylbicyclophosphorothionate|t-[35S]butylbicyclophosphorothionate|
matrix assisted laser desorption ionisation time-of-flight mass spectrometric|matrix-assisted laser desorption/ionisation time of flight mass spectrometric|
pre-interleukin-1α|pre-interleukin-1 α|
American Society of Anesthesiologists Class I|American Society of Anaesthesiologists class I|
anti-β-2 glycoprotein-I antibody|anti-β-2 glycoprotein 1 antibody|
oestrogen receptor-β knockout mouse|estrogen receptor β knock out mouse|
American Society of Anaesthesiologists physical status IV|American Society of Anesthesiologists status 4|
S-100β protein|S-100beta protein|
anti-beta2 glycoprotein 1 antibody|anti-beta-2 glycoprotein I antibody|
cytosolic phospholipase A2 α|cytosolic phospholipase A2-α|
interferon alpha receptor|interferon α receptor|
venous thromboembolism|venous thromboembolic event|
toll/interleukin-1 receptor domain-containing adapter-inducing interferon-β|toll/interleukin 1 receptor domain-containing adapter-inducing interferon-beta|
anti-IL1alpha monoclonal antibody|anti-IL 1 alpha monoclonal antibody|
anti-beta2 glycoprotein-1 antibody|anti-beta 2 glycoprotein-I antibody|
toll-interleukin-1 receptor domain-containing adapter-inducing interferon-β|Toll/interleukin-1 receptor domain-containing adapter-inducing interferon β|
interleukin-2 receptor-α|interleukine-2 receptor α-chain|
amyloid β precursor protein|amyloid β-precursor protein|
anti-TCR-α β monoclonal antibody|anti-TCR alpha/beta monoclonal antibody|
American Society of Anesthesiologists grade 4|American Society of Anaesthesiologists class 4|
adenosine 3',5'-cyclic phosphate|adenosine 3',5'-phosphate|
estrogen receptor alpha knockout|oestrogen receptor-α knock-out|
anti-beta-2-glycoprotein 1 antibody|anti-β2-glycoprotein-1 antibody|
weight for length Z score|weight-for-length Z-score|
American Society of Anesthesiology physical status 5|American Society of Anaesthesiology physical status V|
Toll-interleukin 1 receptor domain-containing adapter-inducing interferon β|toll/interleukin-1 receptor domain-containing adapter-inducing interferon beta|
p-hydroxy-mercuribenzoate|p-hydroxymercuribenzoate|
IL-13 receptor alpha 2 chain|IL13 receptor α 2-chain|
pre β 1 high-density lipoprotein|pre-β 1-high density lipoprotein|
Fc γ receptor-mediated|Fc gamma receptor-mediated|
ras-guanosine triphosphatase activating protein|ras guanosine triphosphatase activating protein|
toll/interleukin1 receptor domain-containing adapter-inducing interferon-beta|Toll-interleukin1 receptor domain-containing adapter-inducing interferon beta|
